Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.05,17.4,26.1,77,12,0.83,1.2,34,20.61,0,Tunisia
0.05,15.9,25.4,72,12,0.77,1,92,17.73,0,Tunisia
0.47,16.53333333,25.9,78,12,0.87,1.6,49.66666667,20.03,0,Tunisia
0.08,16.3,24.5,75,12,1.76,1.266666667,44.33333333,20.91333333,1,Tunisia
0.1,15.6,24.9,70,12,1.07,1.5,7,24.4,1,Tunisia
0.06,18.8,24,52,12,1.52,1.1,6,27.18,0,Tunisia
0.07,16.3,24.9,72,12,1.26,1.1,23,21.75,-2,Tunisia
0.11,17,25.9,71,12,1.12,1.2,13,23.06,-1,Tunisia
0.13,16.3,22.8,70,12,1.47,1.1,14,23.33,-2,Tunisia
0.14,15.6,24.4,76,12,1.39,1.2,13,23.43,2,Tunisia
0.09,16.2,25.1,69,12,1.37,1.1,18,22.37,-2,Tunisia
0.26,18.9,25.9,55,12,1.26,1.1,7,25.19,-1,Tunisia
0.1,16.1,25.5,69,12,1.31,1.1,22,21.91,-2,Tunisia
0.09,19.4,25,57,12,1.75,1.1,6,27.64,-2,Tunisia
0.05,16.4,25.8,71,12,1.383333333,1.1,18,22.40666667,-2,Tunisia
0.1,16.1,26.3,69,12,1.47,1.1,14,22.94,-2,Tunisia
0.14,15.6,22.7,76,12,1.63,1.1,13,23.6,-2,Tunisia
0.13,19.5,26,52,12,0.69,1.3,19,22.27,0,Tunisia
0.07,16,26.4,55,12,1.11,1.3,14,22.8,0,Tunisia
0.14,15.8,23.2,54.5,12,1.026666667,1.3,24.33333333,21.55333333,0,Tunisia
0.1,15.9,24.1,54,12,1.06,1.2,32,20.87,0,Tunisia
0.16,17,26.9,50.5,12,0.83,1.3,28,21.46,-2,Tunisia
0.12,19.5,24,52,12,1.06,1.2,8,24.41,0,Tunisia
0.07,16,26.3,55,12,0.91,1.3,27,20.99,0,Tunisia
0.34,19.4,29.2,42.5,12,0.96,1.3,10,23.46,0,Tunisia
0.36,20.2,27.76666667,37,12,1.07,1.2,5,26.42,0,Tunisia
0.36,16.4,24,48.5,12,0.93,1.3,39,20.2,0,Tunisia
0.36,16.4,29.1,48.5,12,0.95,1.3,37,20.38,0,Tunisia
0.13,17.3,30,48,12,1.08,0.8,21.66666667,22.1,-1,Tunisia
0.11,17,28.7,49.5,12,1.16,1.2,18,22.44,1,Tunisia
0,17,28.3,46.5,12,1.13,1.3,10,23.48,-1,Tunisia
0.21,18.3,26.4,44.5,12,0.9,1.1,55,20.29,-1,Tunisia
0.34,19.4,25.8,42.5,12,1.01,1.3,9,23.86,0,Tunisia
0.16,19.2,24.7,56,12,1.02,1,33,21.87,1,Tunisia
0.08,21.3,26.1,51,12,1.1,1.2,5,26.26,0,Tunisia
0.12,19,26.5,57,12,1.38,1.3,6,27.71,0,Tunisia
0.09,18.1,27.9,65,12,1.22,1.1,13,22.95,0,Tunisia
0.08,18.2,27.7,64,12,0.65,1,87,18.41,0,Tunisia
0.12,16.9,27.86666667,50,12,1.39,1.1,18,22.89,0,Tunisia
0.18,16.7,27.8,50,12,1.22,1.1,33,21.6,0,Tunisia
0.05,16.1,27.2,55,12,1.08,1.1,48,20.01,0,Tunisia
0.07,20.6,26.9,51.5,12,0.74,1.2,13,22.91,-1,Tunisia
0.1,16,28,55,12,1.45,1.1,18,22.52,0,Tunisia
0.08,20.8,28,51,12,1.16,1.3,7,27.4,0,Tunisia
0.18,18.9,23.3,57,12,1.29,1.1,10,24.06,0,Tunisia
0.1,16,23.4,55,12,1.1,1.1,46,20.19,0,Tunisia
0.18,16.7,24,50,12,1,1.2,22,23.5,0,Tunisia
0.06,25.6,21.4,40,12,1.1,1.1,14,27.84,1,Tunisia
0.1,23.9,24.6,34,12,0.96,1.3,15,28.72,0,Tunisia
0.2,24.9,25.5,38.6,12,1.16,1.2,40,31.09,2,Tunisia
0.12,25.2,25.5,41,12,1.19,1.1,18,29,1,Tunisia
0.05,17.4,24.7,41.5,12,1.2,1.1,25,21.8,0,Tunisia
0.08,18,24,44.5,12,1.07,1,35,21.5,0,Tunisia
0.07,18,24.7,44,12,1.23,1.2,8,24.21,0,Tunisia
0.06,18,25.1,39,12,1.15,1.7,6,27.52,0,Tunisia
0.06,24.7,24.5,42,12,1.193333333,1.1,22,28.1,2,Tunisia
0.11,25,25.4,40,12,1.166666667,1,21.33333333,29.20333333,1,Tunisia
0.05,16.1,24.9,54,12,0.97,1.1,60,19.37,0,Tunisia
0.15,21.3,25.6,56.5,12,1.43,1.2,10,29.02,0,Tunisia
0.07,20.7,23.8,47,12,1.24,1.2,6,27.27,0,Tunisia
0.04,15.5,24.8,55,12,1.07,1.3,19,21.96,0,Tunisia
0.06,16,23.5,54,12,0.97,1.2,38,20.43,0,Tunisia
0.04,15,25.1,55,12,1.11,1.2,33,20.71,0,Tunisia
0.07,22.5,24.9,50,12,1.34,1,8,27.37,1,Tunisia
0.05,21.2,24.8,56,12,1.3,1,5,25.95,0,Tunisia
0.06,15.5,25,54.5,12,0.93,1,86,18.09,0,Tunisia
0.06,20.9,24.9,47,12,1.293333333,1.1,6.333333333,26.86333333,0,Tunisia
0.1,25.2,24.6,69,28,0.34,1.4,14,27.59,0,Tunisia
0.07,24.7,25.9,73,28,0.18,1.3,7,23.46,0,Tunisia
0.06,25.4,26.1,62,28,0.37,2,35,30.36,0,Tunisia
0.17,24.6,26.3,69,28,0.44,2,24,29.71,0,Tunisia
0.1,24,26.3,73,28,0.37,1.3,6,26.07,0,Tunisia
0.08,24.9,25.5,68,28,0.37,2,34,30.54,0,Tunisia
0.06,26.3,25.6,62,28,0.03,1,26,22.58,0,Tunisia
0.09,25.7,22.9,59,28,0.33,1,10,23.39,1,Tunisia
0.05,26.1,22.7,61,28,0.23,1,21.33333333,22.73666667,1,Tunisia
0.24,24.7,23,60,28,0.33,1.1,28,22.24,1,Tunisia
0.24,23.9,23.1,58,28,0.18,2,6,24.26,0,Tunisia
0.16,23.4,23.4,58,28,0.65,1.4,9,27.61,1,Tunisia
0.15,22.1,23.7,54.5,28,0.28,1.566666667,6.666666667,25.62666667,0,Tunisia
0.28,23.8,24,59,28,0.43,1,49,21.47,0,Tunisia
0.28,23.8,24.3,59,28,0.28,1.266666667,21.66666667,24.42666667,0,Tunisia
0.17,24.3,22.1,55.5,28,0.38,1.3,5,25.01,0,Tunisia
0.14,22.9,24.1,58,28,0.28,1.4,7,24.2,1,Tunisia
1.04,27.6,24,51,28,0.28,1.3,13,24.7,0,Tunisia
1.04,27.6,24.3,51,28,0.37,2,57,27.16,0,Tunisia
1.04,27.6,23.1,51,28,0.453333333,1.3,28,26.40333333,0,Tunisia
