Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.06,24.2,27.46666667,50.2,25,0.25,1.6,18,26.25666667,0,Japan
0.06,24.2,27.46666667,50.2,25,0.25,1.433333333,18.33333333,25.26666667,-2,Japan
0.06,24.2,27.46666667,50.2,25,0.27,1.6,18,26.25666667,0,Japan
0.06,24.2,27.46666667,50.2,25,0.23,1.433333333,18.33333333,25.26666667,-2,Japan
0.06,24.2,27.46666667,50.2,25,0.34,1.6,18,26.25666667,0,Japan
0.06,24.2,27.46666667,50.2,25,0.23,1.6,18,26.25666667,1,Japan
0.06,24.2,27.3,50.2,25,0.27,1.433333333,23,26.27,-1,Japan
0.06,24.2,27.3,50.2,25,0.43,1.433333333,23,26.27,-2,Japan
0.06,24.2,26.96666667,50.2,25,0.3,1.433333333,23,26.27,-2,Japan
0.06,24.2,26.96666667,50.2,25,0.27,1.5,20.33333333,26.33333333,0,Japan
0.06,24.2,26.96666667,50.2,25,0.27,1.333333333,21.33333333,24.97666667,0,Japan
0.06,24.2,26.96666667,50.2,25,0.25,1.333333333,21.33333333,24.97666667,1,Japan
0.06,24.2,26.46666667,50.2,25,0.52,1.4,21.33333333,24.97666667,0,Japan
0.06,24.2,27.16666667,50.2,25,0.24,1.4,11.66666667,23.66333333,0,Japan
0.06,24.2,28,50.2,25,0.27,1.133333333,11.66666667,23.66333333,-2,Japan
0.06,24.2,28.2,50.2,25,0.41,1.133333333,11.66666667,23.66333333,-2,Japan
0.06,24.2,28.2,50.2,25,0.25,1.133333333,11.66666667,23.66333333,-2,Japan
0.06,24.2,28.2,50.2,25,0.34,1.2,11.66666667,23.16666667,0,Japan
0.06,24.2,28.2,50.2,25,0.25,1.166666667,12,23.31,-2,Japan
0.1,23.6,28.2,51.5,25,0.43,1.2,15.33333333,22.77666667,-2,Japan
0.1,23.6,28.2,51.5,25,0.3,1.2,11.33333333,23.11666667,0,Japan
0.1,23.6,28.2,51.5,25,0.41,1.2,11.33333333,23.11666667,0,Japan
0.1,23.6,28.2,51.5,25,0.25,1.133333333,11.33333333,23.11666667,-1,Japan
0.1,23.6,28.2,51.5,25,0.64,1.133333333,5.333333333,23.87333333,0,Japan
0.1,23.6,28.2,51.5,25,0.66,1.133333333,5.333333333,24.32666667,0,Japan
0.1,23.6,28.2,51.5,25,0.25,1.133333333,5.333333333,24.35333333,-1,Japan
0.1,23.6,28.2,51.5,25,0.27,1.133333333,6.333333333,24.76666667,-2,Japan
0.1,23.6,28.06666667,51.5,25,0.25,1.2,5.333333333,24.08333333,0,Japan
0.1,23.6,28.06666667,51.5,25,0.34,1.2,5.333333333,24.08333333,0,Japan
0.1,23.6,28.06666667,51.5,25,0.41,1.133333333,5.333333333,24.08333333,0,Japan
0.1,23.6,28.2,51.5,25,0.34,1.066666667,6.333333333,24.27,-1,Japan
0.27,26.9,30.4,72.8,18,0.49,0.89,42.63666667,29.81666667,-1,Japan
0.27,26.9,30.4,72.8,18,0.45,0.89,42.63666667,29.81666667,-2,Japan
0.27,26.9,30.4,72.8,18,0.34,0.89,42.63666667,29.81666667,-2,Japan
0.27,26.9,30.4,72.8,18,0.34,0.926666667,56.04666667,32.27666667,-1,Japan
0.27,26.9,30.4,72.8,18,0.34,0.926666667,56.04666667,32.27666667,0,Japan
0.27,26.9,30.26666667,72.8,18,0.34,0.923333333,48.72333333,30.96,-1,Japan
0.27,26.9,30.63333333,72.8,18,0.33,0.966666667,42.51,31.04666667,2,Japan
0.27,26.9,30.96666667,72.8,18,0.24,0.926666667,65.24666667,32.77,2,Japan
0.27,26.9,30.96666667,72.8,18,0.34,0.926666667,65.24666667,32.77,-1,Japan
0.27,26.9,30.96666667,72.8,18,0.34,0.93,65.24666667,32.77,0,Japan
0.27,26.9,30.96666667,72.8,18,0.34,0.93,65.24666667,32.77,-2,Japan
0.27,26.9,30.96666667,72.8,18,0.56,0.93,65.24666667,32.77,-1,Japan
0.27,26.9,30.96666667,72.8,18,0.24,0.93,65.24666667,32.77,-2,Japan
0.27,26.9,30.96666667,72.8,18,0.69,0.93,65.24666667,32.77,-2,Japan
0.27,26.9,31,72.8,18,0.46,1.05,75.03333333,32.15333333,-1,Japan
0.27,26.9,31,72.8,18,0.39,1.05,75.03333333,32.15333333,-2,Japan
0.27,26.9,31.53333333,72.8,18,0.52,1.05,86.43333333,33.24333333,2,Japan
0.27,26.9,31.53333333,72.8,18,0.34,1.05,86.43333333,33.24333333,2,Japan
0.27,26.9,31.26666667,72.8,18,0.42,1.34,91.09666667,35.39666667,2,Japan
0.27,26.9,31.2,72.8,18,0.46,1.3,90.17666667,34.97333333,-1,Japan
0.27,26.9,31.2,72.8,18,0.34,1.3,90.17666667,34.97333333,-2,Japan
0.27,26.9,31.2,72.8,18,0.34,1.3,90.17666667,34.97333333,-2,Japan
0.27,26.9,31.2,72.8,18,0.26,1.3,90.17666667,34.97333333,0,Japan
0.27,26.9,31.1,72.8,18,0.33,1.01,80.2,32.55,0,Japan
0.27,26.9,30.83333333,72.8,18,0.44,1.01,68.59,30.85333333,2,Japan
0.27,26.9,30.83333333,72.8,18,0.26,1.01,68.59,30.85333333,-1,Japan
0.27,26.9,30.5,72.8,18,0.46,1.01,59.85333333,29.42333333,-2,Japan
0.27,26.9,30.5,72.8,18,0.46,1.01,59.85333333,29.42333333,0,Japan
0.27,26.9,30.5,72.8,18,0.64,1.01,59.85333333,29.42333333,2,Japan
0.27,26.9,30.5,72.8,18,0.34,1.01,59.85333333,29.42333333,0,Japan
0.27,26.9,30.53333333,72.8,18,0.46,1.01,61.77333333,29.32666667,-1,Japan
