Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.02,23.4,26.2,37.6,7.8,0.643333333,1.466666667,9,26.48666667,1,Slovakia
0,18.7,26.3,61.1,7.8,0.89,1.333333333,12,27.52333333,2,Slovakia
0,22,27.23333333,51.3,7.8,0.756666667,1.2,25.33333333,32.81333333,1,Slovakia
0.08,20.7,26.63333333,37.5,7.8,1.153333333,2,18.33333333,30.39333333,1,Slovakia
0.073333333,20.4,26.56666667,41.5,7.8,1.153333333,2,16,30.08333333,-2,Slovakia
0.06,20.9,26.4,43.3,7.8,1.38,2,25.33333333,32.81333333,-2,Slovakia
0.06,20.7,26.5,45.7,7.8,1.38,2,25.33333333,32.81333333,1,Slovakia
0.036666667,22.2,26.36666667,49.1,7.8,1.023333333,1.666666667,25.33333333,32.81333333,1,Slovakia
0,21.1,25.33333333,55.9,7.8,0.603333333,1.066666667,13,28.05,1,Slovakia
0,19.5,25.33333333,58.8,7.8,0.603333333,1.133333333,13,28.05,1,Slovakia
0,23,26,43.7,7.8,0.516666667,1.5,17,27.28333333,-1,Slovakia
0.036666667,22.2,26.2,45.8,7.8,0.843333333,2,23.33333333,30.35666667,2,Slovakia
0.053333333,21.1,26.13333333,37.2,7.8,0.763333333,2,9.666666667,27.23333333,0,Slovakia
0.066666667,22,26.4,34.3,7.8,0.753333333,2,9.666666667,27.24,0,Slovakia
0.036666667,19.3,26,50,7.8,0.786666667,1.866666667,15,29.4,0,Slovakia
0.04,22.3,26.2,43,7.8,0.803333333,1.866666667,17,29.26,0,Slovakia
0,20.4,24.53333333,56,7.8,0.65,1.7,12,27.66,1,Slovakia
0,22.1,24.53333333,53.3,7.8,0.56,1.666666667,12,27.66,1,Slovakia
0,20,24.53333333,51.8,7.8,0.653333333,1.133333333,12,27.66,0,Slovakia
0,20.2,24.53333333,53.1,7.8,0.653333333,1.133333333,12,27.66,0,Slovakia
0.1,24.8,27.2,47.8,7.8,0.643333333,1.166666667,16.33333333,27.89666667,2,Slovakia
0.263333333,23.7,26.23333333,34.5,7.8,1.1,1.566666667,9.333333333,25.04666667,1,Slovakia
0.1,23.9,27.26666667,47,7.8,0.64,1.233333333,20.33333333,28.47333333,2,Slovakia
0.286666667,24.3,26.23333333,35.6,7.8,1.073333333,1.566666667,7.333333333,25.39333333,2,Slovakia
0.4,23.7,25.66666667,43.8,7.8,0.933333333,1.566666667,7.666666667,23.15,-1,Slovakia
0.396666667,21.7,26.83333333,37.7,7.8,1.22,1.366666667,7.666666667,24.69666667,1,Slovakia
0.393333333,23.9,26.83333333,39.3,7.8,1.22,1.466666667,8.666666667,25.31,2,Slovakia
0.376666667,21.6,26.9,38.7,7.8,1,1.366666667,12,22.54333333,2,Slovakia
0.376666667,21.3,25.86666667,41.5,7.8,1,1.366666667,12,22.54333333,2,Slovakia
0,22.1,24.73333333,46.6,7.8,0.516666667,2.033333333,24,29.31666667,2,Slovakia
0.033333333,22.6,24.96666667,53.3,7.8,0.616666667,1.533333333,10,27.23,2,Slovakia
0.066666667,21.9,25.13333333,48.3,7.8,0.616666667,1.4,9,26.80333333,2,Slovakia
0.256666667,22.1,25,45.2,7.8,0.833333333,1.266666667,24.66666667,21.97333333,0,Slovakia
0.413333333,22.9,27.03333333,38.7,7.8,0.853333333,1.4,25.66666667,20.91333333,2,Slovakia
0.403333333,22.8,25.66666667,40.5,7.8,0.853333333,1.4,23,21.17,2,Slovakia
0.033333333,20.5,25.33333333,52.5,7.8,0.93,1.066666667,8.333333333,26.62666667,2,Slovakia
0,21.8,25.16666667,44.9,7.8,0.746666667,1.333333333,11.66666667,27.19666667,0,Slovakia
0.286666667,22.9,25.16666667,37.6,7.8,0.94,1.266666667,18.33333333,22.92,2,Slovakia
0,23.6,25.36666667,46.6,7.8,0.623333333,1.4,12.33333333,27.37,1,Slovakia
0,23.6,25.26666667,50.4,7.8,0.71,1.2,7.666666667,26.41,2,Slovakia
0.133333333,23.5,25.36666667,43.4,7.8,0.746666667,1.4,13.66666667,25.93,0,Slovakia
0,25.1,25.26666667,49.6,7.8,0.71,1.2,7.666666667,26.41,2,Slovakia
0.393333333,22.2,25.16666667,41.4,7.8,1,1.333333333,26.66666667,20.81666667,2,Slovakia
0,24.2,25.36666667,47,7.8,0.71,1.2,12.33333333,27.37,1,Slovakia
0.033333333,21.4,25.86666667,48.5,7.8,0.87,1.1,10.66666667,25.66,0,Slovakia
0.28,20.8,25.76666667,44.5,7.8,0.933333333,1.2,19.33333333,23.42333333,0,Slovakia
0,17.8,25.86666667,47.4,7.8,0.796666667,1,32,22.39,-1,Slovakia
0,24.2,25.16666667,56.5,7.8,0.886666667,1,14,28.49666667,2,Slovakia
0.296666667,23.9,25.53333333,37.9,7.8,0.716666667,1.266666667,30.66666667,24.57,0,Slovakia
0.273333333,23,25.53333333,36.2,7.8,0.73,1.166666667,40.33333333,20.95,1,Slovakia
0,18.8,24.16666667,61.3,7.8,0.74,1,11.33333333,27.99,0,Slovakia
0.15,21,25.76666667,47.2,7.8,0.923333333,1.133333333,31.33333333,21.16333333,2,Slovakia
0.08,22.8,25.43333333,56.5,7.8,0.73,1.233333333,24,29.20666667,2,Slovakia
0.166666667,23,25.76666667,51.7,7.8,0.86,1.2,15,22.93,2,Slovakia
0.053333333,20.7,25.06666667,59.3,7.8,0.713333333,1.333333333,19.66666667,28.78666667,2,Slovakia
0.306666667,22.6,25.46666667,42.8,7.8,0.813333333,1.2,12,23.12333333,1,Slovakia
0.163333333,21.8,24.93333333,44.2,7.8,0.85,1.133333333,5.666666667,24.38666667,0,Slovakia
0.04,22.8,25.2,50.5,7.8,0.846666667,1.133333333,15,22.93,1,Slovakia
0.066666667,23.4,24.5,48.4,7.8,0.75,1.2,5.666666667,24.41,1,Slovakia
0.066666667,22.2,24.23333333,48.7,7.8,0.75,1.2,5.666666667,24.41,2,Slovakia
0,21.5,24.33333333,55.7,7.8,1.163333333,1,17,28.58,0,Slovakia
0.09,25.7,25.43333333,36.5,7.8,1.136666667,1.2,11,27.33666667,2,Slovakia
0.063333333,23.2,24.9,39.6,7.8,0.95,1.166666667,9,27.16,1,Slovakia
0,22.3,24.2,57.7,7.8,1.163333333,1,12.33333333,27.37666667,2,Slovakia
0.05,25.4,25.1,46.7,7.8,0.743333333,1.166666667,5,24.77333333,2,Slovakia
0.083333333,25.5,25.03333333,40,7.8,0.836666667,1.233333333,6,25.71,2,Slovakia
0.096666667,21.6,24.7,47.8,7.8,0.64,1.6,17.66666667,27.34,1,Slovakia
0.066666667,20.9,22.86666667,50.6,7.8,0.713333333,1.566666667,17.66666667,27.34,0,Slovakia
0.033333333,22.8,24.73333333,56.7,7.8,0.82,1.566666667,14.66666667,28.19333333,0,Slovakia
0.1,20.5,25.06666667,42.8,7.8,0.703333333,1.266666667,9.666666667,26.96333333,0,Slovakia
0.066666667,19.8,23.26666667,48.4,7.8,0.85,1.5,13.33333333,28.30666667,1,Slovakia
0.066666667,17.7,22.8,46.9,7.8,0.85,1.5,6.666666667,26.8,0,Slovakia
0.066666667,20,21.66666667,50.3,7.8,0.85,1.5,14,29.05333333,-1,Slovakia
0.066666667,21.9,23.4,48.6,7.8,0.683333333,1.366666667,6.333333333,26.57333333,1,Slovakia
0.083333333,23.5,26.2,38.7,7.8,0.603333333,1.466666667,13,24.83333333,1,Slovakia
0.033333333,21.2,20.53333333,50.4,7.8,0.943333333,1.366666667,9.666666667,28.85666667,2,Slovakia
0.023333333,25.1,24.06666667,49.5,7.8,0.806666667,1.133333333,6.666666667,24.79333333,2,Slovakia
0.066666667,21.9,26.2,39.2,7.8,0.836666667,1.466666667,18,27.67333333,0,Slovakia
0.05,23.4,25.43333333,45.9,7.8,0.643333333,1.133333333,6.666666667,24.05666667,1,Slovakia
0.05,22.3,24.03333333,45.5,7.8,0.643333333,1.133333333,14,25.98666667,1,Slovakia
0,20.9,20.26666667,60.3,7.8,0.843333333,1.233333333,9,28.32666667,2,Slovakia
