Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.27,24.3,23.1,36.8,32.8,0.57,1,32,22.2,-1,USA
0.09,25.7,23.5,33.1,32.8,0.57,1.1,5,24.45,-1,USA
0.06,24.6,23.5,34.9,32.8,0.57,1.1,8,23.74,1,USA
0.13,26.4,23.73333333,31.7,32.8,0.57,1,7,24.49,0,USA
0.07,25,23.5,33.3,32.8,0.57,1,9,23.9,2,USA
0.08,26.2,23.8,30.8,32.8,0.57,1.1,5,24.66,1,USA
0.07,25.1,23.8,34.2,32.8,0.57,1,11,23.41,0,USA
0.13,24.3,22.66666667,35.3,31.7,0.54,1.1,16,23.22,0,USA
0.12,24.5,23.8,35,31.7,0.54,1.133333333,12.23333333,23.52666667,0,USA
0.17,24.3,23.56666667,35,31.7,0.61,1.1,14,23.36,2,USA
0.14,24.5,23.6,34.4,31.7,0.61,1.1,13,23.55,2,USA
0.13,24.4,23.6,34.1,31.7,0.57,1.1,11,23.76,2,USA
0.12,24.5,23.36666667,34.1,31.7,0.57,1.3,5,24.88,2,USA
0.21,24.1,22.83333333,34.8,31.7,0.54,1.1,25,22.41,2,USA
0.09,24.2,23.06666667,38.7,32.8,0.57,1.1,8,23.73,-1,USA
0.09,23.8,23.03333333,40,32.8,0.61,1.1,8,23.8,-2,USA
0.1,24.3,23,38.3,32.8,0.61,1.2,7.126666667,23.97333333,-1,USA
0.09,23.5,22.7,41.2,32.8,0.57,1.1,7.333333333,23.94666667,-2,USA
0.1,23.9,23.03333333,39.4,32.8,0.57,1.1,10.22333333,24.22333333,0,USA
0.1,24.4,23.03333333,37.9,32.8,0.57,1.1,10.17666667,24.38,0,USA
0.32,23.8,22.66666667,43.8,32.8,0.79,1.1,6,24.31,-2,USA
0.31,23.7,22.3,43.7,32.8,0.54,1,38,22.03,0,USA
0.24,23.9,22.66666667,40.4,32.8,0.79,1,7,24.64,0,USA
0.35,23.8,22.66666667,43.6,32.8,0.57,1.7,7,25.38,-1,USA
0.32,23.8,22.66666667,35.8,32.8,0.57,1,37,22.05,0,USA
0.36,23.8,22.8,42.3,32.8,0.61,1,32,22.2,-1,USA
0.33,23.8,22.8,42.1,32.8,0.61,1,28,22.51,0,USA
0.32,23.8,22.8,42.8,32.8,0.57,1,32,22.27,-1,USA
0.33,23.9,23.4,35.9,32.8,0.57,1.1,20,22.69,0,USA
0.33,23.8,22.3,44.3,32.8,0.57,1.7,8,25.62,-1,USA
0.09,24.3,22.86666667,37.6,28.9,0.61,1.1,8,23.95,-2,USA
0.14,24.4,22.36666667,43.5,28.9,0.61,1,14,23.64,-2,USA
0.12,24.1,23.26666667,38.1,28.9,0.61,1.1,11,23.65,-2,USA
0.13,23.9,23.26666667,39.2,28.9,0.61,1.1,14,23.46,-2,USA
0.12,23.8,22.66666667,39.2,28.9,0.61,1.1,13,23.42,-2,USA
0.11,24.3,22.36666667,38,28.9,0.61,1.5,8,26.69,-2,USA
0.11,23.7,22.4,38.3,28.9,0.61,1,18,23.13,-2,USA
0.14,24.1,22.4,38,28.9,0.57,1.1,17,23.11,-2,USA
0.12,24.3,21.7,38.5,28.9,0.61,1.1,10,23.82,-2,USA
0.12,24,22.46666667,38.4,28.9,0.61,1,15,23.45,-2,USA
0.14,24.1,22.46666667,39.5,28.9,0.61,1.1,13,23.56,-2,USA
0.14,24.1,22.56666667,37.9,31.7,0.61,1.1,9,24.12,1,USA
0.19,23.8,23.03333333,39.4,31.7,0.61,1.1,13,23.44,0,USA
0.15,23.6,22.93333333,39.4,31.7,0.61,1.1,11.66666667,23.65333333,1,USA
0.17,23.8,22.93333333,41.4,31.7,0.61,1.1,15,23.15333333,0,USA
0.17,23.6,22.86666667,41.8,32.8,0.61,1.1,13,23.4,0,USA
0.2,24.8,22.03333333,36.9,31.7,0.61,1.1,9,23.91,1,USA
0.28,24.3,23.06666667,42.6,31.7,0.61,1.1,19,22.62,0,USA
0.21,24.1,23.06666667,43.6,31.7,0.61,1.1,17,22.92,0,USA
0.23,24,23.06666667,44.1,31.7,0.61,1.1,19,22.76,-1,USA
0.34,24.6,23.1,34.5,31.7,0.61,1.1,21,22.43,1,USA
0.15,23.4,23.03333333,43.9,31.7,0.61,1.1,18,23,-1,USA
0.19,23.9,23.23333333,43.2,31.7,0.61,1.1,17,23.01,0,USA
0.18,24.7,23,39.5,31.7,0.61,1,14,23.65,1,USA
0.21,24,23.16666667,34.8,28.9,0.54,1.1,20,22.72,0,USA
0.16,23.9,22.83333333,35.6,28.9,0.57,1,26,22.8,0,USA
0.11,24,22.26666667,35.3,29.4,0.67,1.1,7,24.33,0,USA
0.08,26.9,23.13333333,33,32.8,0.57,1,6,24.34,-1,USA
0.11,26,22.5,53.4,32.8,0.57,1,5,25.61,2,USA
0.08,25.6,23.16666667,34.7,32.8,0.57,1.7,15,27.76,1,USA
0.07,24.2,22.8,42.1,28.9,0.57,1,11,23.69,1,USA
0.1,25.8,23.16666667,34.5,28.9,0.57,1,9,23.98,2,USA
0.06,23.6,22.66666667,45.9,28.9,0.57,1,16,23.11,0,USA
0.04,26.3,22.93333333,34,28.9,0.57,1,7,24.09,0,USA
0.1,22.6,22.9,37.6,28.9,0.57,1,28,22.35,-1,USA
0.11,24.9,22.93333333,34.3,32.8,0.57,1.1,7,24.33,1,USA
0.15,25.5,22.93333333,34.7,32.8,0.57,1,7,24.6,0,USA
0.12,25,22.23333333,36,32.8,0.57,1,9,24.24,-1,USA
0.1,24.7,22.6,42.2,32.8,0.57,1.7,17,28.42,-1,USA
0.11,25,22.3,40.9,32.8,0.57,1.3,15.09,24.86666667,0,USA
0.14,24.6,22.33333333,38.4,32.8,0.57,1.4,6,26.02,-1,USA
0.11,24.7,22.23333333,39.4,32.8,0.57,1,10,24.01,0,USA
0.18,24.2,22.26666667,40.2,32.8,0.57,1.2,11.42333333,24.06666667,1,USA
0.14,24.1,21.63333333,37.5,32.8,0.57,1.266666667,7.166666667,24.83666667,0,USA
0.19,24.2,21.63333333,37.5,32.8,0.57,1.333333333,9.463333333,24.43666667,0,USA
0.17,23.3,22.4,40.8,28.9,0.54,1,43,21.72,0,USA
0.11,23.4,21.7,39.1,28.9,0.54,1.7,7,26.31,0,USA
0.13,23.2,22.43333333,45.2,28.9,0.54,1.1,27,22.24,-2,USA
0.15,24.1,22.63333333,37.6,28.9,0.54,1.1,18,22.86,0,USA
0.26,22.9,21.9,48.9,28.9,0.54,1.1,37,21.39,0,USA
0.21,23.2,22,42.2,28.9,0.54,1,51,21.22,0,USA
0.14,24,21.63333333,41,28.9,0.61,1.1,13,23.31,-1,USA
0.14,24.4,22.4,37.4,28.9,0.61,1,18,23.3,0,USA
0.14,24.2,22.23333333,50,28.9,0.61,1.1,8.36,24.08,0,USA
0.01,22.5,22.06666667,57.16666667,16.1,0.86,1.2,19.31,22.81,0,USA
0.13,21,22.03333333,57.66666667,16.1,0.72,1.3,28.32,21.88333333,1,USA
0.01,26,22.06666667,57.06666667,16.1,0.63,1.3,33.31666667,21.66333333,2,USA
0.01,23.7,21.9,57.26666667,16.1,0.96,1.2,33.55333333,21.84,0,USA
0.01,22.9,21.96666667,57.2,16.1,0.72,1.3,30.71,21.99666667,0,USA
0.01,23.6,21.73333333,58.23333333,16.1,0.65,1.2,20.58,22.45333333,0,USA
0.07,24.5,21.76666667,57.56666667,16.1,0.56,1.3,28.09666667,21.72666667,0,USA
0.15,25.1,21.76666667,57.56666667,16.1,0.56,1.3,28.09666667,21.72666667,-1,USA
0.01,23.4,21.56666667,57.33333333,16.1,0.61,1.1,16.08666667,23.97333333,-1,USA
0.09,26.2,22.33333333,54.8,16.1,0.76,1.2,15.86,23.74333333,1,USA
0.57,30.3,22.33333333,19.66666667,16.1,0.62,1.4,15.86,23.74333333,2,USA
0.01,23.4,22.23333333,54.93333333,16.1,0.86,1.3,7.863333333,26.56,0,USA
0.6,26,22.53333333,54.03333333,16.1,0.63,1.3,9.173333333,24.14,2,USA
0.01,25.7,22.23333333,54.26666667,16.1,0.59,1.2,14.59,23.21666667,0,USA
0.01,27,22.23333333,54.26666667,16.1,0.6,1.3,14.59,23.21666667,2,USA
0,23.4,21.7,56.33333333,16.1,0.64,1.2,27.39666667,21.59333333,-1,USA
1.21,26.5,22.2,55.36666667,16.1,0.64,1.3,24.28,22.92333333,1,USA
0.01,25,22.03333333,55.7,16.1,0.66,1.1,26.02,22.71333333,0,USA
0.01,23.2,22.2,55.93333333,16.1,0.63,1.2,13.36666667,25.02,-1,USA
0.01,23.1,21.9,55.96666667,16.1,0.72,1.2,13.79333333,25.1,0,USA
0.1,24.5,22,56.4,16.1,0.56,1.3,6.603333333,26.35,-1,USA
0.01,24.4,22.23333333,54.73333333,16.1,0.65,1.2,17.5,23.71666667,0,USA
0.11,22.8,22.23333333,54.73333333,16.1,0.72,1.3,17.5,23.71666667,1,USA
0.14,23.6,22.23333333,55.66666667,16.1,0.56,1.3,17.31666667,23.75,0,USA
0.58,26,22.1,56.33333333,16.1,1.02,1.3,7.27,24.56666667,1,USA
0.01,22,21.86666667,56.96666667,16.1,0.6,1.2,9.106666667,24.30666667,0,USA
0.01,23.7,21.93333333,57,16.1,0.81,1.3,9.796666667,23.34333333,0,USA
0.49,27,22.06666667,56.1,16.1,0.64,1.1,9.676666667,23.94666667,0,USA
0.21,25.9,22.06666667,56.1,16.1,0.76,1.3,9.676666667,23.94666667,0,USA
0.01,23.1,22.4,55.43333333,16.1,0.86,1.3,7.59,24.26333333,0,USA
0.01,26,22.33333333,55.06666667,16.1,0.96,1.2,8.396666667,25.82666667,0,USA
0.07,25.8,22.46666667,51.36666667,16.1,0.64,1.2,8.726666667,25.06,1,USA
0.01,25.4,22.1,52.1,16.1,0.78,1.2,11.13,24.70666667,0,USA
0,24.5,22.23333333,48.56666667,16.1,1.03,1.2,9.606666667,23.39333333,1,USA
0,23,22.23333333,48.56666667,16.1,0.63,1.2,9.606666667,23.39333333,0,USA
0.01,23,22.5,48.33333333,16.1,0.92,1.3,9.27,24.09666667,-1,USA
0.01,21.9,23.16666667,43.3,16.1,0.57,1.3,5.666666667,24.97333333,0,USA
0.35,27.6,23.7,40.8,16.1,0.62,1.4,8.463333333,23.86,1,USA
0.01,24.7,23.7,40.8,16.1,0.63,1.3,8.463333333,23.86,0,USA
0.05,24.3,23.8,40.1,16.1,0.61,1.4,8.383333333,23.76333333,1,USA
0,24.4,24.06666667,40,16.1,0.66,1.1,7.48,23.8,0,USA
0.01,22.8,23.86666667,41.13333333,16.1,0.63,1.3,16.76333333,23.25,1,USA
0.34,26,23.86666667,41.5,16.1,0.64,1.2,9.74,23.53333333,1,USA
0.07,23.3,23.46666667,45.6,16.1,0.56,1.2,27.36666667,22.06,1,USA
0.25,25.9,23.76666667,45.66666667,16.1,0.76,1.2,11.19,23.32,0,USA
0.34,25.1,23.7,45.9,16.1,0.63,1.1,18.65,22.54,1,USA
0.1,23.8,23.83333333,46.66666667,16.1,0.64,1.3,15.21333333,23.58333333,1,USA
0.52,25.1,23.83333333,46.66666667,16.1,0.72,1.2,15.21333333,23.58333333,1,USA
0.01,24.3,23.86666667,46.63333333,16.1,0.65,1.2,8.973333333,23.98666667,-1,USA
0.01,23.2,23.8,46.7,16.1,0.56,1.2,8.67,24.12333333,0,USA
0.01,25.4,23.63333333,46.76666667,16.1,0.63,1.3,16.29,23.32,2,USA
0.01,22.7,23.2,49.73333333,16.1,0.86,1.2,9.406666667,23.55333333,0,USA
0.01,25.3,23.4,49.03333333,16.1,0.75,1.3,16.94,23.92666667,2,USA
0,22.9,23.26666667,49.4,16.1,0.57,1.2,14.89666667,24.34,1,USA
0.04,23.1,23.26666667,49.4,16.1,0.67,1.3,14.89666667,24.34,2,USA
0.07,23.8,23.13333333,51.03333333,16.1,0.61,1.4,6.876666667,25.24666667,0,USA
0.01,22.4,22.93333333,51.43333333,16.1,0.63,1.3,7.903333333,23.74666667,1,USA
0.13,23.4,23.13333333,50.83333333,16.1,0.56,1.3,8.09,24.48,-1,USA
0,26.4,23.23333333,50.43333333,16.1,0.64,1.1,8.646666667,24.30333333,0,USA
0.36,21.6,23.2,50.96666667,16.1,0.72,1.3,8.066666667,23.72333333,1,USA
0.01,22.9,23.4,51.73333333,16.1,0.56,1.3,7.386666667,24.13666667,0,USA
0.13,24.3,23.4,51.73333333,16.1,0.62,1.2,7.386666667,24.13666667,0,USA
0.04,26.8,23.36666667,45.8,16.1,0.63,1.2,8.823333333,23.59333333,2,USA
0.01,25.5,23.43333333,52,16.1,0.96,1.3,9.15,23.33333333,0,USA
0.01,25.4,23.3,52.06666667,16.1,0.63,1.3,7.08,23.64666667,1,USA
0.01,24.2,23.2,52.8,16.1,0.72,1.3,5.646666667,24.39333333,0,USA
0.05,26.8,23.4,52.86666667,16.1,0.72,1.2,8.816666667,24.02,2,USA
0.06,24.5,23.4,52.86666667,16.1,0.59,1.4,8.816666667,24.02,0,USA
0,26.1,23.4,52.86666667,16.1,0.53,1.2,8.816666667,24.02,0,USA
0.01,24.3,23.13333333,54.4,16.1,0.65,1.3,21.30333333,22.67333333,-2,USA
0.12,23.8,23.5,52.26666667,16.1,0.72,1.2,9.15,23.73333333,0,USA
0.01,24.2,23.43333333,48.93333333,16.1,0.86,1.3,9.843333333,23.69,0,USA
0.55,23.6,23.43333333,48.93333333,16.1,0.56,1.2,9.843333333,23.69,-1,USA
0,24.1,23.96666667,48.56666667,16.1,0.63,1.3,5.803333333,24.66666667,2,USA
0,23.4,23.73333333,49.1,16.1,0.57,1.3,6.186666667,24.94666667,-1,USA
0.04,24.2,23.73333333,49.1,16.1,0.61,1.3,6.186666667,24.94666667,0,USA
0.07,23,24.96666667,46.23333333,16.1,0.56,1.3,8.376666667,26.28,1,USA
0.58,24.4,25.13333333,46.16666667,16.1,0.56,1.2,8.346666667,25.73,2,USA
0,24.3,24.93333333,46.7,16.1,0.75,1.3,8.1,25.91,2,USA
0.01,22.9,23.96666667,49.76666667,16.1,0.72,1.3,6.66,24.56666667,0,USA
0.01,25.2,24.26666667,48.6,16.1,0.63,1.3,8.176666667,26.18666667,2,USA
0,23.9,24,49.8,16.1,0.62,1.2,6.51,24.68333333,-1,USA
0.01,23.2,24.4,49.1,16.1,0.56,1.3,5.12,25.36333333,0,USA
0,26,24.76666667,48.76666667,16.1,0.64,1.2,5,25.43666667,1,USA
