Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.16,20.5,25.6,59.8,13,0.5,1.25,36.28,21.06,0,Australia
0.12,22.7,25.6,50,13,0.71,1.4,5,26.24,0,Australia
0.07,22.9,25.6,48.7,13,0.54,1.2,9,23.55,1,Australia
0.11,19.8,25.6,57.6,13,0.63,1.1,43,20.69,-1,Australia
0.03,20.4,25.6,57.4,13,0.85,1.2,9,23.69,-2,Australia
0.09,22.7,25.6,49.5,13,0.45,1.3,11,22.92,-1,Australia
0.12,22.9,25.6,50.2,13,0.46,1.1,23,22.37,1,Australia
0.08,20.3,25.6,58.3,13,0.53,1.4,15,22.23,0,Australia
0.07,22.8,25.6,51.8,13,0.46,1,37,21.71,1,Australia
0.1,18.7,25.6,65.6,13,0.84,1.4,9,23.66,0,Australia
0.11,22.4,25.6,55.2,13,0.5,1.3,8,23.62,1,Australia
0.05,22.4,25.6,55.3,13,0.8,1.3,5,25.51,0,Australia
0.13,25.2,25.6,45.5,13,0.43,1.3,5,24.93,2,Australia
0.14,23.5,25.6,49.8,13,0.55,1,25,22.79,0,Australia
0.11,22.9,25.6,49.9,13,0.46,1.4,6,24.06,-1,Australia
0.07,22.8,25.6,52.2,13,0.38,1.1,31,21.59,0,Australia
0.08,23.8,25.6,47.4,13,0.52,1.1,10,23.31,-1,Australia
0.12,25.6,25.6,45.2,13,0.38,1.3,5,24.99,2,Australia
0.04,23.7,25.6,48.9,13,0.48,1.1,13,22.93,0,Australia
0.1,22.8,25.6,52.7,13,0.55,1.1,18,22.49,0,Australia
0.03,23.4,25.6,43.9,13,0.48,1.1,16,22.76,0,Australia
0.04,20.8,25.6,49.6,13,1.01,1.1,7,24.15,-1,Australia
0.07,21,25.6,50.7,13,0.38,1.1,65,19.84,0,Australia
0.07,22.9,25.6,43.5,13,0.52,1.1,19,22.36,-1,Australia
0.05,23.2,25.6,44,13,0.4,1.1,25,22.02,2,Australia
0.11,20.7,25.6,50.7,13,0.63,1.1,33,21.44,-1,Australia
0.17,21.4,25.6,51.7,13,0.5,1.3,32,21.32,0,Australia
0.06,21.3,25.6,52,13,0.83,1.4,5,25.89,0,Australia
0.08,20.4,25.6,53.6,13,0.93,1.1,12,23.18,-2,Australia
0.07,25,25.6,41.3,13,0.46,1.1,6,24.13,1,Australia
0.09,21.7,25.6,45.5,13,0.46,1.4,11,22.73,-1,Australia
0.11,24.2,25.6,41.7,13,0.49,1.4,5,25.3,1,Australia
0.08,21.8,25.6,49.9,13,0.59,1.1,22,22.15,0,Australia
0.24,21.1,25.6,41.9,13,0.95,1.1,16,23.05,-1,Australia
0.11,22.8,25.6,42.2,13,0.55,1.1,18,22.71,0,Australia
0.09,21.7,25.6,45.7,13,0.85,1.3,5,24.89,0,Australia
0.06,24.6,25.6,36.7,13,0.54,1.2,5,24.76,1,Australia
0.1,22,25.6,39.4,13,0.59,1.4,6,24.07,-1,Australia
0.14,22.8,25.6,42.1,13,0.55,1.1,30,22.17,0,Australia
0.08,22,25.6,44,13,0.94,1.2,5,25.8,-2,Australia
0.13,23,25.6,37.5,13,0.46,1.2,22,22.41,-1,Australia
0.11,23.3,25.6,39.1,13,0.66,1.2,6,24.38,0,Australia
0.06,24.1,25.6,35.4,13,0.51,1.3,5,24.42,0,Australia
0.07,24.1,25.6,35.3,13,0.46,1.1,13,23.07,0,Australia
0.1,21.4,25.6,40.5,13,0.71,1.1,20,22.34,-1,Australia
0.08,19.9,25.6,52.4,13,0.8,1.2,16,22.47,-2,Australia
0.07,25.3,25.6,39.4,13,0.49,1,7,24.22,1,Australia
0.03,25.3,25.6,39.4,13,0.93,1.4,24,29.74,0,Australia
0.06,21.8,25.6,47.6,13,0.53,1.7,5,25.56,0,Australia
