Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,PPD,SET,Thermal sensation,Country
0.18,26.5,26.6,63.4,25,0.44,1.3,10,26.84,0,Brazil
0.18,26.5,27.2,65.3,25,0.39,1.3,10,26.85,1,Brazil
0.12,26.8,27,56.5,25,0.41,1.3,13,27.39,0,Brazil
0.11,27.4,27.5,60.4,25,0.37,1.3,18,27.9,1,Brazil
0.28,26.6,27.2,60,25,0.37,1.3,6,25.24,1,Brazil
0.19,26.8,27.7,60.3,25,0.4,1.3,12,26.96,1,Brazil
0.08,24.4,24.7,56.8,25,0.68,1.3,9,27.08,0,Brazil
0.09,25.2,25.1,53.5,25,0.65,1.3,11,27.32,0,Brazil
0.11,23.4,24.2,74.8,25,0.68,1.3,7,27.1,0,Brazil
0.1,24.3,24.8,58.7,25,0.71,1.3,9,27.39,0,Brazil
0.11,24.8,24.9,52.1,25,0.49,1.3,5,25.64,0,Brazil
0.08,22.8,22.6,58.6,25,0.65,1.3,5,25,0,Brazil
0.06,21.6,21.6,66.9,25,0.86,1.3,5,25.86,0,Brazil
0.08,22.6,22.6,60.3,25,0.76,1.3,5,25.87,0,Brazil
0.07,22.3,22.3,56.9,25,0.8,1.3,5,25.72,0,Brazil
0.17,21.9,22.2,53.9,25,0.64,1.3,10,23.56,0,Brazil
0.36,23.8,23.8,73.2,25,0.64,1.3,5,24.32,0,Brazil
0.29,22.5,24.6,79.8,25,0.45,1.3,15,22.67,0,Brazil
0.08,20.9,20.8,72.2,25,0.96,1.3,5,26.08,0,Brazil
0.08,20.2,20.4,78.3,25,0.82,1.3,6,24.42,0,Brazil
0.09,19.8,20.2,74.1,25,1,1.3,5,25.55,0,Brazil
0.06,19.4,19.5,75,25,1.07,1.3,5,25.64,-1,Brazil
0.07,18.7,18.9,71.7,25,0.95,1.3,9,23.76,-1,Brazil
0.12,20,20.1,73,25,0.71,1.3,13,23,0,Brazil
0.11,21,22.3,77,25,0.83,1.3,5,26.02,0,Brazil
0.14,23.3,24,69.5,25,0.64,1.3,5,26.27,0,Brazil
0.17,23.8,24.2,69.1,25,0.54,1.3,5,25.24,0,Brazil
0.1,22.6,22.9,72.9,25,0.75,1.3,6,26.43,0,Brazil
0.22,22.7,23.6,73.5,25,0.5,1.3,11,23.3,0,Brazil
0.08,21.9,23.3,46.5,25,0.68,1.3,5,24.85,-1,Brazil
0.09,21.6,22.7,56.5,25,0.71,1.3,5,24.9,0,Brazil
0.06,20.6,21.8,51.6,25,0.78,1.3,6,24.41,-1,Brazil
0.1,20.2,21.6,43,25,0.68,1.3,12,23.13,-1,Brazil
0.09,22.6,23.2,69,25,0.67,1.3,5,25.71,0,Brazil
0.1,25.7,26,74.5,25,0.5,1.3,13,28.05,0,Brazil
0.07,20.3,20.9,64.3,25,0.83,1.3,6,24.48,-1,Brazil
0.1,22,22.7,67.9,25,0.72,1.3,5,25.51,0,Brazil
0.06,25.2,25.5,73.6,25,0.55,1.3,13,27.83,1,Brazil
0.08,26.6,26.8,75.8,25,0.48,1.3,22,29.05,1,Brazil
0.09,19.8,20.6,63.3,25,0.85,1.3,7,24.23,-1,Brazil
0.08,20.2,21,64.3,25,0.83,1.3,6,24.48,-1,Brazil
0.06,17.6,17.8,82.4,25,0.81,1.3,22,21.44,0,Brazil
0.07,20.8,21.4,83.8,25,0.78,1.3,5,25.14,0,Brazil
0.08,23.3,23.4,77.6,25,0.65,1.3,6,26.46,0,Brazil
0.06,23,23.3,82.1,25,0.68,1.3,6,26.68,0,Brazil
0.08,24.2,24.1,83.1,25,0.62,1.3,9,27.47,0,Brazil
0.07,24.3,24.1,81.8,25,0.61,1.3,9,27.34,0,Brazil
0.07,24.9,25.2,75.5,25,0.54,1.3,10,27.4,0,Brazil
0.14,25.3,26.1,77.2,25,0.51,1.3,10,27.97,0,Brazil
0.23,27.7,27.8,67.5,25,0.37,1.3,15,27.17,1,Brazil
0.16,27.7,28.6,72,25,0.34,1.3,24,28.85,1,Brazil
0.1,27.3,27.8,74.3,25,0.39,1.3,25,29.23,1,Brazil
0.14,28.3,28.3,74.2,25,0.38,1.3,32,30.09,2,Brazil
0.12,26.9,27.1,75.8,25,0.37,1.3,16,28.42,1,Brazil
0.07,26.3,26.8,70.5,25,0.45,1.3,18,28.19,1,Brazil
0.17,22,22.9,67.5,25,0.67,1.3,6,24.61,-1,Brazil
0.26,21.8,22.5,70.4,25,0.6,1.3,14,22.68,0,Brazil
0.14,28.5,28.2,59.5,25,0.41,1.3,29,29.18,1,Brazil
0.06,27.1,26.9,57,25,0.4,1.3,17,27.43,1,Brazil
0.11,27.6,27,68.4,25,0.37,1.3,19,28.27,1,Brazil
0.11,24.5,25.9,68.8,25,0.54,1.3,9,27.23,0,Brazil
0.06,27.5,27.8,63.2,25,0.38,1.3,25,28.41,1,Brazil
0.06,27.9,28.1,59.6,25,0.36,1.3,28,28.44,1,Brazil
0.07,28.4,28.4,66,25,0.33,1.3,35,29.14,1,Brazil
0.18,28.1,29,64.5,25,0.33,1.3,25,28.28,1,Brazil
0.15,25.1,26,55.4,25,0.46,1.3,6,26.01,2,Brazil
0.15,24.7,25.8,55.7,25,0.46,1.3,5,25.72,2,Brazil
0.18,24.6,25.5,55.5,25,0.46,1.3,5,25,1,Brazil
0.15,25.2,25.5,54.4,25,0.46,1.3,5,25.73,1,Brazil
0.16,24,25,59,25,0.46,1.3,5,24.86,1,Brazil
0.19,23.9,24.7,57.2,25,0.46,1.3,7,24.15,1,Brazil
0.17,23.5,24.8,58.9,25,0.46,1.3,7,24.36,0,Brazil
0.16,24.5,24.9,57.1,25,0.46,1.3,5,25.01,0,Brazil
0.21,22,23,69.1,25,0.5,1.3,16,22.62,0,Brazil
0.18,22.8,23.1,65.6,25,0.5,1.3,11,23.34,0,Brazil
0.19,23,23.4,64,25,0.5,1.3,10,23.5,0,Brazil
0.14,22.9,23.4,62.8,25,0.5,1.3,8,24.16,0,Brazil
