PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Tg_h (¡C),Subject«s weight (kg),Outdoor monthly air temperature (¡F)
0.3,7,26.48,1,25.2,64,0.1,-2,1,25.2,52,87.4
0.1,5,25.65,1,25.2,64,0.1,-1,1,25.2,69,87.4
0.1,5,25.65,1,25.2,64,0.1,-2,1,25.2,76,87.4
0.3,7,26.48,1,25.2,64,0.1,-2,1,25.2,52,87.4
0.2,6,26.26,1,25.2,64,0.1,0,1,25.2,72,87.4
0.2,6,26.26,1,25.2,64,0.1,-1,1,25.2,70,87.4
0.1,5,25.65,1,25.2,64,0.1,0,1,25.2,83,87.4
1.1,32,29.79,1,26.9,63,0.02,2,1,26.8,50,87.4
0.7,17,27.7,1,26.9,63,0.02,-1,1,26.8,86,87.4
0.8,20,28.13,1,26.9,63,0.02,2,0,26.8,86,87.4
0.7,16,27.56,1,26.9,63,0.02,0,1,26.8,65,87.4
0.8,20,28.13,1,26.9,63,0.02,1,0,26.8,58,87.4
0.8,20,28.13,1,26.9,63,0.02,0,1,26.8,61,87.4
0.8,20,28.13,1,26.9,63,0.02,0,0,26.8,62,87.4
0.4,8,26.57,1,26.9,59,0.21,-2,1,26.6,70,87.4
0.4,8,26.57,1,26.9,59,0.21,-2,1,26.6,72,87.4
0.4,9,26.72,1,26.9,59,0.21,0,1,26.6,72,87.4
0.4,9,26.72,1,26.9,59,0.21,-1,1,26.6,73,87.4
0.8,17,28.09,1.2,26.9,59,0.21,2,1,26.6,64,87.4
0.8,19,28.4,1.2,26.4,59,0.21,1,1,26.8,68,87.4
0.8,17,28.09,1.2,26.9,59,0.21,-1,0,26.6,70,87.4
0.8,17,28.09,1.2,26.9,59,0.21,0,1,26.6,48,87.4
0.8,17,28.09,1.2,26.9,59,0.21,0,1,26.6,75,87.4
0.7,16,27.94,1.2,26.9,59,0.21,2,1,26.6,58,87.4
0.4,9,26.72,1,26.9,59,0.21,1,1,26.6,95,87.4
0.4,8,26.57,1,26.9,59,0.21,0,1,26.6,72,87.4
-0.5,11,23.13,1,25.8,60,0.37,0,1,24.6,60,87.4
-0.6,12,22.98,1,25.8,60,0.37,0,0,24.6,72,87.4
-0.8,19,22.35,1,25.8,60,0.37,-1,1,24.6,65,87.4
-0.5,11,23.13,1,25.8,60,0.37,2,0,24.6,69,87.4
0.3,6,26.11,1,26.4,60,0.22,0,0,26.1,75,87.4
0.3,6,26.11,1,26.4,60,0.22,-1,1,26.1,85,87.4
0.3,6,26.11,1,26.4,60,0.22,1,0,26.1,72,87.4
0.3,6,26.11,1,26.4,60,0.22,0,1,26.1,64,87.4
0.2,6,25.96,1,26.4,60,0.22,-1,1,26.1,71,87.4
0.3,6,26.11,1,26.4,60,0.22,1,0,26.1,75,87.4
0.3,6,26.11,1,26.4,60,0.22,0,1,26.1,85,87.4
-0.1,5,25.58,1,24.7,58,0.14,0,1,24.8,82,87.4
-0.1,5,25.58,1,24.7,58,0.14,-1,1,24.8,79,87.4
-0.1,5,25.58,1,24.7,58,0.14,0,0,24.8,85,87.4
-0.1,5,25.58,1,24.7,58,0.14,-1,1,24.8,82,87.4
0.6,12,26.84,1,26.8,48,0.01,0,1,26.6,72,87.4
0.5,11,26.71,1,26.8,48,0.01,1,1,26.6,85,87.4
0.5,11,26.71,1,26.8,48,0.01,-1,1,26.6,55,87.4
0.5,11,26.71,1,26.8,48,0.01,1,1,26.6,60,87.4
0.9,21,28.36,1,26.8,48,0.01,-2,1,26.6,50,87.4
0.8,19,27.99,1,26.8,48,0.01,-1,1,26.6,45,87.4
0.8,19,27.99,1,26.8,48,0.01,-1,1,26.6,43,87.4
0.5,11,26.71,1,26.8,48,0.01,-2,1,26.6,54,87.4
0.2,6,25.96,1,26.3,49,0.25,-2,1,25.8,62,87.4
0.4,9,26.81,1,26.3,49,0.25,2,1,25.8,55,87.4
0.1,5,25.35,1,26.3,49,0.25,-1,1,25.8,65,87.4
0.1,5,25.35,1,26.3,49,0.25,2,1,25.8,70,87.4
0.3,7,26.04,1.2,26.3,49,0.25,2,0,25.8,73,87.4
0.2,6,25.96,1,26.3,49,0.25,0,1,25.8,68,87.4
0.3,7,26.36,1,26.3,49,0.25,-1,1,25.8,68,87.4
0.1,5,25.72,1,25.2,43,0.02,-1,1,25.1,47,87.4
0.1,5,25.72,1,25.2,43,0.02,1,1,25.1,68,87.4
0.1,5,25.72,1,25.2,43,0.02,-2,0,25.1,55,87.4
0.4,8,26.67,1,25.2,43,0.02,-1,1,25.1,65,87.4
0.1,5,25.72,1,25.2,43,0.02,-2,1,25.1,53,87.4
0.1,5,25.72,1,25.2,43,0.02,-2,1,25.1,52,87.4
0.1,5,25.39,1,25.2,43,0.02,-1,1,25.1,60,87.4
-0.1,5,24.99,1,25.2,43,0.02,0,1,25.1,70,87.4
0.1,5,25.52,1,25.2,43,0.02,0,1,25.1,68,87.4
