,PMV,PPD,SET,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_h (¡C),Ta_m (¡C),Ta_l (¡C),Tg_h (¡C),Tg_m (¡C),Tg_l (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
0,1.1,33,28.48,1.2,28.4,53,0,1,28.4,26.7,29.4,29.1,29,28.4,0,77
1,1.1,29,27.94,1.2,28.4,53,0,1,28.4,26.7,29.4,29.1,29,28.4,1,77
2,0.3,7,25.59,1.2,27.3,61.6,0.06,1,27.3,26.5,26.8,26.9,26.5,25,1,77
3,-0.1,5,24.27,1.1,25.7,58.7,0.04,0,25.7,24.9,25.9,25.6,25.7,24.7,0,77
4,-0.3,7,23.86,1,25.9,58,0.02,0,25.9,25.1,26,25.9,25.8,24.8,0,77
5,0,5,24.67,1.2,25.9,58,0.02,0,25.9,25.1,26,25.9,25.8,24.8,0,77
6,0,5,24.63,1.2,25.7,59.9,0.02,0,25.7,24.9,25.8,25.9,25.8,24.7,0,77
7,0.1,5,25.04,1.2,25.8,66.5,0.04,0,25.8,24.9,25.4,25.4,25.3,23.9,1,77
8,-0.2,6,23.95,1.1,25.3,51.2,0,1,25.3,24.2,25,24.8,24.7,23.5,1,77
9,0,5,24.62,1.2,25.7,58.8,0.04,1,25.7,24.7,25.3,25.3,25.2,23.8,1,77
10,-0.1,5,24.06,1.2,25.7,58.8,0.04,0,25.7,24.7,25.3,25.3,25.2,23.8,1,77
11,0.4,8,25.98,1.2,26.6,59.2,0.04,0,26.6,25.5,25.8,26.2,26,24.3,1,77
12,-0.2,6,23.8,1.2,25.1,50.4,0,0,25.1,24.2,24.9,24.6,24.6,23.4,1,77
13,0.6,13,27.37,1.7,25.1,51.8,0.08,0,25.1,24.6,24.9,24.8,24.8,23.5,1,77
14,0.1,5,24.69,1.2,26.4,47.3,0.06,0,26.4,25.6,25.6,26.1,25.9,24.2,1,77
15,0.2,6,25.23,1.2,26.4,47.4,0.04,1,26.4,25.7,25.6,26.2,25.9,24.2,1,77
16,0.5,11,26.02,1.2,27.9,42.7,0.02,1,27.9,27.1,26.6,27.4,27,25.1,1,77
17,-0.3,7,23.99,1.2,22.8,49.7,0.04,-2,22.8,22.1,22.8,22.6,22.7,21.5,1,77
18,-0.2,6,24.47,1.2,22.8,49.7,0.04,-2,22.8,22.1,22.8,22.6,22.7,21.5,1,77
19,-0.2,6,24.47,1.1,22.9,49.6,0.04,-1,22.9,22.3,22.9,22.7,22.8,21.6,1,77
20,0.9,23,30.61,2,22.9,49.6,0.04,0,22.9,22.3,22.9,22.7,22.8,21.6,0,77
21,0,5,25.26,1.2,23.3,27.3,0.02,0,23.3,22,23,22.8,22.7,21.8,0,41
22,-0.4,8,23.55,1.2,23.3,27.3,0.02,0,23.3,22,23,22.8,22.7,21.8,0,41
23,0.1,5,25.59,1.3,23.3,27.3,0.02,0,23.3,22,23,22.8,22.7,21.8,0,41
24,-0.4,10.66666667,23.62333333,1.333333333,23.9,28.1,0.26,1,23.9,22.5,23.4,23.3,23.1,22.1,0,41
25,0.9,21,26.95,2.4,23.4,20.1,0.62,2,23.4,21.8,23.1,23.4,23.6,21.9,1,41
26,0.5,10,26.43,1.7,24.9,21.6,0.04,0,24.9,23.5,23.7,25.3,25.2,22.6,0,41
