,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Age,Thermal sensation,Ta_m (¡C),Operative temperature (¡C),Radiant temperature (¡C),Globe temperature (¡C),Tg_m (¡C),Velocity_m (m/s)
0,1.22,36.34,29.34,0.6,0.89,30,73,0.36,25,0,30,29.8,29.7,29.7,29.7,0.36
1,1.21,35.83,28.93,0.6,0.89,30.1,72.3,0.5,25,0,30.1,30,30,30,30,0.5
2,2.12,81.9,32.99,0.6,1.88,30.5,71.4,0.88,25,0,30.5,30.6,30.6,30.6,30.6,0.88
3,1.83,68.8,30,0.6,1.13,30.8,72,0.83,25,0,30.8,30.7,30.7,30.7,30.7,0.83
4,1.66,59.36,28.39,0.6,1.01,30.8,69.6,1.49,25,2,30.8,30.9,30.9,30.9,30.9,1.49
5,1.92,73.05,29.63,0.6,1.01,31.1,68.9,0.83,25,0,31.1,31.2,31.4,31.3,31.3,0.83
6,1.34,42.4,29.55,0.6,0.77,31.3,66.8,0.58,25,0,31.3,31.2,31.2,31.2,31.2,0.58
7,1.6,56.45,29.44,0.6,0.89,31,67,0.62,25,0,31,31.1,31.1,31.1,31.1,0.62
8,2.25,86.73,32.24,0.6,1.88,31.3,67.8,1.66,25,0,31.3,31.2,31,31.1,31.1,1.66
9,2.05,78.81,31.82,0.6,1.01,31,67.7,0.22,25,0,31,31,31,31,31,0.22
10,2.35,89.66,31.09,0.62,1.13,32.6,69.3,1.3,25,2,32.6,31.5,30.3,30.9,30.9,1.3
11,1.23,36.78,29.32,0.6,0.89,29.9,75.2,0.42,25,0,29.9,30,30,30,30,0.42
12,1.49,50.55,29.95,0.6,0.89,30.5,73.3,0.42,25,1,30.5,30.5,30.5,30.5,30.5,0.42
13,1.87,70.72,30.56,0.6,1.01,30.8,72,0.42,25,0,30.8,30.7,30.6,30.6,30.6,0.42
14,2.02,77.83,31.34,0.6,1.01,31,70.8,0.32,25,0,31,31,31,31,31,0.32
15,2.02,77.66,30.68,0.6,1.01,31.1,67.7,0.42,25,0,31.1,31.2,31.3,31.3,31.3,0.42
16,1.26,38.34,28.92,0.6,0.77,31.4,66.4,1.02,25,0,31.4,31.3,31.3,31.3,31.3,1.02
17,2.05,78.83,30.4,0.6,1.01,31.3,66.2,0.5,25,1,31.3,31.4,31.4,31.4,31.4,0.5
18,2.27,87.23,34.2,0.6,1.88,31,66.5,0.36,25,0,31,31.1,31.2,31.2,31.2,0.36
19,1.95,74.24,30.56,0.6,1.01,30.9,67.3,0.38,25,1,30.9,31,31.1,31.1,31.1,0.38
20,1.99,76.26,31.45,0.62,1.13,30.8,67.6,0.36,25,1,30.8,31,31.1,31.1,31.1,0.36
21,1.94,73.83,30.62,0.6,1.01,31,68.5,0.38,25,0,31,30.9,30.8,30.8,30.8,0.38
22,1.75,64.15,32.06,0.6,0.89,30.4,70.1,0.12,25,1,30.4,30.6,30.7,30.7,30.7,0.12
23,1.09,29.9,30.25,0.6,0.77,30,70.1,0.2,25,0,30,30.3,30.7,30.6,30.6,0.2
24,1.72,62.77,30.72,0.7,1.13,30,74.5,0.58,25,0,30,30,30,30,30,0.58
25,2.11,81.59,33.75,0.68,1.88,30.2,73.3,0.58,25,0,30.2,30.2,30.2,30.2,30.2,0.58
26,2.03,78.03,31.08,0.7,1.01,31,66.9,0.42,25,-1,31,31,31,31,31,0.42
27,1.25,37.49,29.69,0.7,0.77,30.9,68.5,0.58,25,0,30.9,30.7,30.5,30.6,30.6,0.58
28,1.31,40.85,28.57,0.6,0.89,30.6,70.3,0.88,25,0,30.6,30.5,30.5,30.5,30.5,0.88
29,1.83,68.68,32.15,0.6,1.01,30,71.2,0.14,25,0,30,30.2,30.4,30.4,30.4,0.14
30,0.8,18.38,28.73,0.6,0.77,30.1,72.7,0.5,25,0,30.1,30.2,30.3,30.3,30.3,0.5
31,2.1,81.08,35.95,0.68,1.88,29.5,66.5,0.12,25,-1,29.5,30,30.5,30.4,30.4,0.12
32,2.21,85.2,30.03,0.7,1.13,32.2,50.8,0.94,25,1,32.2,32,31.8,31.9,31.9,0.94
33,2.01,77.13,31.17,0.6,0.89,31.8,53.2,0.2,25,2,31.8,31.9,31.9,31.9,31.9,0.2
34,2.27,87.27,31.01,0.62,1.13,32,58.3,0.53,25,0,32,32.1,32.1,32.1,32.1,0.53
35,2.27,87.26,31.32,0.7,0.89,32.6,53.5,0.36,25,0,32.6,32.3,32,32.1,32.1,0.36
36,2.21,85.23,31.98,0.62,1.01,31.1,53.2,0,25,0,31.1,31.4,31.7,31.7,31.7,0
37,1.9,71.93,29.72,0.6,1.01,31,62.2,0.5,25,0,31,31.2,31.4,31.3,31.3,0.5
38,1.84,68.97,28.19,0.6,1.01,31.5,61.4,1.88,25,0,31.5,31.4,31.2,31.3,31.3,1.88
39,2.02,77.77,29.23,0.6,1.01,31.7,62.3,1.02,25,0,31.7,31.5,31.3,31.4,31.4,1.02
40,1.2,35.41,29.43,0.6,0.77,30.9,65.7,0.46,25,0,30.9,31,31.1,31.1,31.1,0.46
41,0.95,24.23,28.42,0.6,0.77,30.8,64.2,0.83,25,0,30.8,30.9,31.1,31,31,0.83
42,0.97,25.04,28.82,0.6,0.77,30.6,65.2,0.53,25,0,30.6,30.7,30.8,30.8,30.8,0.53
43,1.65,59.11,32,0.62,1.13,29.1,69.3,0.14,25,0,29.1,29.6,30.1,30,30,0.14
44,1.48,50.04,32.41,0.6,0.65,31.1,75.9,0.07,47,1,31.1,31.3,31.5,31.5,31.5,0.07
45,2.25,86.59,33.9,0.6,1.01,31,73.4,0.12,47,1,31,31.2,31.3,31.3,31.3,0.12
46,2.06,79.4,30.56,0.6,1.01,31.2,73.8,0.74,47,2,31.2,31.4,31.6,31.5,31.5,0.74
47,2.5,93.52,37.37,0.6,1.88,31.9,70.2,0.16,47,2,31.9,31.9,31.9,31.9,31.9,0.16
48,2.57,94.77,34.57,0.6,1.01,32,70.2,0.05,47,1,32,31.9,31.8,31.8,31.8,0.05
49,2.49,93.31,35.27,0.6,1.13,31.8,71.5,0.02,47,2,31.8,31.7,31.7,31.7,31.7,0.02
50,2.37,90.26,37.1,0.6,1.88,31.2,70.5,0.02,47,2,31.2,31,30.9,30.9,30.9,0.02
51,2.35,89.72,33.82,0.6,1.01,31.2,72,0.04,47,1,31.2,31.2,31.2,31.2,31.2,0.04
52,2.38,90.55,34,0.6,1.01,31.5,70.3,0.09,47,0,31.5,31.5,31.5,31.5,31.5,0.09
53,2.46,92.45,34.29,0.6,1.01,31.9,68.9,0.14,47,0,31.9,31.8,31.8,31.8,31.8,0.14
54,2.45,92.41,32.17,0.6,1.01,32.1,64.8,0.32,47,1,32.1,32.2,32.3,32.3,32.3,0.32
55,2.27,87.33,32.51,0.6,1.01,31.6,68,0.23,47,0,31.6,31.5,31.5,31.5,31.5,0.23
56,2.42,91.64,33.91,0.6,1.01,31.7,67.7,0.09,47,1,31.7,31.7,31.7,31.7,31.7,0.09
57,2.45,92.24,34.11,0.6,1.01,31.6,70.1,0.06,47,1,31.6,31.6,31.6,31.6,31.6,0.06
58,1.67,60.33,29.83,0.6,1.01,30.2,71.2,0.44,47,1,30.2,30.4,30.6,30.5,30.5,0.44
59,1.54,53.2,28.62,0.6,1.01,30.4,74.2,1.08,47,0,30.4,30.3,30.3,30.3,30.3,1.08
60,1.78,66.03,29.82,0.6,1.01,30.7,72.8,0.62,47,1,30.7,30.6,30.6,30.6,30.6,0.62
61,1.78,66.09,29.54,0.6,1.01,30.8,71.6,0.74,47,1,30.8,30.7,30.7,30.7,30.7,0.74
62,2.27,87.42,33.68,0.6,1.88,31.1,70.8,0.86,47,2,31.1,31.2,31.2,31.2,31.2,0.86
63,2.31,88.63,33.51,0.6,1.01,31.1,70.4,0.02,47,0,31.1,31.2,31.2,31.2,31.2,0.02
64,2.32,89,33.53,0.6,1.01,31.2,69.9,0.03,47,0,31.2,31.2,31.2,31.2,31.2,0.03
65,2.36,90.04,33.67,0.6,1.01,31.3,69.9,0.03,47,0,31.3,31.3,31.3,31.3,31.3,0.03
66,2.36,90.15,33.75,0.6,1.01,31.4,70.3,0.04,47,1,31.4,31.3,31.2,31.2,31.2,0.04
67,2.39,90.89,33.75,0.6,1.01,31.4,69.5,0.02,47,0,31.4,31.4,31.4,31.4,31.4,0.02
68,2.4,91.07,33.83,0.6,1.01,31.4,70.1,0.02,47,1,31.4,31.4,31.4,31.4,31.4,0.02
69,2.38,90.53,33.6,0.6,1.01,31.4,68.4,0.02,47,1,31.4,31.4,31.4,31.4,31.4,0.02
70,2.38,90.57,33.61,0.6,1.01,31.4,68.5,0.01,47,1,31.4,31.4,31.4,31.4,31.4,0.01
71,2.38,90.47,33.57,0.6,1.01,31.4,68.2,0.02,47,1,31.4,31.4,31.4,31.4,31.4,0.02
72,1.41,46.01,28.45,0.6,1.01,30,68.5,0.62,47,0,30,29.9,29.9,29.9,29.9,0.62
73,1.72,62.76,27.97,0.6,1.01,31.2,59.7,1.56,47,0,31.2,31.2,31.2,31.2,31.2,1.56
74,2.17,83.96,31.52,0.6,1.01,31.4,65.1,0.29,47,1,31.4,31.5,31.6,31.6,31.6,0.29
75,2.09,80.53,29.28,0.6,1.01,31.8,59.1,0.94,47,0,31.8,31.8,31.8,31.8,31.8,0.94
76,2.36,89.9,29.55,0.6,1.01,32.6,55.6,1.08,47,0,32.6,32.3,32.1,32.2,32.2,1.08
77,2,76.63,28.75,0.6,1.01,31.7,59.7,1.35,47,2,31.7,31.7,31.7,31.7,31.7,1.35
78,2.42,91.66,30.38,0.6,1.01,32.4,62.7,0.94,47,0,32.4,32.4,32.4,32.4,32.4,0.94
79,2.42,91.72,33.65,0.6,1.01,31.8,64.4,0.1,47,0,31.8,31.9,31.9,31.9,31.9,0.1
80,1.78,65.98,28.99,0.6,1.01,31,64.4,0.79,47,1,31,30.9,30.9,30.9,30.9,0.79
81,2.02,77.77,31.51,0.6,1.88,30.4,67.8,1.35,47,1,30.4,30.3,30.3,30.3,30.3,1.35
82,1.71,62.15,28.91,0.6,1.01,30.8,65.2,0.74,47,1,30.8,30.7,30.7,30.7,30.7,0.74
83,1.72,62.81,29.1,0.6,1.01,30.8,66.1,0.67,47,2,30.8,30.7,30.6,30.6,30.6,0.67
84,1.93,73.39,30.01,0.6,1.01,31.1,64.4,0.48,47,1,31.1,31.1,31.1,31.1,31.1,0.48
85,1.83,68.81,28.98,0.6,1.01,31.1,67,1.08,47,1,31.1,31.2,31.2,31.2,31.2,1.08
86,2.18,84.17,30.1,0.6,1.01,31.8,64.8,0.79,47,0,31.8,31.8,31.8,31.8,31.8,0.79
87,2.08,80.03,29.84,0.6,1.01,31.6,65.3,0.79,47,0,31.6,31.5,31.5,31.5,31.5,0.79
88,2.34,89.31,36.56,0.6,1.88,31,66.1,0.04,47,0,31,31.1,31.1,31.1,31.1,0.04
89,0.62,13.06,28.91,0.6,0.65,31.4,69.8,0.71,37,1,31.4,30.8,30.3,30.5,30.5,0.71
90,2.07,79.92,29.32,0.6,1.01,31.7,68.9,1.74,37,1,31.7,31.7,31.7,31.7,31.7,1.74
91,2.71,96.82,34.41,0.6,1.88,33,67.7,0.92,37,1,33,32.7,32.5,32.6,32.6,0.92
92,2.4,91.2,36.87,0.6,1.88,31,67.3,0.03,37,1,31,31.4,31.7,31.7,31.7,0.03
93,2.19,84.67,32.82,0.6,0.89,31,66.8,0,37,1,31,31.5,31.9,31.9,31.9,0
94,2.14,82.83,32.64,0.6,0.89,31,66.1,0.01,37,0,31,31.4,31.7,31.7,31.7,0.01
95,1.99,76.1,32.58,0.6,0.89,31,70.1,0.06,37,0,31,30.9,30.8,30.8,30.8,0.06
96,2.23,85.89,33.62,0.6,1.88,30.7,71.6,0.81,37,0,30.7,31.1,31.6,31.4,31.4,0.81
97,2,76.92,32.71,0.6,1.01,31.3,69.8,0.07,37,0,31.3,30.4,29.5,29.6,29.6,0.07
98,2.4,91.23,34.29,0.58,1.88,32.1,68.9,0.5,37,1,32.1,31.3,30.6,30.8,30.8,0.5
99,2.28,87.74,34.52,0.6,1.88,31.4,67.7,0.35,37,1,31.4,30.9,30.5,30.6,30.6,0.35
100,2.46,92.6,30.93,0.6,1.01,32.6,65.7,0.81,37,1,32.6,32.2,31.7,31.9,31.9,0.81
101,2.35,89.8,30.52,0.6,0.89,32.9,63.7,0.98,37,1,32.9,32.3,31.7,32,32,0.98
102,2.33,89.03,35.9,0.6,1.88,31,63.6,0.17,37,1,31,31.4,31.8,31.7,31.7,0.17
103,1.75,64.49,31.78,0.6,0.89,29.1,73.4,0.01,37,0,29.1,30.3,31.5,31.4,31.4,0.01
104,1.93,73.47,32.06,0.6,1.01,30.3,71.9,0.18,37,1,30.3,30.6,30.9,30.8,30.8,0.18
105,2.27,87.28,36.36,0.6,1.88,29.6,71,0.02,37,1,29.6,30.6,31.6,31.5,31.5,0.02
106,2.04,78.51,32.22,0.6,1.01,31.4,70.2,0.2,37,1,31.4,30.7,30.1,30.2,30.2,0.2
107,2.23,86.04,31.98,0.6,1.01,31.4,68.5,0.29,37,1,31.4,31.6,31.7,31.7,31.7,0.29
108,2.22,85.7,33.15,0.6,1.01,30.7,66.9,0.12,37,1,30.7,31.3,32,31.9,31.9,0.12
109,2.37,90.39,35.66,0.58,1.88,31.4,64.9,0.2,37,1,31.4,31.6,31.7,31.7,31.7,0.2
110,1.96,75.05,31.17,0.6,0.89,31.4,64.8,0.29,37,1,31.4,31.6,31.7,31.7,31.7,0.29
111,1.49,50.34,31.28,0.6,0.89,30.8,73.7,0.17,37,1,30.8,29.9,28.9,29.1,29.1,0.17
112,2.16,83.46,35.75,0.6,1.88,31,73.2,0.2,37,1,31,30,29,29.2,29.2,0.2
113,2.19,84.44,33.67,0.6,1.01,30.7,73.2,0.14,37,1,30.7,31.1,31.5,31.4,31.4,0.14
114,2.14,82.52,32.78,0.6,1.01,29.9,71.6,0.03,37,1,29.9,30.7,31.4,31.4,31.4,0.03
115,1.72,62.62,32.55,0.6,0.77,31.4,70.9,0.14,37,1,31.4,31.2,31.1,31.1,31.1,0.14
116,1.65,59.32,31.69,0.6,0.77,30.3,68.4,0.02,37,1,30.3,30.9,31.5,31.5,31.5,0.02
117,1.59,56.05,28.7,0.6,1.01,31,72.3,0.98,37,1,31,29.9,28.8,29.3,29.3,0.98
118,1.99,76.36,32.2,0.6,1.01,29.9,69.3,0.17,37,1,29.9,30.9,31.9,31.7,31.7,0.17
119,2.17,83.76,33.85,0.6,1.88,31,69.2,0.41,37,1,31,30.4,29.7,29.9,29.9,0.41
120,2.15,83.05,30.27,0.6,1.01,32.2,68.4,0.81,37,1,32.2,31.1,30.1,30.5,30.5,0.81
121,2.36,89.96,35.64,0.6,1.88,31.3,64,0.2,37,1,31.3,31.5,31.7,31.7,31.7,0.2
122,1.87,70.47,31.89,0.6,0.89,31,64.4,0.07,37,1,31,30.8,30.7,30.7,30.7,0.07
123,2.42,91.49,36.29,0.6,1.88,30.7,61,0.03,37,1,30.7,31.7,32.7,32.6,32.6,0.03
124,1.83,68.62,30.78,0.6,1.01,30.7,62.7,0.22,37,1,30.7,30.6,30.5,30.5,30.5,0.22
125,1.87,70.82,29.93,0.58,1.01,31.4,58.8,0.32,37,1,31.4,30.9,30.4,30.5,30.5,0.32
126,2.11,81.32,32.57,0.6,1.01,30.7,63.1,0.14,37,1,30.7,31.2,31.7,31.6,31.6,0.14
127,2.07,80.03,30.74,0.6,1.01,31.4,53.7,0.25,37,1,31.4,31.6,31.7,31.7,31.7,0.25
128,2.33,89.17,34.82,0.6,1.88,31.6,55.6,0.2,37,1,31.6,31.7,31.7,31.7,31.7,0.2
129,2.18,84.27,32.24,0.6,1.01,31.4,55.2,0.12,37,1,31.4,31.6,31.7,31.7,31.7,0.12
130,2.51,93.56,34.25,0.58,1.88,32.6,58.7,0.37,37,1,32.6,32.3,31.9,32,32,0.37
131,2.46,92.6,36.04,0.6,1.88,31.4,56.2,0.15,37,1,31.4,32.4,33.4,33.2,33.2,0.15
132,1.83,68.44,31.17,0.6,1.01,30,64,0.18,37,1,30,30.6,31.2,31.1,31.1,0.18
133,1.76,64.72,29.83,0.6,1.01,31.4,64.8,0.37,37,1,31.4,30.2,29,29.3,29.3,0.37
134,2.03,77.89,32.01,0.6,1.01,29.9,62.3,0.1,37,1,29.9,30.9,31.8,31.7,31.7,0.1
135,2.27,87.21,35.89,0.6,1.88,29.9,64,0.06,37,1,29.9,30.8,31.8,31.7,31.7,0.06
136,2.26,87.12,35.77,0.6,1.88,30.3,61.4,0.06,37,1,30.3,30.9,31.6,31.5,31.5,0.06
137,1.97,75.49,31.51,0.6,1.01,31,62.3,0.18,37,1,31,30.9,30.8,30.8,30.8,0.18
