,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Air movement acceptability,Tg_h (¡C)
0,0.2,6,26.23,0.75,1.2,24.4,41.5,0.12,1,1,24.1
1,0.4,9,27.24,0.76,1.4,24,41.9,0.1,-1,1,23.8
2,-0.3,7,23.91,0.73,1.1,23.5,41.2,0.09,-2,1,22.7
3,0,5,25.64,0.85,1.2,22.8,43.8,0.1,-2,1,22.5
4,0.5,9,27.33,0.73,1.5,23.1,45,0.03,0,1,23.4
5,-0.8,20,22.84,0.53,1.1,23.4,45.4,0.13,-2,0,23.4
6,0.3,7,26.52,0.57,1.5,25.5,41.8,0.13,-2,1,24
7,0.3,6,26.12,0.72,1.2,24.5,43.4,0.09,0,1,24
8,0.3,7,26.41,0.87,1.1,24.3,41.9,0.07,-1,1,24.2
9,0.1,5,25.75,0.81,1.2,24,41.3,0.09,-1,1,23.5
10,-0.3,6,23.97,0.49,1.2,23.9,41.8,0.08,0,1,23.8
11,0.1,5,25.89,0.81,1.2,24,41.6,0.12,-1,1,23.7
12,-0.1,5,24.39,0.51,1.3,24.1,40.8,0.09,0,1,23.8
13,-0.1,5,25.16,0.6,1.3,24,40.8,0.13,-2,1,23.9
14,-0.6,12,23.03,0.45,1.3,24.5,46.6,0.14,-1,1,23.3
15,-0.8,18,22.34,0.67,1.1,23.9,47.5,0.48,-2,0,23.7
16,0.1,5,25.62,0.76,1.4,23.4,44.9,0.2,-2,1,22.8
17,-0.2,6,24.56,0.84,1.2,23.4,44.9,0.2,-2,1,22.8
18,-0.3,7,24.38,0.88,1.1,23.4,44.9,0.2,-1,1,22.8
19,0.2,6,26.08,0.76,1.2,23.9,42.7,0.06,-2,1,24.3
20,0.4,9,26.89,0.69,1.3,23.9,42.8,0.07,-1,1,24.4
21,0.4,8,26.88,0.83,1.2,24.4,41.9,0.1,-2,1,24.5
22,0.8,19,29,0.73,1.6,24.4,41.9,0.09,0,1,24.5
23,0.2,6,24.96,0.73,1.6,24.1,40.9,0.35,-2,1,23.2
24,0.3,7,26.51,0.73,1.3,23.8,38.7,0.1,-1,1,23.9
25,-0.1,5,25.06,0.85,1.1,23.6,39.3,0.16,-1,1,23.3
26,0.2,6,25.67,0.73,1.4,24.1,40.3,0.08,-1,0,22.2
27,-0.3,7,24.31,0.59,1.2,23.3,42.1,0.15,-2,1,23.4
28,0,5,24.96,0.51,1.4,23.6,42.5,0.11,-2,1,23.8
29,0,5,25.23,0.73,1.2,23.7,41.8,0.1,-1,1,23.7
30,-1.9,73,18.82,0.67,1.1,22.2,44.5,0.72,-2,1,21.7
31,-0.4,8,24.05,0.73,1.1,22.2,45.6,0.1,-2,1,22.6
32,0,5,24.98,0.57,1.4,23.1,41.6,0.1,0,1,23.2
33,0.1,5,25.91,0.71,1.5,22.7,41.1,0.14,-1,1,22.5
34,-0.1,5,24.95,0.88,1.1,24.2,39.9,0.25,-2,1,23.7
35,0.3,6,26.37,0.64,1.4,24,39.8,0.12,-1,1,24
36,-0.2,6,24.28,0.65,1.2,23.8,39.3,0.07,0,1,23.2
37,-0.3,6,24.12,0.72,1.1,23.9,39.1,0.06,0,1,23.1
38,0.5,10,27.21,0.73,1.3,24.3,37.4,0.1,-2,0,25
39,0.2,6,26.32,0.67,1.5,23.7,38.7,0.13,0,1,23.1
40,-1.3,39,22.62,0.55,0.9,23.4,43.9,0.13,0,1,23.5
41,-0.6,11,22.36,0.88,1.1,26,37.3,0.27,-2,1,22.6
42,-0.5,10,23.16,0.49,1.4,22.9,42.8,0.12,0,1,22.1
43,0,5,24.16,0.49,1.6,24.5,41,0.26,1,0,23.7
44,-0.6,12,22.78,0.68,1.2,24,43.1,0.23,-2,1,22.7
45,-0.3,6,24.52,0.73,1.2,23,44.9,0.15,1,1,22.6
46,0,5,25.5,0.73,1.3,22.8,44.1,0.14,-1,1,22.8
47,-0.1,5,25.05,0.66,1.4,22.5,45.4,0.15,-2,1,22.4
48,-0.2,6,24.69,0.57,1.3,22.8,52.2,0.12,-1,1,23.2
49,0.5,10,27.28,0.73,1.5,24,38.3,0.08,1,0,23.4
50,-0.7,15,23.72,0.59,1,23.9,46.5,0.16,0,1,24.3
51,-0.2,6,24.24,0.61,1.3,25.2,35.2,0.15,-2,1,23.7
52,-0.4,8,23.74,0.59,1.2,25.2,35.2,0.15,-1,1,23.7
53,0.1,5,25.55,0.95,1.1,23.7,45.9,0.09,-1,1,23.3
54,-0.8,19,23.02,0.67,1,22.9,47,0.15,-1,1,22.9
55,0.6,12,28.18,0.67,1.6,23.9,43.9,0.14,-2,1,24
56,0.3,7,27.08,0.95,1.2,23.5,44.1,0.1,0,1,23.3
57,-0.2,6,24.59,0.78,1.2,23.1,45.3,0.16,-1,1,22.4
58,-0.1,5,25.23,0.73,1.3,22.7,46.4,0.15,-2,1,22.4
59,-0.7,17,22.99,0.73,1.1,22.7,46.5,0.15,-1,1,22.4
60,0.2,6,25.93,0.7,1.4,24.7,35.7,0.16,-1,1,23.5
61,-0.2,6,24.38,0.73,1.1,23.4,46.4,0.08,0,1,23.1
62,0.5,11,28.43,0.93,1.5,23.2,47.2,0.15,-2,1,22.9
