,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
0,1.1,28,30.06,0.63,1.5,25.7,62.3,0,1,27.3,26.8,0,64.9
1,0.8,18,28.48,0.7,1.2,25.4,61.7,0,0,27.1,26.6,0,64.9
2,0.7,15,27.7,0.67,1.1,25.6,59.7,0.1,0,27.2,26.7,0,64.9
3,0.6,12,27.49,0.62,1.2,25.1,60.8,0,1,26.9,26.3,0,64.9
4,0.7,16,28.29,0.67,1.2,24.8,60.5,0.1,1,27,26.1,1,64.9
5,0.8,18,28.65,0.73,1.2,24.9,60.9,0.1,0,26.6,26,-1,64.9
6,1.1,32,31.33,0.88,1.4,24.7,60.7,0.1,0,26.9,26,0,64.9
7,0.6,13,27.68,0.61,1.2,25.1,59.4,0.1,0,26.6,26,0,64.9
8,1,25,29.78,0.63,1.5,25,59.6,0.1,1,27,26.2,-1,64.9
9,1.3,38,32.4,0.96,1.5,24.5,60.9,0.1,0,27.2,26.1,-1,64.9
10,0.8,20,28.98,0.75,1.2,24.6,60.7,0.1,0,27.5,26.2,0,64.9
11,0.9,21,29.07,0.56,1.4,25.1,60.4,0.1,0,27.3,26.4,-1,64.9
12,0.9,21,29.01,0.64,1.4,25.3,59.5,0,1,27,26.4,1,64.9
13,0.9,21,29.19,0.66,1.3,25.5,61.5,0.1,1,26.7,26.2,-1,64.9
14,0.8,18,28.47,0.68,1.3,25.4,59.4,0,1,26.8,26.4,-1,64.9
15,0.7,14,27.88,0.63,1.2,25.3,56.1,0.1,0,26.8,26.2,0,66
16,0.7,15,27.67,0.56,1.2,26,54.1,0.1,0,27,26.6,0,66
17,0.8,18,28.43,0.73,1.2,25.8,50.8,0.1,2,26.6,26.3,2,66
18,0.7,16,27.88,0.56,1.2,24.8,53.4,0.1,1,28.2,26.8,0,66
19,0.7,14,27.34,0.55,1.2,26.1,52.2,0,1,26.9,26.8,2,66
20,0.8,18,27.53,0.51,1.2,26.8,48.6,0,0,27.5,27.4,0,66
21,1.5,50,32.4,0.66,1.7,27.2,55,0,1,27.5,27.5,2,66
22,1.3,41,29.99,0.65,1.2,28.1,52.5,0,1,28.5,28.5,0,66
23,1.4,46,30.38,0.72,1.2,28.3,48.7,0,2,28.7,28.7,0,66
24,1,28,29.05,0.56,1.3,26.9,52.9,0,2,27.8,27.7,-2,66
25,1.1,32,29.58,0.72,1.2,27,53.8,0,1,27.7,27.7,0,66
26,1.5,49,32.28,0.54,2,26.1,57.4,0,1,27,27,0,66
27,1.7,63,33.84,0.66,2,27.6,52.6,0,2,27.8,27.8,0,66
28,1.5,52,32.51,0.6,1.8,27,55.9,0,1,28.2,28.1,-2,66
29,0.3,7,26.57,0.73,1.2,23.4,66.2,0,0,24.4,24.3,0,65.6
30,0.5,11,27.15,0.65,1.2,25.1,55.5,0,0,25.7,25.7,0,65.6
31,0.2,6,25.88,0.59,1.2,23.8,59.1,0,-1,25.2,25.2,0,65.6
32,1.1,28,29.62,0.41,1.9,25.1,57,0,1,26.2,26.2,0,65.6
33,0.2,6,24.38,0.61,1.6,23.9,58.8,1.4,0,28.4,25.1,-1,64.3
34,-0.1,5,24.19,0.68,1.2,24.8,57.7,0.7,0,26.1,25.2,0,64.3
35,0.3,6,24.92,0.58,1.4,24.9,57.5,0.7,-1,27.4,25.6,0,64.3
36,-0.3,6,23.48,0.59,1.2,25.1,57,1.5,0,28.7,26,0,64.3
37,-0.2,5,23.81,0.63,1.2,25,56.9,1.4,-1,28.5,25.9,0,64.3
38,-0.2,5,23.72,0.58,1.2,25.4,55.1,1.4,0,28.6,26.3,0,64.3
39,0.1,5,24.49,0.58,1.2,25.8,53.8,1.3,2,30,26.9,0,64.3
40,-0.2,6,23.84,0.63,1.1,25.3,56.1,0.8,1,27.1,25.9,0,64.3
41,0.9,21,27.86,0.82,1.6,25.5,55.8,0.8,0,27.5,26.1,0,64.3
42,0.1,5,24.12,0.57,1.3,25.7,55.8,1.6,0,29.7,26.7,0,64.3
43,0.2,6,24.41,0.65,1.2,27,59.4,2.1,1,27.8,27.2,2,64.3
44,0.2,6,26.8,0.77,1.2,22.5,63.2,0.11,1,23.8,23.8,0,61
45,0.4,8,27.42,0.73,1.2,23.8,60,0.12,2,24.9,24.8,1,61
46,0.9,21,29.88,1.03,1.2,24,59.8,0.11,0,25.2,25.2,-1,61
47,0.5,11,28.37,1.03,1.2,22.5,63.3,0.22,0,24.3,24.2,-1,61
48,0.4,8,27.06,0.64,1.2,24.5,61.2,0.12,0,25.1,25.1,0,61
49,0.6,13,28.19,0.66,1.4,24.6,58.8,0.17,2,25.4,25.3,2,61
50,0.9,21,29.72,0.59,1.6,24.6,58.7,0.13,0,25.6,25.6,0,61
51,0.7,15,28.54,0.58,2,21.5,64.2,0.21,-1,23.1,23,-3,61
52,0.9,22,29.03,0.63,1.7,24.6,59.2,0.24,0,25.3,25.3,0,61
53,1.4,43,32.04,0.59,1.9,25.9,58.7,0.07,2,26,26,0,61
54,1.1,30,30.78,0.58,2,24.4,58.9,0.16,0,24.9,24.9,0,61
55,0.3,7,26.55,0.61,1.2,24.7,58.2,0.12,2,25,25,-2,61
56,0.8,18,28.04,0.63,1.2,26,55.8,0.08,2,26.4,26.4,0,61
57,0.7,15,28.31,0.73,1.2,24.7,58.4,0.1,0,25.8,25.8,0,61
58,0.7,15,28.41,0.71,1.4,24.5,58.2,0.09,2,25,24.9,0,61
59,0.3,6,26.4,0.72,1.2,23.9,54.3,0.1,-1,24.4,24.4,0,61
60,1.1,29,31.15,0.61,1.9,24.1,60.6,0.13,0,25.3,25.2,-1,61
