,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Ta_m (¡C),Operative temperature (¡C),Radiant temperature (¡C),Globe temperature (¡C),Tg_m (¡C)
0,0.6,13,23.25666667,0.436666667,1.19,22.8,62,0.17,1,23.53333333,23.7,23.4,23.83333333,23.83333333
1,0.6,13,23.25666667,0.436666667,1.19,22.8,62,0.17,1,23.53333333,23.7,23.4,23.83333333,23.83333333
2,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-1,22.93333333,23.2,23.4,23.43333333,23.43333333
3,0.6,13,23.25666667,0.436666667,1.19,22.8,62,0.17,1,23.53333333,23.7,23.4,23.83333333,23.83333333
4,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-1,22.93333333,23.2,23.4,23.43333333,23.43333333
5,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-1,22.93333333,23.2,23.4,23.43333333,23.43333333
6,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-2,22.93333333,23.2,23.4,23.43333333,23.43333333
7,0.6,13,23.25666667,0.436666667,1.19,22.8,62,0.17,0,23.53333333,23.7,23.4,23.83333333,23.83333333
8,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-2,22.93333333,23.2,23.4,23.43333333,23.43333333
9,0.6,13,23.42333333,0.516666667,1.19,22.8,62,0.17,-1,22.93333333,23.2,23.4,23.43333333,23.43333333
10,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-1,23.53333333,23.7,24.2,23.83333333,23.83333333
11,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,1,23.53333333,23.7,24.2,23.83333333,23.83333333
12,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-1,23.53333333,23.7,24.2,23.83333333,23.83333333
13,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
14,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
15,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
16,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,1,23.53333333,23.7,24.2,23.83333333,23.83333333
17,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,2,23.53333333,23.7,24.2,23.83333333,23.83333333
18,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-1,23.53333333,23.7,24.2,23.83333333,23.83333333
19,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-1,23.53333333,23.7,24.2,23.83333333,23.83333333
20,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
21,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
22,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
23,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-2,23.53333333,23.7,24.2,23.83333333,23.83333333
24,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
25,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-2,23.53333333,23.7,24.2,23.83333333,23.83333333
26,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,2,23.53333333,23.7,24.2,23.83333333,23.83333333
27,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-1,23.53333333,23.7,24.2,23.83333333,23.83333333
28,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
29,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
30,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,2,23.53333333,23.7,24.2,23.83333333,23.83333333
31,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,1,23.53333333,23.7,24.2,23.83333333,23.83333333
32,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
33,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-2,23.53333333,23.7,24.2,23.83333333,23.83333333
34,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
35,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,1,23.53333333,23.7,24.2,23.83333333,23.83333333
36,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,1,23.53333333,23.7,24.2,23.83333333,23.83333333
37,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
38,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
39,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,0,23.53333333,23.7,24.2,23.83333333,23.83333333
40,0.7,14,23.25666667,0.436666667,1.19,22.8,62,0.16,-2,23.53333333,23.7,24.2,23.83333333,23.83333333
41,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,0,22.6,22.9,23.4,23.1,23.1
42,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,1,22.6,22.9,23.4,23.1,23.1
43,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,-2,22.6,22.9,23.4,23.1,23.1
44,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,0,22.6,22.9,23.4,23.1,23.1
45,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,0,22.6,22.9,23.4,23.1,23.1
46,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,-1,22.6,22.9,23.4,23.1,23.1
47,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,1,22.6,22.9,23.4,23.1,23.1
48,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,1,22.6,22.9,23.4,23.1,23.1
49,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,1,22.6,22.9,23.4,23.1,23.1
50,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,-1,22.6,22.9,23.4,23.1,23.1
51,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,0,22.6,22.9,23.4,23.1,23.1
52,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,-2,22.6,22.9,23.4,23.1,23.1
53,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,0,22.6,22.9,23.4,23.1,23.1
54,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,-2,22.6,22.9,23.4,23.1,23.1
55,0.5,11,24.07,0.516666667,1.323333333,22.4,54,0.13,1,22.6,22.9,23.4,23.1,23.1
