PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Radiant temperature (¡C),Globe temperature (¡C),Humidity sensation,Outdoor monthly air temperature (¡F)
1.3,39,30.48,0.45,2.3,25,43.4,0,1,25,25,-1,70.7
0.4,9,26.36,0.58,1.2,25.6,41.8,0,2,25.9,25.8,2,70.7
0.5,10,26.76,0.6,1.2,25.7,41.8,0,1,26.3,26.2,-1,69.66666667
0.6,12,27,0.63,1.2,25.8,40.1,0,0,26.4,26.3,0,70.7
0.6,12,26.9,0.57,1.2,26,39.8,0,1,27,26.8,1,70.7
0.3,6,25.59,0.44,1.2,25.7,41,0,2,26.5,26.3,3,70.7
0.7,15,27.44,0.51,1.4,25.7,41.7,0,2,26.9,26.5,-1,63.36666667
0.8,20,28.3,0.53,1.6,25.5,41.2,0,2,26.1,26,-2,63.36666667
0.3,7,26.14,0.61,1.2,25,39.8,0,0,25.9,25.6,3,70.7
0,5,24.68,0.44,1.2,24.7,39.4,0,-1,25.9,25.5,0,70.7
0.8,19,28.15,0.52,1.6,25.4,39.8,0,1,26.3,26.1,2,70.7
0.1,5,25.26,0.43,1.2,25.3,39.9,0,2,26.5,26.2,-2,69.66666667
0.8,18,28.38,0.76,1.3,25.4,40.6,0,0,26,25.9,0,69.66666667
1,28,28.79,0.35,2,25.4,43.4,0,1,26.1,26,1,70.7
0.4,9,26.55,0.59,1.2,25.4,41.7,0,1,26.5,26.2,-2,70.7
0.9,20,28.47,0.56,1.6,25.4,41.5,0,1,26,25.9,0,63.36666667
0.5,10,26.51,0.57,1.2,26,38.9,0,2,26.2,26.1,1,70.7
0.4,8,26.18,0.55,1.2,25.5,38.3,0,2,26.5,26.2,-2,69.66666667
0.6,12,27.66,0.43,1.9,22.8,56.5,0,0,24.3,24,0,62.7
0.6,14,28.1,0.48,1.9,22.7,56,0,0,24.2,24,-2,70.7
0.5,10,27.22,0.77,1.2,24.3,54,0,1,25.1,25,0,63.36666667
0.8,20,28.22,0.35,1.9,24.7,53.2,0,1,25.4,25.3,0,64.4
0.2,6,25.84,0.63,1.2,24.1,52.5,0,0,24.9,24.7,1,70.7
0.7,16,28.3,0.51,1.8,23.9,54,0,0,24.3,24.3,0,62.7
0,5,25.24,0.63,1.2,22.9,57.4,0,0,24.7,24.4,0,70.7
1,25,30.44,0.7,1.9,23.7,54.9,0,0,24.3,24.2,-1,69.66666667
-0.1,5,25.05,0.72,1.2,22.4,53.2,0,0,23.8,23.4,0,69.66666667
1.3,39,31.07,0.49,2.4,23.6,49.4,0,0,24.1,24,2,70.7
0.8,18,28.68,0.53,1.9,23.3,49.6,0,0,24.8,24.3,0,63.73333333
0.4,8,26.98,0.63,1.6,22.5,52.2,0,0,24.6,23.8,2,70.7
0.3,7,26.51,0.69,1.2,23.8,51.6,0.1,1,25,24.6,2,63.5
0.7,15,28.2,0.53,1.8,23.2,51.3,0,1,25.3,24.7,-1,62.53333333
0.1,5,25.7,0.63,1.2,22.6,50.9,0.1,0,25.1,24.2,2,61.66666667
0.1,5,25.71,0.69,1.2,23.2,50.6,0,-2,24.8,24.5,0,67.8
0.1,5,25.98,0.68,1.2,22.2,53.5,0.1,-1,25.6,24,0,61.66666667
0.2,6,25.96,0.63,1.2,24.7,47.9,0.1,1,24.8,24.7,0,62.33333333
0.9,20,28.84,0.65,1.6,25.4,45.8,0,1,25.1,25.2,0,63.36666667
0.4,8,26.48,0.63,1.2,25.1,48.1,0,2,25.4,25.3,1,70.7
0.4,9,26.79,0.59,1.4,24,47.9,0,1,25.6,25.2,0,63.36666667
-0.1,5,25.3,0.6,1.2,22,54.4,0.1,-2,25.5,23.9,0,61.66666667
0.1,5,25.84,0.58,1.6,22,61.5,0,0,22.3,22.2,0,65.1
-0.4,8,23.78,0.58,1.2,22.4,55.2,0,-2,23.4,23.1,0,65.1
-0.2,6,24.52,0.58,1.2,23.1,52.8,0,1,24.2,23.9,-1,65.1
0.4,9,26.88,0.51,1.6,23.7,51.3,0,-2,25,24.7,1,65.1
0.3,6,26.06,0.53,1.4,23.7,54.9,0,0,23.8,23.8,0,65.1
0.1,5,25.6,0.65,1.2,23.6,54.6,0,0,24.6,24.3,0,65.1
1.3,40,31.47,0.53,2.3,24.3,53.2,0,1,24.9,24.8,0,65.1
0.4,9,26.48,0.57,1.2,25.3,50.5,0,2,25.9,25.8,2,65.1
0.4,9,26.64,0.57,1.3,25,51.4,0,1,25.8,25.6,0,65.1
0.7,15,28.4,0.69,1.6,23.7,51.3,0,0,24.9,24.6,0,65.1
1,24,29.78,0.57,1.8,23.5,50.8,0.1,0,25.9,24.9,0,65.1
0.1,5,25.31,0.57,1.2,24.2,49.4,0,0,25,24.7,0,65.1
0.3,7,26.37,0.65,1.2,24.4,48.4,0,0,25.6,25.4,0,65.1
0.3,7,26.26,0.56,1.3,23.9,50.5,0,-1,25.9,25.4,0,65.1
0.9,20,29.36,0.67,1.7,23.9,51.3,0,1,25.9,25.2,0,65.1
0.3,7,26.82,0.83,1.2,23.2,51,0,-2,25.1,24.6,1,65.1
1.1,29,30.58,0.55,2.3,22.6,51.7,0.1,0,23.9,23.4,1,65.1
0.8,18,28.17,0.39,1.9,24.5,48.5,0.1,2,25,24.8,2,65.1
0.5,9,26.66,0.44,1.6,24.3,50,0,2,25.3,25.1,0,65.1
-0.1,5,24.64,0.68,1.2,23.2,37.1,0,1,23.3,23.3,0,70.7
0.3,7,26.63,0.93,1.2,23.4,35.1,0,0,23.8,23.7,0,70.7
-0.1,5,24.87,0.68,1.2,23.3,36.1,0,0,23.8,23.7,0,70.7
0.2,6,25.74,0.61,1.4,23.5,33.6,0,0,24.2,24.2,0,70.7
0.5,11,27.21,0.63,1.6,23.7,32.3,0,-2,24.6,24.4,0,70.7
0,5,25.08,0.64,1.2,23.8,31.8,0,1,24.7,24.5,-1,70.7
0,5,25.14,0.64,1.2,23.8,32.2,0,0,24.8,24.6,-1,70.7
0.3,7,26.11,0.6,1.4,24.2,31.3,0,0,24.7,24.7,2,70.7
0.4,10.33333333,26.50333333,0.78,1.2,24.53333333,37.36666667,0,1,25.06666667,25,2,70.7
0.433333333,9,26.45,0.77,1.2,25.56666667,42.93333333,0,2,25.83333333,25.73333333,2,70.7
0.4,10.33333333,26.50333333,0.62,1.2,24.53333333,37.36666667,0,1,25.06666667,25,2,70.7
0.433333333,9,26.45,0.63,1.2,25.56666667,42.93333333,0,2,25.83333333,25.73333333,2,70.7
0.3,7.333333333,26.73,0.93,1.2,23.6,47.86666667,0,0,23.8,23.76666667,0,70.7
0.333333333,8.666666667,26.45333333,0.88,1.2,24.7,42.2,0,1,25.2,25.1,-1,70.7
0.2,7,25.86666667,0.68,1.2,23.86666667,40.76666667,0,-2,25.1,24.8,-1,70.7
0.7,15.33333333,28.21333333,0.52,2.4,23.33333333,37.5,0,0,24.46666667,24.73333333,0,70.7
0.7,15.33333333,28.21333333,0.71,2,23.33333333,45.2,0,0,24.46666667,24.43333333,0,70.7
0.133333333,7.666666667,25.53666667,0.6,1.2,23.83333333,50.53333333,0,0,24.8,24.63333333,0,70.7
0.066666667,5.333333333,25.32,0.56,2,23.7,32,0,0,24.56666667,24.7,0,70.7
0.166666667,6,25.66333333,0.63,1.2,23.83333333,32.8,0,0,24.56666667,24.7,1,70.7
0.1,5.666666667,25.44333333,0.59,1.6,23.93333333,30.1,0,1,24.73333333,25.1,0,70.7
0.066666667,5.333333333,25.32,0.71,1.5,23.7,33.5,0,0,24.56666667,25,0,70.7
