,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Age,Thermal sensation,Ta_m (¡C),Operative temperature (¡C),Radiant temperature (¡C),Velocity_m (m/s)
0,-0.1,5.19,25.39,0.65,1.1,23.8,62,0.14,37,0,23.8,24.3,24.9,0.14
1,0.05,5.05,25.28,0.56,1.1,24.3,61.3,0.09,26,1,24.3,24.8,25.4,0.09
2,-0.59,12.37,23.37,0.56,1.1,23.5,62,0.24,26,1,23.5,24.2,25,0.24
3,-0.12,5.29,25.13,0.65,1.1,23.6,61.4,0.12,37,1,23.6,24.1,24.6,0.12
4,0.04,5.03,25.48,0.56,1.1,24.5,58.3,0.11,31,1,24.5,25.1,25.7,0.11
5,0.08,5.13,25.69,0.56,1.1,24.9,57,0.12,39,1,24.9,25.3,25.8,0.12
6,0.09,5.17,25.87,0.69,1.1,24.3,60.6,0.12,27,-1,24.3,24.5,24.7,0.12
7,0.17,5.58,26.42,0.84,1.1,23.9,60,0.15,51,1,23.9,24.2,24.4,0.15
8,0.08,5.14,25.56,0.65,1.1,24.4,59.1,0.1,75,-2,24.4,24.6,24.7,0.1
9,-0.15,5.49,24.54,0.47,1.1,24.6,59.3,0.1,31,1,24.6,24.9,25.2,0.1
10,0.54,11.01,27.79,0.88,1.1,24.6,58.4,0.11,28,0,24.6,25,25.5,0.11
11,0.23,6.11,26.21,0.63,1.1,24.9,58,0.11,24.33333333,0,24.9,25.3,25.7,0.11
12,-0.2,5.87,24.45,0.41,1.1,24.9,57.6,0.11,34,0,24.9,25.3,25.7,0.11
13,-0.1,5.2,25.05,0.61,1.1,23.8,58.4,0.11,24.33333333,0,23.8,24.3,24.9,0.11
14,-0.29,6.73,24.25,0.61,1.1,23,58.9,0.1,37,0,23,23.6,24.2,0.1
15,-0.3,6.83,24.36,0.61,1.1,23.1,58.9,0.11,31,1,23.1,23.7,24.3,0.11
16,0.01,5,25.67,0.61,1.1,24.6,59.6,0.14,30,1,24.6,24.9,25.3,0.14
17,0.24,6.17,26.2,0.61,1.1,25.1,59.2,0.11,26,0,25.1,25.4,25.6,0.11
18,0.3,6.93,26.4,0.65,1.1,24.9,58.3,0.1,38,-1,24.9,25.3,25.8,0.1
19,0.09,5.15,25.83,0.51,1.1,25.3,58.8,0.14,24,1,25.3,25.8,26.3,0.14
20,0.21,5.93,26.3,0.66,1.1,24.7,58.4,0.12,28,1,24.7,25.2,25.7,0.12
21,-0.18,5.67,24.92,0.55,1.1,24.3,59.9,0.13,36,2,24.3,24.7,25.1,0.13
22,0.25,6.28,26.77,0.84,1.1,24,60.2,0.15,53,0,24,24.5,25,0.15
23,-0.11,5.25,24.93,0.56,1.1,24.2,59.8,0.11,29,0,24.2,24.6,25,0.11
24,-0.15,5.46,25.06,0.56,1.1,24.2,59.4,0.13,35,0,24.2,24.7,25.2,0.13
25,-0.07,5.09,25.51,0.65,1.1,23.8,59.7,0.14,52,-1,23.8,24.5,25.2,0.14
26,-0.55,11.32,23.61,0.34,1.1,24.8,63.8,0.15,34,0,24.8,25.2,25.6,0.15
27,0.31,7.06,26.51,0.56,1.1,25.8,64.8,0.17,32,1,25.8,26.2,26.7,0.17
28,0.32,7.09,26.74,0.65,1.1,24.9,63.6,0.12,29,1,24.9,25.4,26,0.12
29,0.13,5.33,26.07,0.63,1.1,24.7,61.9,0.13,24,1,24.7,25,25.4,0.13
30,-0.15,5.49,25.01,0.64,1.1,23.9,61.2,0.17,28,0,23.9,24.5,25,0.17
31,-0.29,6.75,24.53,0.65,1.1,23.5,61,0.17,28,0,23.5,24,24.5,0.17
32,-0.67,14.57,23.12,0.56,1.1,23.3,61.6,0.21,26,0,23.3,23.7,24.2,0.21
33,-0.29,6.7,24.32,0.56,1.1,23.6,62.4,0.11,54,-1,23.6,24,24.4,0.11
34,-0.28,6.62,24.6,0.55,1.1,24.1,61.7,0.15,24,1,24.1,24.5,25,0.15
35,-0.33,7.31,24.3,0.55,1.1,23.7,57,0.12,29,-1,23.7,24.2,24.7,0.12
36,-0.98,25.36,22.35,0.34,1.1,23.6,57.1,0.13,23,1,23.6,24,24.4,0.13
37,-0.98,25.48,22.32,0.34,1.1,23.7,56.6,0.13,27,-1,23.7,24,24.2,0.13
38,-0.87,20.93,22.74,0.46,1.1,23.1,57.1,0.15,25,0,23.1,23.6,24.1,0.15
39,-0.5,10.23,23.58,0.56,1.1,23.1,56.9,0.11,27,0,23.1,23.4,23.7,0.11
40,-0.85,20.24,22.55,0.46,1.1,23,57.1,0.12,23,0,23,23.3,23.5,0.12
41,-0.53,10.79,23.5,0.63,1.1,22.5,57.1,0.11,25,0,22.5,22.8,23.1,0.11
42,-0.75,16.72,23.05,0.65,1.1,22,57.9,0.15,31,0,22,22.4,22.9,0.15
43,-1.42,46.81,21.08,0.41,1.1,21.6,58.2,0.13,38,0,21.6,22.1,22.7,0.13
44,-0.69,15.05,22.76,0.57,1.1,22.3,58,0.1,21,0,22.3,22.6,22.9,0.1
