,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,activity_30,Ta_m (¡C),Operative temperature (¡C),Tg_m (¡C),Blind (curtain),Outdoor monthly air temperature (¡F)
0,-1.2,34,20.61,0.83,1.2,17.4,77,0.05,0,1.6,17.4,17.5,17.5,0,53.6
1,-2.4,92,17.73,0.77,1,15.9,72,0.05,0,1,15.9,16.3,16.6,0,53.6
2,-0.966666667,27,21.55,0.87,1.6,15.8,78,0.47,0,1.6,14.7,15.93333333,15.1,0,53.6
3,-1.1,33,20.99333333,1.76,1.133333333,16.3,75,0.08,1,1.2,16.3,16.23333333,17,0,53.6
4,-0.3,7,24.4,1.07,1.5,15.6,70,0.1,1,2.8,15.6,16.03333333,15.7,1,53.6
5,0.2,6,27.18,1.52,1.1,18.8,52,0.06,0,1.2,18.8,20.2,20.9,0,53.6
6,-0.9,23,21.75,1.26,1.1,16.3,72,0.07,-2,1.2,16.3,17.03333333,16.6,0,53.6
7,-0.6,13,23.06,1.12,1.2,17,71,0.11,-1,1.2,17,16.83333333,17.4,0,53.6
8,-0.7,14,23.33,1.47,1.1,16.3,70,0.13,-2,1.2,16.3,16.43333333,16.7,0,53.6
9,-0.6,13,23.43,1.39,1.2,15.6,76,0.14,2,1.6,15.6,16.5,15.8,0,53.6
10,-0.8,18,22.37,1.37,1.1,16.2,69,0.09,-2,1.2,16.2,16,16.5,0,53.6
11,-0.3,7,25.19,1.26,1.1,18.9,55,0.26,-1,1.2,18.9,19,20.8,0,53.6
12,-0.9,22,21.91,1.31,1.1,16.1,69,0.1,-2,1.2,16.1,16.7,16.4,0,53.6
13,0.2,6,27.64,1.75,1.1,19.4,57,0.09,-2,1.2,19.4,19.53333333,19.6,0,53.6
14,-0.7,44.33333333,24.23333333,0.913333333,1.1,16.4,71,0.05,-2,1.2,16.4,16.36666667,17,0,53.6
15,-0.7,14,22.94,1.47,1.1,16.1,69,0.1,-2,1.2,16.1,16.1,16.4,0,53.6
16,-0.6,13,23.6,1.63,1.1,15.6,76,0.14,-2,1.2,15.6,16.36666667,15.8,0,53.6
17,-0.8,19,22.27,0.69,1.3,19.5,52,0.13,0,1.6,19.5,18.93333333,19.5,0.666666667,53.6
18,-0.6,14,22.8,1.11,1.3,16,55,0.07,0,1.6,16,18.1,16.2,0,53.6
19,-1.733333333,56.33333333,19.56,0.933333333,1.3,15.8,54.5,0.14,0,1.6,15.8,16.43333333,15.9,0,53.6
20,-1.1,32,20.87,1.06,1.2,15.9,54,0.1,0,1.6,15.9,17.06666667,16,0,53.6
21,-1,28,21.46,0.83,1.3,17,50.5,0.16,-2,1.6,17,18.1,17.5,1,53.6
22,-0.4,8,24.41,1.06,1.2,19.5,52,0.12,0,1.2,19.5,19.36666667,19.6,0.333333333,53.6
23,-1,27,20.99,0.91,1.3,16,55,0.07,0,1.6,16,17.26666667,16.1,0,53.6
24,-0.5,10,23.46,0.96,1.3,19.4,42.5,0.34,0,1.6,19.4,21.06666667,20.1,0.333333333,53.6
25,0.1,5,26.42,1.07,1.2,20.2,37,0.36,0,1.2,20.2,21.76666667,23,0.333333333,53.6
26,-1.3,39,20.2,0.93,1.3,16.4,48.5,0.36,0,1.6,16.4,17,16.9,0,53.6
27,-1.2,37,20.38,0.95,1.3,16.4,48.5,0.36,0,1.6,16.4,17,16.9,0,53.6
28,-0.866666667,21.33333333,22.26333333,1.126666667,0.8,17.3,48,0.13,-1,1.466666667,17.3,17.63333333,17,1,53.6
29,-0.8,18,22.44,1.16,1.2,17,49.5,0.11,1,1.6,17,17.1,17,1,53.6
30,-0.5,10,23.48,1.13,1.3,17,46.5,0,-1,1.6,17,16.83333333,16.8,1,53.6
31,-1.6,55,20.29,0.9,1.1,18.3,44.5,0.21,-1,1.2,18.3,17.56666667,18.7,1,53.6
32,-0.4,9,23.86,1.01,1.3,19.4,42.5,0.34,0,1.6,19.4,21.06666667,20.1,0.333333333,53.6
33,-1.2,33,21.87,1.02,1,19.2,56,0.16,1,1,19.2,18.46666667,19.3,0,53.6
34,0.1,5,26.26,1.1,1.2,21.3,51,0.08,0,1.2,21.3,20.66666667,21.3,0,53.6
35,0.2,6,27.71,1.38,1.3,19,57,0.12,0,1.6,19,18.4,19.2,1,53.6
36,-0.6,13,22.95,1.22,1.1,18.1,65,0.09,0,1.2,18.1,18.53333333,18.3,0,53.6
37,-2.3,87,18.41,0.65,1,18.2,64,0.08,0,1,18.2,18,18.3,0,53.6
38,-0.8,18,22.89,1.39,1.1,16.9,50,0.12,0,1.2,16.9,17.56666667,17.1,1,53.6
39,-1.1,33,21.6,1.22,1.1,16.7,50,0.18,0,1.2,16.7,18.1,17.2,1,53.6
40,-1.4,48,20.01,1.08,1.1,16.1,55,0.05,0,1.2,16.1,18.26666667,16.2,0,53.6
41,-0.6,13,22.91,0.74,1.2,20.6,51.5,0.07,-1,1.2,20.6,19.8,20.7,1,53.6
42,-0.8,18,22.52,1.45,1.1,16,55,0.1,0,1.2,16,15.9,16.2,0,53.6
43,0.3,7,27.4,1.16,1.3,20.8,51,0.08,0,1.6,20.8,20.2,20.9,1,53.6
44,-0.5,10,24.06,1.29,1.1,18.9,57,0.18,0,1.2,18.9,18.23333333,19.3,1,53.6
45,-1.4,46,20.19,1.1,1.1,16,55,0.1,0,1.2,16,17.66666667,16.2,0,53.6
46,-1.2,36.66666667,21.01,0.95,1.2,16.7,50,0.18,0,1.2,16.7,17.53333333,17.2,1,53.6
47,0.6,14,27.84,1.1,1.1,25.6,40,0.06,1,1.2,25.6,21.86666667,24.8,0,53.6
48,0.7,15,28.72,0.96,1.3,23.9,34,0.1,0,1.6,23.9,22.03333333,24.8,0,53.6
49,1.3,40,31.09,1.16,1.2,24.9,38.6,0.2,2,1.6,24.9,23.4,27.7,0,53.6
50,0.8,18,29,1.19,1.1,25.2,41,0.12,1,1.2,25.2,22.33333333,25.5,0,53.6
51,-1,25,21.8,1.2,1.1,17.4,41.5,0.05,0,1.2,17.4,19.03333333,17.4,0,53.6
52,-1.2,35,21.5,1.07,1,18,44.5,0.08,0,1,18,19.23333333,18.4,0,53.6
53,-0.4,8,24.21,1.23,1.2,18,44,0.07,0,1.6,18,19.23333333,18.4,0,53.6
54,0.2,6,27.52,1.15,1.7,18,39,0.06,0,2.8,18,19.86666667,18.1,0,53.6
55,0.433333333,9.333333333,27.49333333,1.226666667,1.1,24.7,42,0.06,2,1.2,24.7,22.23333333,24.2,0,53.6
56,0.7,15.66666667,28.52,1.083333333,1,25,40,0.11,1,1,25,22.03333333,25.3,0,53.6
57,-1.7,60,19.37,0.97,1.1,16.1,54,0.05,0,1.2,16.1,17.6,16.4,0,53.6
58,0.5,10,29.02,1.43,1.2,21.3,56.5,0.15,0,1.2,21.3,22.83333333,21.8,0,53.6
59,0.3,6,27.27,1.24,1.2,20.7,47,0.07,0,1.2,20.7,20.2,21.5,0,53.6
60,-0.8,19,21.96,1.07,1.3,15.5,55,0.04,0,1.6,15.5,16.86666667,15.7,0,53.6
61,-1.3,38,20.43,0.97,1.2,16,54,0.06,0,1.6,16,18.06666667,16.3,0,53.6
62,-1.2,33,20.71,1.11,1.2,15,55,0.04,0,1.2,15,17.16666667,15.2,0,53.6
63,0.4,8,27.37,1.34,1,22.5,50,0.07,1,1,22.5,21.06666667,22.8,0,53.6
64,0,5,25.95,1.3,1,21.2,56,0.05,0,1,21.2,20.43333333,21.4,0,53.6
65,-2.2,86,18.09,0.93,1,15.5,54.5,0.06,0,1,15.5,17.63333333,15.7,0,53.6
66,-0.233333333,9,24.84333333,1.05,1.1,20.9,47,0.06,0,1.2,20.9,20,21.1,0,53.6
67,0.6,14,27.59,0.34,1.4,25.2,69,0.1,0,2,25.2,25.13333333,26.1,1,82.4
68,-0.3,7,23.46,0.18,1.3,24.7,73,0.07,0,2,24.7,23.66666667,24.8,0,82.4
69,1.2,35,30.36,0.37,2,25.4,62,0.06,0,2,25.4,25.83333333,25.9,1,82.4
70,0.9,24,29.71,0.44,2,24.6,69,0.17,0,2,24.6,24.96666667,24.8,1,82.4
71,0.2,6,26.07,0.37,1.3,24,73,0.1,0,2,24,24.73333333,25.2,1,82.4
72,1.2,34,30.54,0.37,2,24.9,68,0.08,0,3.8,24.9,25.33333333,25.8,1,82.4
73,-1,26,22.58,0.03,1,26.3,62,0.06,0,1,26.3,26.8,26.8,1,82.4
74,-0.5,10,23.39,0.33,1,25.7,59,0.09,1,1,25.7,25.56666667,25.5,0,82.4
75,-0.066666667,14.66666667,24.91666667,0.266666667,1,26.1,61,0.05,1,1,26.1,26.56666667,26.8,1,82.4
76,-1,28,22.24,0.33,1.1,24.7,60,0.24,1,1.2,24.7,25.76666667,25.1,0,82.4
77,0.2,6,24.26,0.18,2,23.9,58,0.24,0,3.8,23.9,23.73333333,24.5,1,82.4
78,0.4,9,27.61,0.65,1.4,23.4,58,0.16,1,2,23.4,24.06666667,24.3,1,82.4
79,-0.666666667,32.66666667,23.92,0.28,1.5,22.1,54.5,0.15,0,2,22.1,22.5,22.5,1,82.4
80,-1.5,49,21.47,0.43,1,23.8,59,0.28,0,1,23.8,24.83333333,24.1,1,82.4
81,-0.666666667,37.33333333,23.97333333,0.28,1.233333333,23.8,59,0.28,0,1.266666667,23.8,23.7,24.1,1,82.4
82,0,5,25.01,0.38,1.3,24.3,55.5,0.17,0,2,24.3,24.7,25.2,1,82.4
83,-0.3,7,24.2,0.28,1.4,22.9,58,0.14,1,2,22.9,22.8,24,1,82.4
84,0.6,13,24.7,0.28,1.3,27.6,51,1.04,0,2,27.6,28.9,29.2,0.666666667,82.4
85,1.6,57,27.16,0.37,2,27.6,51,1.04,0,2,27.6,30.23333333,29.2,1,82.4
86,0.666666667,25.33333333,25.4,0.503333333,1.3,27.6,51,1.04,0,2,27.6,28.9,29.2,0.666666667,82.4
87,0.7,16,28.61,0.91,1.3,24,39.5,0.09,1,2,24,24.13333333,25,0,82.4
