,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Tg_h (¡C),Outdoor monthly air temperature (¡F)
0,-0.546666667,11.74666667,23.08,0.72,1.466666667,23.5,37.9,0.06,1,19.5,39
1,0.2,6,26.1,0.7,2,19.9,39.7,0.1,1,19,39
2,0.8,18,31.68,1.38,2,20.7,42.8,0.07,2,18.2,39
3,0.866666667,21.66666667,32.21666667,1.38,2,21.7,40.03333333,0.076666667,2,19.26666667,39
4,0.9,24,32.47,1.38,2,22.1,39.7,0.05,2,19.5,39
5,1,25,32.61,1.38,2,23.2,35.7,0.09,2,20.4,39
6,1.1,29,33.34,1.38,2,21.9,44.3,0.05,2,20.8,39
7,1.1,29,33.42,1.38,2,22.5,45.3,0.06,2,20.6,39
8,0.9,23,32.5,1.38,2,22.3,37.6,0.11,2,20.1,39
9,1,25,32.7,1.38,2,22.9,37.3,0.07,2,20.2,39
10,0.8,19,31.84,1.38,2,22.3,39.6,0.09,2,18.8,39
11,0.1,5,24.62,0.56,2,22.6,39,0.06,0,18.6,39
12,0.6,12,28.4,0.83,2,22,39.8,0.05,0,20.2,39
13,0.6,12,28.68,0.9,2,22.1,39.7,0.05,0,19.5,39
14,0.8,18,30.45,1.05,2,21.9,42.7,0.07,0,20.3,39
15,0.6,13,28.86,0.8,2,21.9,44.3,0.05,0,20.8,39
16,0.6,14,28.89,0.8,2,22.5,45.3,0.06,0,20.6,39
17,0.6,12,28.42,0.8,2,22.3,37.3,0.09,0,20.8,39
18,0.2,6,25.62,0.56,2,22.9,37.3,0.07,1,20.2,39
19,1,25,31.9,1.12,2,22.3,39.6,0.09,1,22.2,39
20,-0.7,15,22.06,1.08,1.3,20.5,36.8,0.32,-2,20.6,39
21,-0.7,14,22.09,1.08,1.4,19.3,39.5,0.37,-2,19.3,39
22,0.3,7,27.46,1.66,1.4,21.3,36.1,0.4,-1,21.6,39
23,0.5,10,29.3,1.66,1.7,19.6,40.6,0.39,0,19.6,39
24,-0.5,10,22.46,0.9,1.6,19.9,42,0.37,-1,19.8,39
25,-0.3,6,23.46,0.9,1.7,19.9,44.6,0.43,0,20.1,39
26,-0.3,7,23.53,1,1.4,21,40.5,0.4,-1,21,39
27,-0.4,9,23.1,1,1.3,21.5,38.5,0.39,0,21.4,39
28,-0.1,5,24.62,1.34,1.4,21.2,34.8,0.32,-1,20.7,39
29,-0.9,20,21,1,1.4,19.4,39.3,0.34,-1,18.4,39
30,-0.3,6,23.83,1.33,1.4,20.5,37.2,0.4,-1,19.1,39
31,-1.4,45,18.76,0.75,1.4,19.7,40.3,0.4,-1,18.8,39
32,-1.2,37,19.53,0.75,1.4,19.9,42.2,0.37,-1,19.1,39
33,-1.1,31,20.43,0.75,1.4,19.2,44.3,0.4,-1,19.6,39
34,-0.4,8,23.13,1,1.4,21,40.5,0.4,-2,20.6,39
35,-0.9,24,20.85,0.81,1.4,20.2,38.9,0.44,-1,20,39
36,-0.9,22,20.73,1,1.3,21.8,34.1,0.32,-2,20.4,39
37,-1.2,33,19.91,1,1.3,19.3,39.5,0.37,-2,18.3,39
38,-0.6,12,22.16,1,1.5,19.8,43.1,0.41,-1,19.1,39
39,-1.066666667,32.33333333,20.55666667,0.57,1.2,19.9,44.3,0.4,2,19.6,39
40,-0.9,23,20.83,1,1.3,21.2,34.8,0.32,1,20.7,39
41,-1.1,31,20.07,1,1.3,19.3,39.5,0.37,-1,18.3,39
