,City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
49674,London,UK,31,1,0.08,25.4,26.6,44,14.2,0.64,1,1
49676,London,UK,31,2,0.13,25.9,27.5,42.9,14.2,0.91,1.6,1
49677,London,UK,31,2,0.14,21.7,23.8,51.5,14.2,0.56,1.6,2
49678,London,UK,31,1,0.06,25.5,26.6,44.1,14.2,0.69,1,0
49680,London,UK,31,2,0.07,25.3,27.2,44,14.2,0.7,1.2,0
49681,London,UK,31,1,0.18,22.2,22.8,51.2,14.2,0.64,2,-1
49682,London,UK,31,1,0.05,25.1,26.6,46,14.2,0.67,1.6,1
49683,London,UK,31,1,0.2,22.1,23.1,52,14.2,0.64,1.2,0
49684,London,UK,31,1,0.08,22.3,23.9,51,14.2,0.66,1.2,1
49685,London,UK,31,2,0.05,24.9,26.7,45.5,14.2,0.68,1.2,0
49687,London,UK,31,2,0.05,21.9,23.8,50.5,14.2,1.1,1.5,-2
49689,London,UK,31,1,0.05,25.2,26.3,46,14.2,0.66,1.2,1
49690,London,UK,31,2,0.14,25.7,27.7,46.9,14.2,0.53,1.1,2
49692,London,UK,31,2,0.08,22.6,24.4,49.9,14.2,0.5,1.9,-1
49693,London,UK,31,1,0.08,22.7,24.8,49.4,14.2,0.64,1.8,0
49694,London,UK,31,1,0.18,23.8,26.7,53.3,14.2,0.54,1.2,-2
49696,London,UK,31,2,0.13,22.7,25.2,49.3,14.2,0.76,1.2,-1
49697,London,UK,31,1,0.06,26.1,27.6,44.9,14.2,0.85,1.2,0
49698,London,UK,31,2,0.05,22.9,25.4,49.8,14.2,0.9,1.4,0
49700,London,UK,31,1,0.11,27,28.4,42.7,14.2,0.64,1.4,2
49702,London,UK,31,2,0.08,23.2,25.4,47.7,14.2,0.79,1.5,-2
49703,London,UK,31,2,0.38,26.8,28.6,45.3,14.2,0.44,1.7,2
49704,London,UK,31,1,0.11,22.3,24.2,47.8,14.2,1.04,1.2,-1
49705,London,UK,31,2,0.6,25.6,28.6,48.2,14.2,0.47,1.5,1
49706,London,UK,31,2,0.05,22.5,24,51.4,14.2,0.81,1.1,-2
49707,London,UK,31,1,0.11,25.7,27.6,49.2,14.2,0.69,1.2,2
49708,London,UK,31,1,0.09,21.9,24.2,54.9,14.2,1.05,1.2,-2
49710,London,UK,31,1,0.07,24.9,27.4,51.1,14.2,0.72,1.3,1
49711,London,UK,31,2,0.1,22.7,24.8,50.6,14.2,0.69,1.6,0
49712,London,UK,31,2,0.1,24.9,27.1,51.1,14.2,0.68,2.3,1
49713,London,UK,31,2,0.07,23,24.3,50.3,14.2,0.57,1.6,-1
49714,London,UK,31,1,0.06,22.6,23.9,52.5,14.2,0.71,1.3,-1
49717,London,UK,31,1,0.07,22.3,24.1,52.8,14.2,1.12,1.2,-1
