City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Wollongong,Australia,80,2,0.07,23.8,24.8,55.5,22.7,0.3,1,1
Wollongong,Australia,90,2,0.06,24.5,25.3,54.1,22.7,0.5,1,-1
Wollongong,Australia,55,2,0.51,27,26.7,50.9,22.7,0.53,1.2,1
Wollongong,Australia,55,2,0.49,27.2,27.6,49.6,22.7,0.35,1.2,1
Wollongong,Australia,55,2,0.52,27.2,27.7,49.4,22.7,0.32,1.2,1
Wollongong,Australia,45,2,0.21,26,26.3,54.4,22.7,0.47,1.6,1
Wollongong,Australia,90,2,0.07,25.5,25.9,55.1,22.7,0.33,1,0
Wollongong,Australia,55,1,0.23,27.1,27.2,62.9,22.7,0.36,1,2
Wollongong,Australia,55,2,0.27,23.4,24.6,58.1,22.7,0.47,2,1
Wollongong,Australia,55,2,0.68,27.6,27.2,64.6,22.7,0.52,1,2
Wollongong,Australia,80,1,0.19,27.2,27.7,63.2,22.7,0.67,1,2
Wollongong,Australia,90,1,0.2,25,25.8,63.3,22.7,0.71,1,0
Wollongong,Australia,55,2,0.27,24.9,25.8,62.7,22.7,0.57,1,0
Wollongong,Australia,90,2,0.26,25.1,25.7,62.9,22.7,0.35,1,0
Wollongong,Australia,70,2,0.15,25,25.7,62.7,22.7,0.55,1,0
Wollongong,Australia,80,2,0.51,27,26.6,60,22.7,0.55,1,2
Wollongong,Australia,90,1,0.51,27,26.6,60,22.7,0.57,1,0
Wollongong,Australia,80,1,0.79,27.4,27,59,22.7,1.54,0.8,0
Wollongong,Australia,45,2,0.49,26.3,27,60.7,22.7,0.49,1.8,1
Wollongong,Australia,55,2,0.15,26.8,26.3,60.5,22.7,0.47,1.8,2
Wollongong,Australia,55,2,0.23,26.9,27.3,56.3,22.7,0.47,1.8,2
Wollongong,Australia,70,2,0.13,23.6,24.9,43.6,22.8,0.49,1,0
Wollongong,Australia,80,2,0.13,23.6,24.9,43.6,22.8,0.35,1,0
