City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Montreal,Canada,33,1,0.09,23.8,23.4,37.8,13.3,0.4,1,-1
Montreal,Canada,32,2,0.07,24.1,23.3,37.6,13.3,0.9,1.3,1
Montreal,Canada,37,1,0.1,23.9,23.3,37.9,13.3,0.5,1.6,-1
Montreal,Canada,35,2,0.13,23.1,22.6,39.2,13.3,0.5,1.2,0
Montreal,Canada,49,2,0.1,23,22.1,39.5,13.3,0.4,1.4,-1
Montreal,Canada,39,2,0.09,23.1,22.5,38.9,13.3,0.5,1.5,0
Montreal,Canada,53,1,0.21,22.9,22.2,39.6,13.3,1.1,1.2,-2
Montreal,Canada,38,1,0.1,24.2,23.9,36.6,13.3,0.5,1.2,1
Montreal,Canada,35,2,0.14,22.6,23.3,38.6,13.3,1.1,1.2,-1
Montreal,Canada,40,2,0.11,22.7,22.5,38.4,13.3,0.4,1,-1
Montreal,Canada,38,1,0.09,24.7,24,33,13.3,0.5,1.5,0
Montreal,Canada,38,2,0.09,24.3,23.5,33.9,13.3,0.6,1.1,-1
Montreal,Canada,36,2,0.1,24.1,23.3,34.3,13.3,1.1,1.2,-1
Montreal,Canada,53,1,0.13,23.8,23,35.1,13.3,1.2,1,-1
Montreal,Canada,50,1,0.11,23.7,23.1,35.1,13.3,0.8,1.2,1
Montreal,Canada,43,1,0.09,23.6,23,35.4,13.3,0.7,1.6,0
Montreal,Canada,45,2,0.11,23.7,22.8,35.1,13.3,0.5,1.4,-1
Montreal,Canada,53,1,0.13,23.7,23.2,36,13.3,1.1,1,1
Montreal,Canada,35,2,0.13,23.8,23.3,35.1,13.3,0.7,1.1,-1
Montreal,Canada,42,1,0.13,22.9,22.6,36.7,13.3,0.5,1.2,0
Montreal,Canada,47,2,0.1,23.7,23.1,35,13.3,0.6,1.1,-1
Montreal,Canada,57,1,0.13,22.8,23,44.5,13.3,0.4,1,0
Montreal,Canada,50,1,0.08,22.9,22.5,43.8,13.3,0.5,1.3,-1
Montreal,Canada,40,1,0.12,23.1,24.1,43.8,13.3,0.4,1.2,-1
Montreal,Canada,47,1,0.12,23.3,23.3,42.8,13.3,0.6,1,-1
Montreal,Canada,47,1,0.09,23.5,22.7,41.6,13.3,0.4,1.3,0
Montreal,Canada,43,1,0.12,22.9,22.8,43.6,13.3,0.6,1.2,0
Montreal,Canada,33,2,0.09,23.1,22.5,43,13.3,0.5,1.2,-1
Montreal,Canada,45,2,0.09,23.5,23,42.1,13.3,0.5,1.1,-1
Montreal,Canada,37,2,0.07,24.3,23.9,40.1,13.3,0.3,1.2,0
Montreal,Canada,63,2,0.11,23.5,22.9,41.6,13.3,0.5,1.2,-1
Montreal,Canada,36,1,0.07,22.2,21.2,44,13.3,0.8,1.1,-2
Montreal,Canada,39,2,0.11,21.5,21.6,45.9,13.3,0.6,1,-2
Montreal,Canada,29,1,0.12,22.5,22,43.1,13.3,0.6,1.1,0
Montreal,Canada,38,1,0.06,23.6,23,40.5,13.3,0.6,1.2,-1
Montreal,Canada,55,1,0.08,21.9,21.2,44,13.3,0.9,1.5,-1
Montreal,Canada,45,2,0.07,23.6,23.1,40,13.3,0.3,1.2,1
Montreal,Canada,43,1,0.13,21.6,20.9,44.7,13.3,0.8,1.2,-2
Montreal,Canada,46,1,0.08,22.6,22.1,42.2,13.3,0.7,1,-1
Montreal,Canada,37,1,0.11,23.4,22.5,46.4,13.3,0.7,1.5,-1
Montreal,Canada,40,1,0.1,24.5,24.4,45.3,13.3,1.1,1.1,-1
Montreal,Canada,45,2,0.1,23.3,22.9,47.3,13.3,0.4,1.2,-1
Montreal,Canada,36,1,0.14,25.3,23.8,44.3,13.3,0.5,1.5,1
Montreal,Canada,44,2,0.08,23,22.4,47.2,13.3,0.7,1.1,-1
Montreal,Canada,37,2,0.07,23.7,23,46.8,13.3,0.4,1,-2
Montreal,Canada,25,2,0.1,23.5,22.8,47.7,13.3,0.4,1.3,-1
Montreal,Canada,40,2,0.14,23.6,23.4,47.2,13.3,0.4,1.2,0
Montreal,Canada,59,1,0.1,24,22.9,41.1,13.3,1.4,1.2,0
Montreal,Canada,37,2,0.14,22.7,22.1,42.9,13.3,0.4,1.2,-2
Montreal,Canada,46,1,0.15,21.9,21,36,13.3,0.6,1.5,0
Montreal,Canada,27,2,0.22,21.2,20.8,36.7,13.3,0.5,1.3,-2
Montreal,Canada,42,1,0.18,21.8,21.3,34,13.3,0.7,1.5,-1
Montreal,Canada,47,2,0.07,23.5,23,30.8,13.3,0.4,1.6,0
Montreal,Canada,36,2,0.09,23.2,22.6,36.8,13.3,0.8,1.4,-2
Montreal,Canada,24,1,0.11,22.5,22.1,35.1,13.3,0.5,1,-1
Montreal,Canada,41,1,0.16,23.5,22.9,36.3,13.3,0.5,1.5,0
Montreal,Canada,55,1,0.09,23.9,23.1,36,13.3,0.7,1.6,2
Montreal,Canada,38,2,0.09,24,23.1,36.1,13.3,0.4,1,1
Montreal,Canada,46,2,0.06,24.4,23.4,35.3,13.3,0.4,1.1,-1
Montreal,Canada,38,2,0.07,23.9,23,36.3,13.3,0.4,1.2,-2
Montreal,Canada,43,2,0.09,24,23.5,36.8,13.3,0.6,1.2,-2
Montreal,Canada,47,1,0.17,21.6,20.7,41.8,13.3,0.5,1,-2
Montreal,Canada,44,1,0.12,22.6,22.3,47.8,13.3,0.8,1.1,-1
Montreal,Canada,37,2,0.09,24,22.9,43.1,13.3,0.4,1.5,-2
Montreal,Canada,58,1,0.1,22.9,22.3,44.2,13.3,1,1.1,0
Montreal,Canada,34,2,0.1,23.4,22.7,39.2,13.3,0.4,1.2,0
Montreal,Canada,34,2,0.1,23.1,22.5,39.9,13.3,0.6,1.2,-1
Montreal,Canada,36,2,0.09,23.7,22.8,38.2,13.3,0.5,1.5,-2
Montreal,Canada,40,2,0.09,22.9,21.8,42.9,13.3,0.5,1.5,-1
Montreal,Canada,38,2,0.08,23.4,22.6,39.9,13.3,0.4,1.2,-1
Montreal,Canada,44,1,0.12,22.6,22.8,40.3,13.3,1.3,1,-2
Montreal,Canada,51,1,0.09,22.9,21.4,37.2,13.3,0.8,1.2,-1
Montreal,Canada,49,1,0.07,24.2,23.2,29.5,13.3,0.5,1.3,0
Montreal,Canada,40,1,0.11,22.6,20.9,37.1,13.3,0.7,1.6,0
Montreal,Canada,33,1,0.13,23.1,22.6,35.3,13.3,0.5,1.2,-1
Montreal,Canada,32,1,0.08,23.4,22,30.8,13.3,0.4,1.5,-1
Montreal,Canada,22,2,0.1,23.5,22,31.5,13.3,0.8,1.4,-1
Montreal,Canada,40,1,0.09,23.4,22.5,53.9,13.3,0.5,1.2,-2
Montreal,Canada,52,1,0.09,21.7,21.2,62.2,13.3,1.3,1.4,-1
Montreal,Canada,39,2,0.06,23.1,22.1,57,13.3,0.4,1.2,-1
Montreal,Canada,39,1,0.08,22.2,21.9,59.3,13.3,1.1,1,-1
Montreal,Canada,41,2,0.07,22.4,21.6,61.8,13.3,0.4,1.6,-2
Montreal,Canada,49,1,0.08,22.9,22,57.1,13.3,0.5,1,0
Montreal,Canada,40,1,0.07,23,21.9,57.2,13.3,0.7,1.2,-1
Montreal,Canada,35,2,0.12,22.8,22.3,57.2,13.3,0.4,1.3,-1
Montreal,Canada,51,1,0.08,22.1,21.8,58.7,13.3,0.6,1,1
Montreal,Canada,46,1,0.09,23.1,22.1,55.3,13.3,0.4,1,0
Montreal,Canada,48,1,0.11,22.3,21.8,57.8,13.3,0.8,1,-1
Montreal,Canada,54,1,0.07,22.9,22,58.5,13.3,0.6,1,-1
Montreal,Canada,38,1,0.14,22.4,21.4,58.4,13.3,0.5,1.2,-1
Montreal,Canada,46,1,0.08,21.7,21.2,58.5,13.3,0.5,1.6,-1
Montreal,Canada,43,2,0.06,22.8,21.9,55.8,13.3,0.4,1.1,0
Montreal,Canada,51,1,0.08,22.2,21.6,57.7,13.3,0.7,1.5,0
Montreal,Canada,27,2,0.12,23,23.1,54.2,13.3,0.5,1.4,0
Montreal,Canada,48,2,0.12,22.8,22,54.4,13.3,0.5,1.6,0
Montreal,Canada,51,1,0.09,22.5,21.6,56.2,13.3,1.3,1.3,-1
Montreal,Canada,32,2,0.1,23.2,22.5,53.5,13.3,0.4,1.2,-1
Montreal,Canada,50,2,0.09,22.9,22.2,54.9,13.3,0.5,1.1,-1
Montreal,Canada,39,2,0.11,21.7,21.3,57.2,13.3,0.4,1.4,-1
Montreal,Canada,35,1,0.1,22.2,21.6,56.9,13.3,0.4,1.1,-1
Montreal,Canada,44,1,0.1,23.2,22.8,54.3,13.3,1.1,1,-2
Montreal,Canada,41,2,0.09,22.4,21.7,55.9,13.3,0.4,1.2,-1
Montreal,Canada,49,1,0.11,22.6,22.1,57.6,13.3,0.7,1.6,-1
Montreal,Canada,50,1,0.12,22.6,22,57.2,13.3,0.7,1.3,-2
Montreal,Canada,52,1,0.1,22.9,21.9,54.4,13.3,0.6,1.6,0
Montreal,Canada,42,1,0.08,23,22.2,55.2,13.3,0.5,1,-1
Montreal,Canada,43,1,0.05,23.3,22.6,54.6,13.3,0.5,1.2,1
Montreal,Canada,47,1,0.08,22.4,21.9,57.2,13.3,1,1.2,-1
Montreal,Canada,34,1,0.1,22.6,21.8,57.2,13.3,0.5,1.4,0
Montreal,Canada,29,1,0.12,22.9,21.9,56.5,13.3,0.4,1.3,-1
Montreal,Canada,45,1,0.1,22.9,22.1,57.3,13.3,0.6,1.2,-1
Montreal,Canada,39,2,0.07,23.2,22.2,54.5,13.3,0.5,1.6,-2
Montreal,Canada,37,1,0.06,23.3,22.9,54.5,13.3,0.5,1.2,-2
Montreal,Canada,44,1,0.11,21.7,21.3,59.4,13.3,1.3,1.4,-1
Montreal,Canada,39,1,0.08,22.6,21.9,56.2,13.3,1.4,1.1,-1
Montreal,Canada,49,1,0.08,22.4,21.8,56.7,13.3,0.5,1.2,-1
Montreal,Canada,47,2,0.07,23.4,22.6,43.4,13.3,0.4,1.4,2
Montreal,Canada,46,1,0.05,23.2,22.3,45.6,13.3,0.8,1.1,0
Montreal,Canada,40,1,0.07,23.8,23.4,42.7,13.3,0.5,1.5,-1
Montreal,Canada,36,2,0.09,24.1,23.8,41.6,13.3,0.4,1.5,0
Montreal,Canada,35,2,0.11,24.8,23.3,39.9,13.3,0.5,1.1,1
Montreal,Canada,33,2,0.07,24.2,24,40.9,13.3,0.4,1.2,0
Montreal,Canada,31,2,0.07,24.5,24.1,39.5,13.3,0.4,1.4,1
Montreal,Canada,41,2,0.08,24.3,24.1,39.6,13.3,0.4,1.2,-1
Montreal,Canada,44,2,0.06,23.8,23.4,44.3,13.3,0.4,1,-1
Montreal,Canada,32,2,0.06,24.5,23.4,45.4,13.3,0.4,1.1,0
Montreal,Canada,32,1,0.1,24.2,23.8,46.4,13.3,0.7,1,-1
Montreal,Canada,31,2,0.18,24.1,23.6,47.1,13.3,0.4,1.1,1
Montreal,Canada,41,1,0.07,24.9,24.1,45.2,13.3,0.4,1.1,0
Montreal,Canada,55,1,0.07,24.5,23.9,46.7,13.3,0.4,1.2,-2
Montreal,Canada,32,2,0.1,24.1,23.8,47.7,13.3,0.6,1.3,0
Montreal,Canada,45,1,0.08,24.4,23.9,45.5,13.3,0.4,1.1,0
Montreal,Canada,27,1,0.08,23.8,23.7,46.9,13.3,0.5,1.2,-2
Montreal,Canada,37,1,0.24,21.7,22.7,52.1,13.3,0.8,1.2,-2
Montreal,Canada,41,1,0.06,23.8,23.2,50.2,13.3,0.5,1.1,-1
Montreal,Canada,35,1,0.07,24.3,23.2,47.1,13.3,0.3,1.1,0
Montreal,Canada,47,1,0.11,24.2,23.8,49.8,13.3,0.7,1.4,0
Montreal,Canada,42,1,0.08,23.5,22.8,51.3,13.3,0.7,1.1,1
Montreal,Canada,44,2,0.06,23.8,22.8,52,13.3,0.5,1.3,0
Montreal,Canada,55,2,0.08,23.7,23.2,51,13.3,0.4,1.2,-1
Montreal,Canada,44,1,0.07,23.9,23.1,50.8,13.3,0.5,1.2,2
Montreal,Canada,44,2,0.06,24.2,23.4,49.5,13.3,0.8,1.2,-2
Montreal,Canada,49,2,0.07,24.1,23.3,51.1,13.3,0.5,1.3,-1
Montreal,Canada,48,2,0.07,24.2,23.5,50.5,13.3,0.5,1.3,-2
Montreal,Canada,36,2,0.11,23.7,23.4,53.6,13.3,0.4,1.2,0
Montreal,Canada,44,2,0.06,24.2,23.4,50.8,13.3,0.4,1.2,2
Montreal,Canada,32,2,0.06,24.1,23.5,51.6,13.3,0.4,1.3,-1
Montreal,Canada,41,1,0.09,23.3,23,53.8,13.3,0.4,1.4,0
Montreal,Canada,46,1,0.08,24.1,23.1,53,13.3,0.9,1,0
Montreal,Canada,42,2,0.07,24.2,23.4,52.3,13.3,0.4,1.1,1
Montreal,Canada,54,2,0.07,24.4,23.7,53.3,13.3,0.4,1.3,0
Montreal,Canada,50,2,0.08,24,23.4,55.5,13.3,0.4,1.1,-2
Montreal,Canada,59,1,0.11,22.7,22.3,54.4,13.3,0.5,1,-2
Montreal,Canada,34,1,0.06,23.8,23.4,48,13.3,0.7,1.1,-1
Montreal,Canada,49,2,0.07,24.1,23.8,48.1,13.3,0.5,1,-2
Montreal,Canada,36,2,0.06,24.1,23.1,50.7,13.3,0.4,1.3,0
Montreal,Canada,41,1,0.06,24.4,23.4,49.5,13.3,0.5,1.4,-1
Montreal,Canada,44,1,0.09,25.1,24.7,47.1,13.3,0.5,1.3,-1
Montreal,Canada,47,2,0.09,25.7,25.4,45.5,13.3,0.4,1.2,1
Montreal,Canada,49,2,0.15,25.2,25.2,46.9,13.3,0.3,1.3,-1
Montreal,Canada,34,1,0.1,25.3,24.8,46.1,13.3,0.9,1.2,1
Montreal,Canada,40,2,0.09,23.9,23.9,49.6,13.3,0.4,1.2,-1
Montreal,Canada,50,2,0.14,24.7,24.6,48.5,13.3,0.4,1.3,1
Montreal,Canada,50,1,0.12,23.5,23.4,51.2,13.3,0.5,1.5,1
Montreal,Canada,49,1,0.1,24.8,24.7,48.6,13.3,0.5,1.2,-1
Montreal,Canada,45,2,0.13,25.1,25.1,47.5,13.3,0.5,1.2,1
Montreal,Canada,39,1,0.14,23.9,24.5,50.2,13.3,0.9,1,1
