City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Harbin,China,35,2,0.08,12,12.2,39,-15,2.08,1.16,-2
Harbin,China,48,2,0.04,15.3,16.2,37,-15,1.51,1.16,-1
Harbin,China,37,1,0.04,15.3,16.2,37,-15,1.51,1.16,0
Harbin,China,26,2,0.11,16.1,15.7,42,-15,1.52,1.16,-1
Harbin,China,24,2,0.11,16.1,15.7,42,-15,1.52,1.16,0
Harbin,China,36,2,0.08,16.4,17.3,42,-15,1.51,1.16,-2
Harbin,China,37,1,0.08,16.4,17.3,42,-15,1.51,1.16,-2
Harbin,China,56,2,0.07,15.4,17,37,-15,2.08,1.16,-1
Harbin,China,32,1,0.14,16.9,19.5,24,-15,1.51,1.16,0
Harbin,China,30,2,0.06,17.1,17.6,31,-15,1.86,1.16,-1
Harbin,China,57,2,0.06,17.1,17.6,31,-15,1.86,1.16,0
Harbin,China,31,1,0.06,17.1,17.6,31,-15,1.72,1.16,0
Harbin,China,67,1,0.06,17.8,18.7,40,-15,1.86,1.16,-1
Harbin,China,60,2,0.06,17.8,18.7,40,-15,1.86,1.16,-1
Harbin,China,30,1,0.1,18.6,19.7,46,-15,1.19,1.16,0
Harbin,China,27,2,0.1,18.6,19.7,46,-15,1.86,1.16,0
Harbin,China,27,1,0.06,19.2,19.8,35,-15,1.51,1.16,0
Harbin,China,40,1,0.04,17.8,19.3,26,-15,1.19,1.16,0
Harbin,China,39,2,0.04,17.8,19.3,26,-15,1.48,1.16,0
Harbin,China,39,1,0.02,18.7,19.9,30,-15,1.51,1.16,-1
Harbin,China,39,2,0.02,18.7,19.9,30,-15,1.17,1.16,-1
Harbin,China,14,1,0.02,18.7,19.9,30,-15,1.19,1.16,-1
Harbin,China,50,2,0.01,18,18.5,39,-15,1.72,1.16,-1
Harbin,China,22,1,0.01,18,18.5,39,-15,1.51,1.16,0
Harbin,China,37,2,0.05,18.6,19.7,37,-15,1.17,1.16,0
Harbin,China,36,2,0.02,18.3,19,33,-15,1.51,1.16,-2
Harbin,China,37,1,0.02,18.3,19,33,-15,1.51,1.16,-2
Harbin,China,68,1,0.01,18.2,19.8,28,-15,1.51,1.16,-1
Harbin,China,66,2,0.01,18.2,19.8,28,-15,1.72,1.16,-1
Harbin,China,45,1,0.13,16.5,18.3,33,-15,1.51,1.16,0
