City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Lyon,France,31,1,0.2,29.3,30.4,44.6,13.3,0.54,1.4,1
Lyon,France,31,1,0.1,28.8,30.3,36.1,13.3,0.42,1.4,1
Lyon,France,31,2,0.1,29.2,30.3,34,13.3,0.39,1.5,2
Lyon,France,31,2,0.1,28.9,30.7,34.4,13.3,0.4,1.5,2
Lyon,France,31,1,0.1,28.8,30.6,34.3,13.3,0.44,1.1,2
Lyon,France,31,1,0.2,28.9,30.6,33.7,13.3,0.62,1.2,2
Lyon,France,31,2,0.1,28.2,30,34,13.3,0.4,1.7,0
Lyon,France,31,1,0.1,28.2,29.3,38,13.3,0.63,1.2,2
Lyon,France,31,2,0.2,28.4,30.7,33.9,13.3,0.52,1.3,2
Lyon,France,31,1,0.8,28.8,32.4,33.3,13.3,0.64,1.2,2
Lyon,France,31,2,0.1,28.4,31,34.5,13.3,0.48,1.5,1
Lyon,France,31,1,0.1,23.4,25,60.1,13.3,0.56,1.4,0
Lyon,France,31,1,0.1,23.2,25.4,61.1,13.3,0.56,1.5,-1
Lyon,France,31,1,0.1,24.5,25.6,57.2,13.3,0.88,1.3,0
Lyon,France,31,2,0.1,26.3,26.6,52.4,13.3,0.9,1.1,1
Lyon,France,31,1,0.1,26.4,27.1,51.4,13.3,0.59,1.3,1
Lyon,France,31,2,0.1,25.7,27.3,53.8,13.3,0.57,1.5,1
Lyon,France,31,2,0.1,26.1,26.6,52,13.3,0.57,1.2,2
Lyon,France,31,1,0.1,24.1,26.5,55.2,13.3,0.58,1.2,0
Lyon,France,31,2,0.1,26.3,26.8,47.3,13.3,0.65,1,0
Lyon,France,31,2,0.1,25.9,27.2,48.3,13.3,0.72,1.2,1
Lyon,France,31,1,0.1,26.2,27.6,48.6,13.3,0.56,1.3,1
Lyon,France,31,2,0.1,26.8,27,48,13.3,0.64,1.2,2
Lyon,France,31,2,0.1,26.6,28.1,47.6,13.3,0.39,1,2
Lyon,France,31,1,0.1,26.4,27.5,49.3,13.3,0.58,1.3,1
Lyon,France,31,1,0.1,26.3,26.7,49.6,13.3,0.59,1.1,2
Lyon,France,31,2,0.1,24.2,27.1,55.5,13.3,0.77,1.4,1
Lyon,France,31,2,0.1,26.1,26.9,50.2,13.3,0.61,1.1,-1
Lyon,France,31,1,0.1,25.2,26.1,55.4,13.3,0.6,1.4,1
Lyon,France,31,1,0.1,22.8,26.7,45.2,15.5,0.7,1.6,1
Lyon,France,31,2,0.1,23.7,27.5,40.9,15.5,0.62,1.3,-1
Lyon,France,31,1,0.1,25,27.1,39,15.5,0.61,1.2,-1
Lyon,France,31,1,0.1,23.2,24,59.4,14.9,0.51,1,0
Lyon,France,31,1,0.1,23.2,24.3,59.2,14.9,0.43,1,-2
Lyon,France,31,1,0.1,23.9,24.8,39.3,13.4,1.01,1.1,0
Lyon,France,31,1,0.1,23.8,25.2,39.3,13.4,0.67,1.6,1
Lyon,France,31,1,0.1,24.8,25.5,36.6,13.4,0.61,1.2,2
Lyon,France,31,1,0.1,24.9,25.8,35.9,13.4,0.87,1.3,0
Lyon,France,31,1,0.1,25.1,26,35.5,13.4,0.52,1.3,-1
Lyon,France,31,2,0.1,25.5,26.3,35.4,13.4,1.04,1.1,0
Lyon,France,31,2,0.1,25.7,34.6,33.1,13.4,0.88,1.1,1
Lyon,France,31,1,0.1,20.4,26.5,44.5,13.4,0.94,1.3,-1
Lyon,France,31,2,0.1,24.4,25.4,36.9,13.4,0.68,1.5,2
Lyon,France,31,2,0.1,23.9,25.7,37.2,13.4,0.63,1.1,1
Lyon,France,31,2,0.1,24.3,25.5,37.7,13.4,0.74,1.7,1
Lyon,France,31,2,0.1,24.8,25.8,35.2,13.4,0.67,1.6,0
Lyon,France,31,2,0.1,24.3,25.4,36.7,13.4,0.87,1.6,1
Lyon,France,31,1,0.1,23.9,25.2,38,13.4,1.19,1.3,1
Lyon,France,31,1,0.1,25.7,26.4,33.8,13.4,0.74,1.3,2
Lyon,France,31,1,0.1,25.9,26.5,34.8,13.4,0.52,1.3,0
Lyon,France,31,2,0.1,25.3,26.4,35.9,13.4,0.95,1,0
Lyon,France,31,2,0.1,25.7,26.5,31.8,13.4,0.75,1.1,1
Lyon,France,31,2,0.1,26,27,30.5,13.4,0.97,1.1,2
Lyon,France,31,2,0.1,25.4,26.3,33.6,13.4,0.67,1.5,1
Lyon,France,31,2,0.1,25.4,26.4,34.1,13.4,1.07,1.4,2
Lyon,France,31,1,0.1,26.2,30.4,28.5,13.4,0.77,1.4,1
Lyon,France,31,1,0.1,25.1,26.7,33.1,13.4,0.48,1.9,0
Lyon,France,31,1,0.1,24,24.8,39.7,11.8,0.71,1.3,1
