City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Athens,Greece,31,1,0.2,26.3,26.8,42.7,25.9,0.6,1.2,0
Athens,Greece,31,2,0.1,26.8,27.2,41.9,25.9,0.84,1.2,0
Athens,Greece,31,1,0.4,25.9,28.6,42.3,25.9,0.6,1.1,-1
Athens,Greece,31,2,0.2,26.4,27.5,41.2,25.9,0.57,1.3,0
Athens,Greece,31,1,0.1,27,27.5,39.6,25.9,0.64,1.2,1
Athens,Greece,31,1,0.1,26.6,26.3,39.3,25.9,0.61,1.2,-1
Athens,Greece,31,2,0.2,25.7,26.7,40.7,25.9,0.61,1,0
Athens,Greece,31,2,0.1,27.1,27.1,37.4,25.9,0.71,1.2,-1
Athens,Greece,31,2,0.1,27.6,27.1,38.9,25.9,0.61,1.2,0
Athens,Greece,31,1,0.1,27.7,27.6,35.9,25.9,0.63,1.2,1
Athens,Greece,31,1,0.1,27.9,27.6,36.2,25.9,0.56,1,-1
Athens,Greece,31,1,0.1,27.3,28.4,38,25.9,0.63,1.2,1
Athens,Greece,31,1,0.1,27.7,28.8,37,25.9,0.62,1.2,1
Athens,Greece,31,1,0.1,25.2,27.4,45.4,25.9,0.63,1.2,-1
Athens,Greece,31,1,0.2,28.4,26.9,35.9,25.9,0.51,1.2,0
Athens,Greece,31,1,0.1,28.5,27.2,37,25.9,0.61,1.2,1
Athens,Greece,31,1,0.1,28.1,28.2,38.3,25.9,0.64,1.3,2
Athens,Greece,31,1,0.1,28.4,28.7,36.6,25.9,0.54,1.6,1
Athens,Greece,31,2,0.1,28.7,29,35.5,25.9,0.5,1.2,1
Athens,Greece,31,2,0.1,24.2,24.9,43.3,19.3,0.95,1.2,-1
Athens,Greece,31,1,0.1,23.7,25.3,43.7,19.3,0.93,1.2,0
Athens,Greece,31,2,0.1,23.8,25.7,44.1,19.3,0.57,1.2,0
Athens,Greece,31,2,0.1,24.3,25.6,42.2,19.3,0.64,1.2,0
Athens,Greece,31,2,0.2,24.6,26.1,45.3,19.3,0.77,1.2,0
Athens,Greece,31,2,0.1,25.8,25.6,40.4,19.3,0.61,1.2,-1
Athens,Greece,31,2,0.1,24.7,25.7,45.5,19.3,0.54,1.2,-1
Athens,Greece,31,1,0.1,24.9,25.8,45.2,19.3,0.73,1.2,0
Athens,Greece,31,2,0.1,25.2,26.1,44.5,19.3,0.81,1.2,1
Athens,Greece,31,2,0.1,25.2,26.2,44.1,19.3,0.66,1.2,-1
Athens,Greece,31,1,0.1,25.7,26.6,44.1,19.3,0.58,1.2,0
Athens,Greece,31,1,0.1,26,26.9,42.9,19.3,0.91,1.2,-1
Athens,Greece,31,1,0.1,25.4,27,43.9,19.3,1.41,1.2,2
Athens,Greece,31,1,0.1,26.1,26.6,41.9,19.3,0.82,2.5,0
Athens,Greece,31,2,0.1,26,27.4,42.7,19.3,0.81,1,0
