City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
Karachi,Pakistan,25,2,0.36,30,29.7,73,13.3,0.6,0.89,0
Karachi,Pakistan,25,2,0.5,30.1,30,72.3,13.3,0.6,0.89,0
Karachi,Pakistan,25,2,0.88,30.5,30.6,71.4,13.3,0.6,1.88,0
Karachi,Pakistan,25,2,0.83,30.8,30.7,72,13.3,0.6,1.13,0
Karachi,Pakistan,25,2,1.49,30.8,30.9,69.6,13.3,0.6,1.01,2
Karachi,Pakistan,25,2,0.83,31.1,31.4,68.9,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.58,31.3,31.2,66.8,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.62,31,31.1,67,13.3,0.6,0.89,0
Karachi,Pakistan,25,2,1.66,31.3,31,67.8,13.3,0.6,1.88,0
Karachi,Pakistan,25,2,0.22,31,31,67.7,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,1.3,32.6,30.3,69.3,13.3,0.62,1.13,2
Karachi,Pakistan,25,2,0.42,29.9,30,75.2,13.3,0.6,0.89,0
Karachi,Pakistan,25,2,0.42,30.5,30.5,73.3,13.3,0.6,0.89,1
Karachi,Pakistan,25,2,0.42,30.8,30.6,72,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.32,31,31,70.8,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.42,31.1,31.3,67.7,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,1.02,31.4,31.3,66.4,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.5,31.3,31.4,66.2,13.3,0.6,1.01,1
Karachi,Pakistan,25,2,0.36,31,31.2,66.5,13.3,0.6,1.88,0
Karachi,Pakistan,25,2,0.38,30.9,31.1,67.3,13.3,0.6,1.01,1
Karachi,Pakistan,25,2,0.36,30.8,31.1,67.6,13.3,0.62,1.13,1
Karachi,Pakistan,25,2,0.38,31,30.8,68.5,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.12,30.4,30.7,70.1,13.3,0.6,0.89,1
Karachi,Pakistan,25,2,0.2,30,30.7,70.1,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.58,30,30,74.5,13.3,0.7,1.13,0
Karachi,Pakistan,25,2,0.58,30.2,30.2,73.3,13.3,0.68,1.88,0
Karachi,Pakistan,25,2,0.42,31,31,66.9,13.3,0.7,1.01,-1
Karachi,Pakistan,25,2,0.58,30.9,30.5,68.5,13.3,0.7,0.77,0
Karachi,Pakistan,25,2,0.88,30.6,30.5,70.3,13.3,0.6,0.89,0
Karachi,Pakistan,25,2,0.14,30,30.4,71.2,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.5,30.1,30.3,72.7,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.12,29.5,30.5,66.5,13.3,0.68,1.88,-1
Karachi,Pakistan,25,2,0.94,32.2,31.8,50.8,13.3,0.7,1.13,1
Karachi,Pakistan,25,2,0.2,31.8,31.9,53.2,13.3,0.6,0.89,2
Karachi,Pakistan,25,2,0.53,32,32.1,58.3,13.3,0.62,1.13,0
Karachi,Pakistan,25,2,0.36,32.6,32,53.5,13.3,0.7,0.89,0
Karachi,Pakistan,25,2,0.5,31,31.4,62.2,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,1.88,31.5,31.2,61.4,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,1.02,31.7,31.3,62.3,13.3,0.6,1.01,0
Karachi,Pakistan,25,2,0.46,30.9,31.1,65.7,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.83,30.8,31.1,64.2,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.53,30.6,30.8,65.2,13.3,0.6,0.77,0
Karachi,Pakistan,25,2,0.14,29.1,30.1,69.3,13.3,0.62,1.13,0
Karachi,Pakistan,47,1,0.07,31.1,31.5,75.9,13.3,0.6,0.65,1
Karachi,Pakistan,47,1,0.12,31,31.3,73.4,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.74,31.2,31.6,73.8,13.3,0.6,1.01,2
Karachi,Pakistan,47,1,0.16,31.9,31.9,70.2,13.3,0.6,1.88,2
Karachi,Pakistan,47,1,0.05,32,31.8,70.2,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.02,31.8,31.7,71.5,13.3,0.6,1.13,2
Karachi,Pakistan,47,1,0.02,31.2,30.9,70.5,13.3,0.6,1.88,2
Karachi,Pakistan,47,1,0.04,31.2,31.2,72,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.09,31.5,31.5,70.3,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.14,31.9,31.8,68.9,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.32,32.1,32.3,64.8,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.23,31.6,31.5,68,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.09,31.7,31.7,67.7,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.06,31.6,31.6,70.1,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.44,30.2,30.6,71.2,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,1.08,30.4,30.3,74.2,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.62,30.7,30.6,72.8,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.74,30.8,30.7,71.6,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.86,31.1,31.2,70.8,13.3,0.6,1.88,2
Karachi,Pakistan,47,1,0.02,31.1,31.2,70.4,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.03,31.2,31.2,69.9,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.03,31.3,31.3,69.9,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.04,31.4,31.2,70.3,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.02,31.4,31.4,69.5,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.02,31.4,31.4,70.1,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.02,31.4,31.4,68.4,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.01,31.4,31.4,68.5,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.02,31.4,31.4,68.2,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.62,30,29.9,68.5,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,1.56,31.2,31.2,59.7,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.29,31.4,31.6,65.1,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.94,31.8,31.8,59.1,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,1.08,32.6,32.1,55.6,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,1.35,31.7,31.7,59.7,13.3,0.6,1.01,2
Karachi,Pakistan,47,1,0.94,32.4,32.4,62.7,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.1,31.8,31.9,64.4,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.79,31,30.9,64.4,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,1.35,30.4,30.3,67.8,13.3,0.6,1.88,1
Karachi,Pakistan,47,1,0.74,30.8,30.7,65.2,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.67,30.8,30.6,66.1,13.3,0.6,1.01,2
Karachi,Pakistan,47,1,0.48,31.1,31.1,64.4,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,1.08,31.1,31.2,67,13.3,0.6,1.01,1
Karachi,Pakistan,47,1,0.79,31.8,31.8,64.8,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.79,31.6,31.5,65.3,13.3,0.6,1.01,0
Karachi,Pakistan,47,1,0.04,31,31.1,66.1,13.3,0.6,1.88,0
Karachi,Pakistan,37,1,0.71,31.4,30.3,69.8,13.3,0.6,0.65,1
Karachi,Pakistan,37,1,1.74,31.7,31.7,68.9,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.92,33,32.5,67.7,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.03,31,31.7,67.3,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.01,31,31.7,66.1,13.3,0.6,0.89,0
Karachi,Pakistan,37,1,0.06,31,30.8,70.1,13.3,0.6,0.89,0
Karachi,Pakistan,37,1,0.81,30.7,31.6,71.6,13.3,0.6,1.88,0
Karachi,Pakistan,37,1,0.07,31.3,29.5,69.8,13.3,0.6,1.01,0
Karachi,Pakistan,37,1,0.5,32.1,30.6,68.9,13.3,0.58,1.88,1
Karachi,Pakistan,37,1,0.35,31.4,30.5,67.7,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.81,32.6,31.7,65.7,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.98,32.9,31.7,63.7,13.3,0.6,0.89,1
Karachi,Pakistan,37,1,0.17,31,31.8,63.6,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.01,29.1,31.5,73.4,13.3,0.6,0.89,0
Karachi,Pakistan,37,1,0.18,30.3,30.9,71.9,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.02,29.6,31.6,71,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.2,31.4,30.1,70.2,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.29,31.4,31.7,68.5,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.12,30.7,32,66.9,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.2,31.4,31.7,64.9,13.3,0.58,1.88,1
Karachi,Pakistan,37,1,0.29,31.4,31.7,64.8,13.3,0.6,0.89,1
Karachi,Pakistan,37,1,0.17,30.8,28.9,73.7,13.3,0.6,0.89,1
Karachi,Pakistan,37,1,0.2,31,29,73.2,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.14,30.7,31.5,73.2,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.03,29.9,31.4,71.6,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.14,31.4,31.1,70.9,13.3,0.6,0.77,1
Karachi,Pakistan,37,1,0.02,30.3,31.5,68.4,13.3,0.6,0.77,1
Karachi,Pakistan,37,1,0.98,31,28.8,72.3,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.17,29.9,31.9,69.3,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.41,31,29.7,69.2,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.81,32.2,30.1,68.4,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.2,31.3,31.7,64,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.07,31,30.7,64.4,13.3,0.6,0.89,1
Karachi,Pakistan,37,1,0.03,30.7,32.7,61,13.3,0.6,1.88,1
Karachi,Pakistan,37,1,0.22,30.7,30.5,62.7,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.32,31.4,30.4,58.8,13.3,0.58,1.01,1
Karachi,Pakistan,37,1,0.14,30.7,31.7,63.1,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.25,31.4,31.7,53.7,13.3,0.6,1.01,1
Karachi,Pakistan,37,1,0.2,31.6,31.7,55.6,13.3,0.6,1.88,1
