City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Porto,Portugal,31,1,0.1,25.6,27.2,59.7,18.3,0.67,1.1,0
Porto,Portugal,31,2,0.1,24.8,27,60.5,18.3,0.67,1.2,1
Porto,Portugal,31,1,0.1,24.9,26.6,60.9,18.3,0.73,1.2,0
Porto,Portugal,31,1,0.1,24.7,26.9,60.7,18.3,0.88,1.4,0
Porto,Portugal,31,2,0.1,25.1,26.6,59.4,18.3,0.61,1.2,0
Porto,Portugal,31,1,0.1,25,27,59.6,18.3,0.63,1.5,1
Porto,Portugal,31,1,0.1,24.5,27.2,60.9,18.3,0.96,1.5,0
Porto,Portugal,31,2,0.1,24.6,27.5,60.7,18.3,0.75,1.2,0
Porto,Portugal,31,1,0.1,25.1,27.3,60.4,18.3,0.56,1.4,0
Porto,Portugal,31,1,0.1,25.5,26.7,61.5,18.3,0.66,1.3,1
Porto,Portugal,31,1,0.1,25.3,26.8,56.1,18.9,0.63,1.2,0
Porto,Portugal,31,2,0.1,26,27,54.1,18.9,0.56,1.2,0
Porto,Portugal,31,1,0.1,25.8,26.6,50.8,18.9,0.73,1.2,2
Porto,Portugal,31,2,0.1,24.8,28.2,53.4,18.9,0.56,1.2,1
Porto,Portugal,31,1,1.4,23.9,28.4,58.8,17.9,0.61,1.6,0
Porto,Portugal,31,1,0.7,24.8,26.1,57.7,17.9,0.68,1.2,0
Porto,Portugal,31,1,0.7,24.9,27.4,57.5,17.9,0.58,1.4,-1
Porto,Portugal,31,1,1.5,25.1,28.7,57,17.9,0.59,1.2,0
Porto,Portugal,31,1,1.4,25,28.5,56.9,17.9,0.63,1.2,-1
Porto,Portugal,31,1,1.4,25.4,28.6,55.1,17.9,0.58,1.2,0
Porto,Portugal,31,2,1.3,25.8,30,53.8,17.9,0.58,1.2,2
Porto,Portugal,31,1,0.8,25.3,27.1,56.1,17.9,0.63,1.1,1
Porto,Portugal,31,1,0.8,25.5,27.5,55.8,17.9,0.82,1.6,0
Porto,Portugal,31,1,1.6,25.7,29.7,55.8,17.9,0.57,1.3,0
Porto,Portugal,31,1,2.1,27,27.8,59.4,17.9,0.65,1.2,1
Porto,Portugal,31,1,0.11,22.5,23.8,63.2,16.1,0.77,1.2,1
Porto,Portugal,31,2,0.12,23.8,24.9,60,16.1,0.73,1.2,2
Porto,Portugal,31,2,0.11,24,25.2,59.8,16.1,1.03,1.2,0
Porto,Portugal,31,2,0.22,22.5,24.3,63.3,16.1,1.03,1.2,0
Porto,Portugal,31,1,0.12,24.5,25.1,61.2,16.1,0.64,1.2,0
Porto,Portugal,31,1,0.17,24.6,25.4,58.8,16.1,0.66,1.4,2
Porto,Portugal,31,2,0.13,24.6,25.6,58.7,16.1,0.59,1.6,0
Porto,Portugal,31,1,0.21,21.5,23.1,64.2,16.1,0.58,2,-1
Porto,Portugal,31,1,0.24,24.6,25.3,59.2,16.1,0.63,1.7,0
Porto,Portugal,31,1,0.07,25.9,26,58.7,16.1,0.59,1.9,2
Porto,Portugal,31,1,0.16,24.4,24.9,58.9,16.1,0.58,2,0
Porto,Portugal,31,2,0.12,24.7,25,58.2,16.1,0.61,1.2,2
Porto,Portugal,31,1,0.08,26,26.4,55.8,16.1,0.63,1.2,2
Porto,Portugal,31,1,0.1,24.7,25.8,58.4,16.1,0.73,1.2,0
Porto,Portugal,31,1,0.09,24.5,25,58.2,16.1,0.71,1.4,2
Porto,Portugal,31,2,0.1,23.9,24.4,54.3,16.1,0.72,1.2,-1
Porto,Portugal,31,1,0.13,24.1,25.3,60.6,16.1,0.61,1.9,0
