Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Thermal sensation
1,2,0.1,22.3,23.1,29,38,-1
2,2,0.1,22.3,23.1,29,38,-1
1,2,0.1,22.3,23.1,29,38,-2
1,1,0.1,22.3,23.1,29,38,0
2,2,0.1,22.3,23.1,29,38,0
2,1,0.1,22.3,23.1,29,38,0
2,1,0.1,22.3,23.1,29,38,1
2,1,0.1,22.3,23.1,29,38,-1
1,1,0.1,22.3,23.1,29,38,1
2,2,0.1,22.3,23.1,29,38,-2
1,1,0.1,22.3,23.1,29,38,-1
2,1,0.1,22.975,23.1,29,38,-1
2,1,0.1,22.975,23.1,29,38,0
1,2,0.1,22.975,23.1,29,38,0
1,2,0.1,22.975,23.1,29,38,-1
2,2,0.1,22.975,23.1,29,38,0
1,1,0.1,22.975,23.1,29,38,-1
2,1,0.1,22.975,23.1,29,38,1
1,1,0.1,22.975,23.1,29,38,0
2,2,0.1,22.975,23.1,29,38,-1
1,1,0.1,22.65,23.1,21.5,40,0
2,1,0.1,22.65,23.1,21.5,40,-1
1,1,0.1,22.65,23.1,21.5,40,-1
1,2,0.1,22.65,23.1,21.5,40,-1
2,1,0.1,22.65,23.1,21.5,40,-2
2,1,0.1,22.65,23.1,21.5,40,0
1,2,0.1,22.65,23.1,21.5,40,0
2,2,0.1,22.65,23.1,21.5,40,-1
3,2,0.1,22.65,23.1,21.5,40,-2
1,1,0.1,23.7,23.1,49,26.8,0
2,2,0.1,23.7,23.1,49,26.8,0
2,1,0.1,23.7,23.1,49,26.8,1
2,1,0.1,23.7,23.1,49,26.8,-1
1,1,0.1,23.7,23.1,49,26.8,-1
1,1,0.1,23.7,23.1,49,26.8,1
2,1,0.1,23.7,23.1,49,26.8,0
1,2,0.1,23.7,23.1,49,26.8,0
2,2,0.1,23.7,23.1,49,26.8,1
1,2,0.1,23.9,23.1,42,29.8,0
2,2,0.1,23.9,23.1,42,29.8,0
2,1,0.1,23.9,23.1,42,29.8,-1
1,1,0.1,23.9,23.1,42,29.8,0
2,1,0.1,23.9,23.1,42,29.8,0
2,2,0.1,23.9,23.1,42,29.8,-1
1,2,0.1,23.9,23.1,42,29.8,-1
1,1,0.1,23.9,23.1,42,29.8,1
1,1,0.1,23.7,23.1,37,27.2,0
