City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Singapore,Singapore,31,1,0.1,18.3,19.2,59.1,13.3,0.61,0.99,-2
Singapore,Singapore,31,2,0.28,19,21.3,71.3,13.3,0.78,1.19,-2
Singapore,Singapore,31,2,0.1,19,21.2,71.3,13.3,0.78,1.19,-1
Singapore,Singapore,31,2,0.15,19.3,20.2,49.8,13.3,0.31,1.19,0
Singapore,Singapore,31,2,0.1,19.3,20.2,49.8,13.3,0.78,1.59,-2
Singapore,Singapore,31,2,0.05,19.3,20.2,49.8,13.3,0.64,1.59,-2
Singapore,Singapore,31,1,0.35,19.4,20.4,35.6,13.3,0.61,1.19,-2
Singapore,Singapore,31,1,0.2,19.4,20.4,35.6,13.3,0.61,1.19,-2
Singapore,Singapore,31,2,0.4,19.4,20.4,35.6,13.3,0.78,1.19,-2
Singapore,Singapore,31,1,0.2,20.5,21.2,37.6,13.3,0.61,1.19,-2
Singapore,Singapore,31,2,0.1,20.5,21.2,37.6,13.3,0.78,1.19,-2
Singapore,Singapore,31,2,0.4,20.5,21.3,37.6,13.3,0.78,1.19,-2
Singapore,Singapore,31,1,0.1,20.8,21.6,63.8,13.3,0.4,1.19,-2
Singapore,Singapore,31,2,0.45,20.8,21.7,63.8,13.3,0.31,0.99,-1
Singapore,Singapore,31,2,0.01,20.8,21.6,63.8,13.3,0.44,1.59,-2
Singapore,Singapore,31,1,0.1,20.9,21.6,63.2,13.3,0.31,1.59,0
Singapore,Singapore,31,2,0.01,21.2,22.2,60,13.3,0.64,1.19,0
Singapore,Singapore,31,2,0.15,21.2,22.3,60,13.3,0.64,0.99,0
Singapore,Singapore,31,2,0.1,21.2,22.2,60,13.3,0.78,0.99,0
Singapore,Singapore,31,2,0.1,21.2,22.2,60,13.3,0.44,0.99,0
Singapore,Singapore,31,2,0.25,21.2,22.3,60,13.3,0.44,0.99,-1
Singapore,Singapore,31,2,0.1,21.2,22.2,60,13.3,0.78,1.19,-2
Singapore,Singapore,31,1,0.05,21.6,22.8,49.8,13.3,0.4,0.99,0
Singapore,Singapore,31,1,0.05,21.6,22.8,49.8,13.3,0.4,1.19,-2
Singapore,Singapore,31,1,0.15,21.6,22.4,50.4,13.3,0.47,0.99,-1
Singapore,Singapore,31,1,0.15,21.6,22.4,50.4,13.3,0.47,0.99,-2
Singapore,Singapore,31,2,0.01,21.6,22.8,49.8,13.3,0.44,0.99,0
Singapore,Singapore,31,2,0.1,21.6,22.9,56.4,13.3,0.31,1.19,2
Singapore,Singapore,31,2,0.15,21.6,22.4,50.4,13.3,0.44,1.19,0
Singapore,Singapore,31,1,0.01,21.8,22.3,57.4,13.3,0.47,0.99,0
Singapore,Singapore,31,2,0.05,21.8,22.3,57.4,13.3,0.64,0.99,-2
Singapore,Singapore,31,2,0.15,21.8,22.3,57.4,13.3,0.64,1.19,-1
Singapore,Singapore,31,2,0.05,21.8,22.3,57.4,13.3,0.64,1.19,1
Singapore,Singapore,31,2,0.1,21.8,22.3,57.4,13.3,0.31,0.99,0
Singapore,Singapore,31,2,0.1,21.8,22.3,57.4,13.3,0.78,0.99,0
Singapore,Singapore,31,2,0.1,21.8,22.3,57.4,13.3,0.31,1.19,0
Singapore,Singapore,31,1,0.01,21.9,23.2,59.7,13.3,0.4,0.99,-2
Singapore,Singapore,31,1,0.05,21.9,23.2,59.7,13.3,0.4,0.99,-2
Singapore,Singapore,31,1,0.1,21.9,23.2,61.1,13.3,0.4,0.99,2
Singapore,Singapore,31,1,0.1,21.9,23.2,61.1,13.3,0.61,0.99,0
Singapore,Singapore,31,1,0.1,21.9,23.2,61.1,13.3,0.4,0.99,0
Singapore,Singapore,31,2,0.25,21.9,23.3,59.7,13.3,0.78,0.99,-2
Singapore,Singapore,31,2,0.1,21.9,23.2,61.1,13.3,0.78,0.99,1
