City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Malmo,Sweden,31,1,0.1,23.8,25,51.6,13.3,0.69,1.2,1
Malmo,Sweden,31,1,0.1,22.6,25.1,50.9,13.3,0.63,1.2,0
Malmo,Sweden,31,1,0.1,22.2,25.6,53.5,13.3,0.68,1.2,-1
Malmo,Sweden,31,1,0.1,24.7,24.8,47.9,13.3,0.63,1.2,1
Malmo,Sweden,31,1,0.1,22,25.5,54.4,13.3,0.6,1.2,-2
Malmo,Sweden,31,1,0.1,23.5,25.9,50.8,18.4,0.57,1.8,0
Malmo,Sweden,31,1,0.1,22.6,23.9,51.7,18.4,0.55,2.3,0
Malmo,Sweden,31,2,0.1,24.5,25,48.5,18.4,0.39,1.9,2
Malmo,Sweden,31,1,0.1,22,23,60.9,19.8,0.63,1.2,0
Malmo,Sweden,31,2,0.1,22,23.6,59.2,19.8,0.73,1.4,1
Malmo,Sweden,31,2,0.1,22.5,24.2,60.5,19.8,0.88,1.2,0
Malmo,Sweden,31,1,0.1,22.2,25.9,58.5,19.8,0.58,1.2,0
Malmo,Sweden,31,1,0.1,23.3,24.9,56.9,19.8,0.73,1.2,-1
Malmo,Sweden,31,1,0.1,22.7,24.2,59.5,19.8,0.57,1.4,0
Gothenburg,Sweden,31,1,0.1,21,22.7,50,11.7,0.64,1.3,0
Gothenburg,Sweden,31,1,0.1,22.2,23.8,47.4,13.1,0.78,1.4,0
Malmo,Sweden,31,1,0.1,23.5,24.5,34.7,9.8,0.68,1.2,0
Malmo,Sweden,31,2,0.1,23,23.2,32.6,9.8,0.66,1.6,0
Malmo,Sweden,31,1,0.1,22.5,25.3,34.1,9.8,0.82,1.2,0
Malmo,Sweden,31,2,0.1,24.1,25,33.2,9.8,0.74,1.2,2
Malmo,Sweden,31,2,0.1,22.9,24.3,33,9.8,0.65,1.2,0
Malmo,Sweden,31,1,0.1,23.3,25.4,30.5,9.8,0.67,1.3,1
Malmo,Sweden,31,1,0.1,21.8,23.3,42.2,9.2,0.66,1.3,0
Malmo,Sweden,31,1,0.1,23.4,24.8,35.2,9.2,0.82,1.2,-1
Malmo,Sweden,31,1,0.1,22.7,22.9,35.1,9.2,0.78,1.4,-1
Gothenburg,Sweden,31,1,0.2,21.4,22.4,36.7,5.2,0.75,1.6,0
Gothenburg,Sweden,31,1,0.1,21.6,22.6,22.3,0.6,0.87,1.2,0
Gothenburg,Sweden,31,1,0.1,18.8,23.2,30.5,0.7,0.79,1.7,0
Malmo,Sweden,31,1,0.1,22.7,23.4,24.7,3.9,0.82,1.2,0
Malmo,Sweden,31,1,0.1,23.2,23.8,23.9,3.9,1.09,1.2,0
Malmo,Sweden,31,1,0.1,22.6,24,23.7,3.9,0.68,1.2,0
Malmo,Sweden,31,2,0.1,23.2,24.2,22.9,3.9,0.77,1.2,0
Malmo,Sweden,31,1,0.1,23.7,24.8,22,3.9,0.82,1.2,0
Malmo,Sweden,31,1,0.1,23.2,23.3,25.6,3.9,1.08,1.2,1
Halmstad,Sweden,31,1,0.1,22.9,23.4,29.3,3.9,0.77,1.6,0
Gothenburg,Sweden,31,1,0.03,21.2,21.4,19.7,-4.4,1.01,1.7,1
Gothenburg,Sweden,31,1,0.03,21.3,21.8,20.2,-4.4,1.05,1.6,0
Gothenburg,Sweden,31,1,0.03,21.1,21.5,20,-4.4,1.31,1.2,-2
Gothenburg,Sweden,31,2,0.04,21.2,21.7,20.3,-4.4,1.11,1.4,0
Gothenburg,Sweden,31,1,0.03,21.8,22.3,19.1,-4.4,1.06,1.4,1
Gothenburg,Sweden,31,1,0.04,22,22.6,19.4,-4.4,0.82,1.2,-1
Gothenburg,Sweden,31,2,0.04,22.2,22.8,19.5,-4.4,1.01,1.6,0
Gothenburg,Sweden,31,1,0.05,21.5,22.8,18.2,-4.4,0.85,1.3,-1
Gothenburg,Sweden,31,1,0.05,21.9,22.9,17.5,-4.4,0.65,1.2,1
Gothenburg,Sweden,31,1,0.05,21.8,22.6,17.4,-4.4,0.72,1.5,-1
Gothenburg,Sweden,31,1,0.05,21.2,22.2,29.9,-4.4,1.38,1.2,0
Gothenburg,Sweden,31,2,0.05,20.8,21.5,18.6,-4.4,0.77,1.9,-2
Gothenburg,Sweden,31,1,0.07,21.3,22.6,18.1,-4.4,0.93,1.2,0
Gothenburg,Sweden,31,2,0.03,22,22,20.9,-4.4,0.93,1.3,1
Gothenburg,Sweden,31,1,0.03,22.4,22.8,21.3,-4.4,0.77,1.2,0
Gothenburg,Sweden,31,1,0.04,21.3,22,20.6,-4.4,0.74,2,0
Gothenburg,Sweden,31,2,0.03,22.1,22.3,21.4,-4.4,1.05,1.6,0
Gothenburg,Sweden,31,1,0.03,22.4,23,21.6,-4.4,1.03,1.2,1
Gothenburg,Sweden,31,2,0.04,22.6,23.1,22.4,-4.4,1.03,1.3,0
Gothenburg,Sweden,31,1,0.03,21.6,22.3,22,-4.4,1.08,1.2,-2
Gothenburg,Sweden,31,2,0.03,22.4,22.7,34.1,13.3,0.57,1.2,0
Gothenburg,Sweden,31,1,0.04,23.1,23.1,33.8,13.3,0.87,1.2,0
Gothenburg,Sweden,31,1,0.03,23.8,23.4,31.3,13.3,1.03,1.2,0
Gothenburg,Sweden,31,1,0.05,23.6,23.6,32.1,13.3,1.02,1.2,0
Gothenburg,Sweden,31,1,0.03,22.4,22.9,34.3,13.3,0.73,1.2,0
Gothenburg,Sweden,31,1,0.05,23.3,23.1,32.9,13.3,1.03,1.2,0
Gothenburg,Sweden,31,2,0.04,23.7,23.8,32.2,13.3,0.78,1.2,0
Gothenburg,Sweden,31,1,0.04,22.7,22,33.4,13.3,1.42,1.4,0
Gothenburg,Sweden,31,2,0.04,21.8,22.4,35.1,13.3,0.97,1.2,0
Gothenburg,Sweden,31,2,0.06,22.1,23,34.4,13.3,1.11,1.2,0
Gothenburg,Sweden,31,1,0.07,23.6,23.5,31.9,13.3,0.67,1.3,1
Gothenburg,Sweden,31,1,0.04,22.9,23.1,32.3,13.3,1.19,1.2,0
Gothenburg,Sweden,31,1,0.03,23.8,22.7,31.3,13.3,0.73,1.2,0
Gothenburg,Sweden,31,1,0.05,23.7,23,32,13.3,1.08,1.2,0
Gothenburg,Sweden,31,1,0.08,23.3,23.9,32.9,13.3,0.78,1.2,0
Gothenburg,Sweden,31,2,0.04,23.5,24.3,31.4,13.3,0.85,1.2,0
Gothenburg,Sweden,31,1,0.04,24,23.8,29.9,13.3,0.63,1.2,2
Gothenburg,Sweden,31,1,0.04,23.4,23.2,32.2,13.3,0.98,1.2,-1
Gothenburg,Sweden,31,1,0.05,23,23.8,30.2,13.3,0.82,1.2,0
Gothenburg,Sweden,31,1,0.04,23.6,22.6,27.8,13.3,0.7,1.4,0
Gothenburg,Sweden,31,2,0.05,23.4,23.1,28.3,13.3,0.78,1.2,0
Gothenburg,Sweden,31,1,0.03,22.8,23.7,27,13.3,1,1.4,0
Gothenburg,Sweden,31,1,0.19,22.7,21.7,20.2,3.8,1.04,1.2,-1
Gothenburg,Sweden,31,2,0.08,22.9,22.6,19.9,3.8,1.03,1.4,-2
Gothenburg,Sweden,31,1,0.05,22.7,23.2,20.9,3.8,1.02,1.3,0
Gothenburg,Sweden,31,2,0.03,23.1,23,20,3.8,0.99,1.4,0
Gothenburg,Sweden,31,2,0.1,23.1,22.9,20.1,3.8,0.97,1.6,-1
Gothenburg,Sweden,31,1,0.1,23.4,23,18.5,3.8,0.73,1.2,0
Gothenburg,Sweden,31,1,0.13,23.4,22.6,19.4,3.8,0.58,1.6,0
Gothenburg,Sweden,31,1,0.09,23.9,23.3,20.8,3.8,1.12,1.2,-2
Gothenburg,Sweden,31,1,0.09,23.3,23.4,19.7,3.8,1.33,1.2,-2
Gothenburg,Sweden,31,2,0.08,22.8,23,19.4,3.8,0.78,1.2,0
Gothenburg,Sweden,31,1,0.04,23.1,23.3,17.5,3.8,0.91,1.4,0
Gothenburg,Sweden,31,1,0.1,22.8,23.9,19.5,3.8,1.03,1.2,0
Gothenburg,Sweden,31,1,0.05,23.5,24.1,16.9,3.8,0.67,1.6,0
Gothenburg,Sweden,31,1,0.06,23.4,24.4,19.4,3.8,1,1.3,0
Halmstad,Sweden,31,2,0.08,19.2,20,16.9,-8.4,0.95,1.6,-2
Halmstad,Sweden,31,1,0.03,20.4,20.7,14.4,-8.4,1.13,1.2,0
Halmstad,Sweden,31,1,0.03,21,21,16,-8.4,0.81,1.2,0
Halmstad,Sweden,31,2,0.04,20.9,20.6,18.9,-8.4,1.13,1.2,-1
Halmstad,Sweden,31,1,0.03,21.6,22,15.3,-8.4,1.1,1.8,0
Halmstad,Sweden,31,1,0.04,21.5,22.2,13.6,-8.4,0.94,1.4,0
Halmstad,Sweden,31,2,0.02,21.8,22.6,13,-8.4,1,1.2,1
Halmstad,Sweden,31,1,0.02,22.1,21.9,12.9,-8.4,1.37,1.5,0
Halmstad,Sweden,31,1,0.03,22.3,23.3,15.1,-8.4,0.81,1.2,0
Halmstad,Sweden,31,2,0.05,21.7,22.5,14.2,-8.4,1.02,1.2,-1
Halmstad,Sweden,31,1,0.04,21,21.4,19.6,-8.4,0.87,1.6,0
Halmstad,Sweden,31,1,0.04,22.2,22.4,14.2,-8.4,0.8,1.6,0
Halmstad,Sweden,31,1,0.08,21.5,21.9,15.5,-8.4,0.99,1.8,0
Halmstad,Sweden,31,1,0.03,21.7,21.6,15.4,-8.4,0.73,1.2,1
Malmo,Sweden,31,1,0.07,21.6,21.5,13.8,-6.7,1.11,1.2,0
Malmo,Sweden,31,1,0.02,21.4,21.5,14.8,-6.7,1.03,1.2,-1
Malmo,Sweden,31,1,0.04,22,22.2,16,-6.7,0.78,1.2,0
Malmo,Sweden,31,1,0.04,21.6,22.1,14.1,-6.7,1.1,1.2,0
Malmo,Sweden,31,1,0.06,22.3,22.4,14.3,-6.7,0.73,1.2,0
Malmo,Sweden,31,1,0.04,23.1,23.2,12,-6.7,1.03,1.2,0
Malmo,Sweden,31,2,0.03,22.7,22.9,12,-6.7,1.16,1.2,0
Malmo,Sweden,31,1,0.03,22.6,22.9,11.6,-6.7,0.83,1.6,0
Malmo,Sweden,31,1,0.03,22.1,22.5,13.8,-6.7,0.72,1.2,-1
Malmo,Sweden,31,1,0.04,22.3,23,15.2,-6.7,0.96,1.6,0
Malmo,Sweden,31,1,0.09,23,23,13.5,-6.7,1.04,1.2,0
Malmo,Sweden,31,1,0.04,23.5,23.1,15.2,-6.7,0.73,1.2,0
Malmo,Sweden,31,1,0.06,23.8,23.9,13.2,-6.7,0.82,1.2,0
Malmo,Sweden,31,1,0.04,23.9,24.3,13.5,-6.7,0.53,1.8,0
Malmo,Sweden,31,1,0.03,23.8,24.2,13.5,-6.7,0.7,1.8,1
Malmo,Sweden,31,1,0.06,23.4,24,12.6,-6.7,0.93,1.2,0
Malmo,Sweden,31,1,0.06,23.6,24.3,13.3,-6.7,0.66,1.6,1
Malmo,Sweden,31,1,0.1,23.1,22.9,15.6,-6.7,0.72,1.2,-1
Malmo,Sweden,31,1,0.04,23.5,23.8,17.1,-6.7,0.76,2.2,1
Malmo,Sweden,31,1,0.05,23.2,23.5,15.7,-6.7,0.66,1.6,0
Malmo,Sweden,31,2,0.04,23.5,24.1,18.5,-6.7,0.81,1.2,2
Gothenburg,Sweden,31,1,0.02,20.9,20.9,19.5,-3.3,1.28,1.2,0
Gothenburg,Sweden,31,1,0.03,21.1,21.3,18,-3.3,0.87,2.3,0
Gothenburg,Sweden,31,2,0.05,21.4,21.8,18.8,-3.3,1.13,1.6,-1
Gothenburg,Sweden,31,1,0.04,21.3,21.4,16.9,-3.3,0.97,2,-1
Gothenburg,Sweden,31,1,0.04,21.8,22.1,21.3,-3.3,1.02,1.6,0
Gothenburg,Sweden,31,1,0.04,22.5,22.7,20.1,-3.3,1.01,1.2,0
Gothenburg,Sweden,31,2,0.03,22.1,22.5,20.2,-3.3,0.91,1.4,1
Gothenburg,Sweden,31,1,0.04,22.1,22.7,20.4,-3.3,1.12,1.2,-1
Gothenburg,Sweden,31,1,0.05,21.5,22.3,20.2,-3.3,0.82,1.2,0
Gothenburg,Sweden,31,2,0.07,21.8,22.5,18.3,-3.3,0.93,2,0
Gothenburg,Sweden,31,1,0.05,22.9,22.7,20.8,-3.3,0.73,1.6,-1
Gothenburg,Sweden,31,1,0.06,21.1,22.1,22.5,-3.3,0.87,1.6,0
Gothenburg,Sweden,31,1,0.03,21.3,22.2,22.6,-3.3,0.73,1.2,0
Gothenburg,Sweden,31,1,0.04,21.9,22.3,19.5,-3.3,0.75,1.6,0
Gothenburg,Sweden,31,2,0.04,22.4,22.9,19.8,-3.3,1.17,1.2,0
Gothenburg,Sweden,31,1,0.04,22.4,22.5,19.7,-3.3,0.95,1.6,0
Gothenburg,Sweden,31,1,0.05,22.6,23.3,19.4,-3.3,1.02,1.2,1
Gothenburg,Sweden,31,1,0.04,22.1,22.8,20.1,-3.3,1.1,1.3,-1
Gothenburg,Sweden,31,1,0.04,22.6,23.3,18.7,-3.3,1.03,1.2,0
Gothenburg,Sweden,31,1,0.04,21.4,21.6,18.2,-0.5,0.87,1.2,0
Gothenburg,Sweden,31,2,0.04,21.7,22,19.3,-0.5,0.97,1.2,-1
Gothenburg,Sweden,31,1,0.09,22,21.9,19.6,-0.5,0.82,1.7,0
Gothenburg,Sweden,31,1,0.03,22.1,22.1,19.5,-0.5,0.97,1.4,0
Gothenburg,Sweden,31,2,0.04,22.4,23,18,-0.5,0.98,1.2,0
Gothenburg,Sweden,31,1,0.07,21.6,21.7,29.7,-0.5,1.03,1.2,0
Gothenburg,Sweden,31,1,0.04,21.3,21.3,18.7,-0.5,0.93,1.2,0
Gothenburg,Sweden,31,1,0.03,22.1,22.6,18.5,-0.5,1.03,1.2,0
Gothenburg,Sweden,31,2,0.08,21.5,21.8,17.3,-0.5,1.06,1.2,-2
Gothenburg,Sweden,31,2,0.05,21.9,21.8,18.2,-0.5,0.93,1.2,0
Gothenburg,Sweden,31,1,0.03,21.7,22,20.1,-0.5,0.74,2,0
Gothenburg,Sweden,31,1,0.03,21.4,22.2,19,-0.5,0.82,1.2,-1
Gothenburg,Sweden,31,1,0.06,21.9,21.7,17.9,-0.5,0.93,1.2,0
Gothenburg,Sweden,31,2,0.04,21.7,22.4,14.7,-0.5,0.88,1.8,0
Gothenburg,Sweden,31,2,0.04,21.9,21.9,17.1,-0.5,1.1,1.2,0
Gothenburg,Sweden,31,1,0.09,22.6,23,29.3,4.6,0.73,1.2,0
Gothenburg,Sweden,31,2,0.04,22.9,23.3,29.3,4.6,1,1.2,1
Gothenburg,Sweden,31,2,0.04,22.4,22.5,30.8,4.6,0.72,1.2,0
Gothenburg,Sweden,31,1,0.05,22.9,23.7,29.6,4.6,1.04,1.2,0
Gothenburg,Sweden,31,1,0.06,23,23.4,28.5,4.6,1.03,1.2,0
Gothenburg,Sweden,31,1,0.03,22.7,23.1,30,4.6,1.03,1.2,0
Gothenburg,Sweden,31,2,0.03,23.2,23.7,28.8,4.6,0.83,1.7,1
Gothenburg,Sweden,31,1,0.03,22.3,22.8,30.6,4.6,1.15,1.2,0
Gothenburg,Sweden,31,1,0.04,23.4,23.7,28.2,4.6,0.82,1.2,1
Gothenburg,Sweden,31,1,0.04,23.2,23.1,28.7,4.6,1.38,1.2,1
Gothenburg,Sweden,31,2,0.03,23,23.5,28.8,4.6,0.8,1.2,-1
Gothenburg,Sweden,31,1,0.12,23.2,23.9,28.9,4.6,0.73,1.4,0
Gothenburg,Sweden,31,1,0.03,22.7,22.9,29.5,4.6,0.85,1.3,0
Gothenburg,Sweden,31,1,0.03,22.9,23.3,30,4.6,0.82,1.2,0
Gothenburg,Sweden,31,1,0.04,23.8,23.8,27.2,4.6,0.68,1.2,0
Gothenburg,Sweden,31,1,0.13,23.3,24.6,28.1,4.6,0.91,1.2,0
Gothenburg,Sweden,31,1,0.03,22.1,22.2,31.9,4.6,0.94,1.2,-2
Gothenburg,Sweden,31,1,0.04,22.2,22.6,31,4.6,1.03,1.2,0
Gothenburg,Sweden,31,2,0.05,22.2,22.6,30.1,4.6,0.94,1.2,0
Gothenburg,Sweden,31,2,0.08,23.1,23.1,27.9,4.6,0.58,1.4,0
Gothenburg,Sweden,31,1,0.09,23.3,23.1,28.4,4.6,1.03,1.2,0
Gothenburg,Sweden,31,1,0.06,23.1,23.5,28.2,4.6,0.65,1.2,-1
Gothenburg,Sweden,31,1,0.02,22.4,22.5,30.3,4.6,0.73,1.2,0
Gothenburg,Sweden,31,1,0.02,22.5,22.8,30.2,4.6,1.03,1.2,0
Gothenburg,Sweden,31,1,0.04,23.6,23.5,28.7,4.6,0.82,1.2,2
Gothenburg,Sweden,31,2,0.04,23.5,24,26.7,4.6,0.63,1.9,0
