City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
Bangkok,Thailand,37,1,0.14,23.8,24.9,62,13.3,0.65,1.1,0
Bangkok,Thailand,26,1,0.09,24.3,25.4,61.3,13.3,0.56,1.1,1
Bangkok,Thailand,26,1,0.24,23.5,25,62,13.3,0.56,1.1,1
Bangkok,Thailand,37,1,0.12,23.6,24.6,61.4,13.3,0.65,1.1,1
Bangkok,Thailand,31,1,0.11,24.5,25.7,58.3,13.3,0.56,1.1,1
Bangkok,Thailand,39,1,0.12,24.9,25.8,57,13.3,0.56,1.1,1
Bangkok,Thailand,27,2,0.12,24.3,24.7,60.6,13.3,0.69,1.1,-1
Bangkok,Thailand,51,1,0.15,23.9,24.4,60,13.3,0.84,1.1,1
Bangkok,Thailand,75,1,0.1,24.4,24.7,59.1,13.3,0.65,1.1,-2
Bangkok,Thailand,31,2,0.1,24.6,25.2,59.3,13.3,0.47,1.1,1
Bangkok,Thailand,28,2,0.11,24.6,25.5,58.4,13.3,0.88,1.1,0
Bangkok,Thailand,31,2,0.11,24.9,25.7,58,13.3,0.63,1.1,0
Bangkok,Thailand,34,2,0.11,24.9,25.7,57.6,13.3,0.41,1.1,0
Bangkok,Thailand,31,1,0.11,23.8,24.9,58.4,13.3,0.61,1.1,0
Bangkok,Thailand,37,1,0.1,23,24.2,58.9,13.3,0.61,1.1,0
Bangkok,Thailand,31,1,0.11,23.1,24.3,58.9,13.3,0.61,1.1,1
Bangkok,Thailand,30,1,0.14,24.6,25.3,59.6,13.3,0.61,1.1,1
Bangkok,Thailand,26,1,0.11,25.1,25.6,59.2,13.3,0.61,1.1,0
Bangkok,Thailand,38,1,0.1,24.9,25.8,58.3,13.3,0.65,1.1,-1
Bangkok,Thailand,24,2,0.14,25.3,26.3,58.8,13.3,0.51,1.1,1
Bangkok,Thailand,28,2,0.12,24.7,25.7,58.4,13.3,0.66,1.1,1
Bangkok,Thailand,36,2,0.13,24.3,25.1,59.9,13.3,0.55,1.1,2
Bangkok,Thailand,53,1,0.15,24,25,60.2,13.3,0.84,1.1,0
Bangkok,Thailand,29,1,0.11,24.2,25,59.8,13.3,0.56,1.1,0
Bangkok,Thailand,35,1,0.13,24.2,25.2,59.4,13.3,0.56,1.1,0
Bangkok,Thailand,52,1,0.14,23.8,25.2,59.7,13.3,0.65,1.1,-1
Bangkok,Thailand,34,2,0.15,24.8,25.6,63.8,13.3,0.34,1.1,0
Bangkok,Thailand,32,1,0.17,25.8,26.7,64.8,13.3,0.56,1.1,1
Bangkok,Thailand,29,1,0.12,24.9,26,63.6,13.3,0.65,1.1,1
Bangkok,Thailand,24,2,0.13,24.7,25.4,61.9,13.3,0.63,1.1,1
Bangkok,Thailand,28,2,0.17,23.9,25,61.2,13.3,0.64,1.1,0
Bangkok,Thailand,28,1,0.17,23.5,24.5,61,13.3,0.65,1.1,0
Bangkok,Thailand,26,1,0.21,23.3,24.2,61.6,13.3,0.56,1.1,0
Bangkok,Thailand,54,1,0.11,23.6,24.4,62.4,13.3,0.56,1.1,-1
Bangkok,Thailand,24,2,0.15,24.1,25,61.7,13.3,0.55,1.1,1
Bangkok,Thailand,29,2,0.12,23.7,24.7,57,13.3,0.55,1.1,-1
Bangkok,Thailand,23,2,0.13,23.6,24.4,57.1,13.3,0.34,1.1,1
Bangkok,Thailand,27,2,0.13,23.7,24.2,56.6,13.3,0.34,1.1,-1
Bangkok,Thailand,25,2,0.15,23.1,24.1,57.1,13.3,0.46,1.1,0
Bangkok,Thailand,27,1,0.11,23.1,23.7,56.9,13.3,0.56,1.1,0
Bangkok,Thailand,23,2,0.12,23,23.5,57.1,13.3,0.46,1.1,0
Bangkok,Thailand,25,2,0.11,22.5,23.1,57.1,13.3,0.63,1.1,0
Bangkok,Thailand,31,1,0.15,22,22.9,57.9,13.3,0.65,1.1,0
Bangkok,Thailand,38,2,0.13,21.6,22.7,58.2,13.3,0.41,1.1,0
Bangkok,Thailand,21,2,0.1,22.3,22.9,58,13.3,0.57,1.1,0
Bangkok,Thailand,21,2,0.13,22.6,23.4,57.8,13.3,0.68,1.1,0
Bangkok,Thailand,31,1,0.12,22.2,23.2,56.8,13.3,0.65,1.1,0
Bangkok,Thailand,46,1,0.16,21.8,23,56.7,13.3,0.65,1.1,-2
Bangkok,Thailand,28,1,0.15,21.5,22.6,57.5,13.3,0.56,1.1,-1
Bangkok,Thailand,26,2,0.13,21.7,22.8,57.1,13.3,0.34,1.1,0
Bangkok,Thailand,29,1,0.11,21.7,22.9,57.7,13.3,0.56,1.1,0
Bangkok,Thailand,29,2,0.1,22.3,23.2,56.9,13.3,0.96,1.1,-2
Bangkok,Thailand,44,2,0.12,24.5,25.7,37.7,13.3,0.46,1.1,1
Bangkok,Thailand,30,2,0.11,24.5,25.9,36.6,13.3,0.59,1.1,0
Bangkok,Thailand,26,2,0.11,24.6,25.8,36.5,13.3,0.55,1.1,0
Bangkok,Thailand,24,1,0.11,24.5,25.3,36.5,13.3,0.56,1.1,0
Bangkok,Thailand,27,2,0.21,23.3,24.5,37.3,13.3,0.57,1.1,-1
Bangkok,Thailand,22,1,0.15,22.6,23.8,37.8,13.3,0.56,1.1,-1
Bangkok,Thailand,25,2,0.11,22.8,24,37.6,13.3,0.67,1.1,0
Bangkok,Thailand,31,1,0.15,23.2,24.6,37,13.3,0.56,1.1,0
Bangkok,Thailand,26,1,0.1,23.6,24.7,36.6,13.3,0.56,1.1,1
Bangkok,Thailand,27,1,0.13,23.6,24.3,36.3,13.3,0.56,1.1,0
Bangkok,Thailand,28,2,0.12,23.7,24.5,35.6,13.3,0.46,1.1,0
Bangkok,Thailand,25,1,0.11,23.4,24.6,35.4,13.3,0.56,1.1,1
Bangkok,Thailand,22,1,0.11,23.4,24.7,35.2,13.3,0.65,1.1,0
Bangkok,Thailand,28,1,0.14,23.5,24.6,35.1,13.3,0.56,1.1,0
Bangkok,Thailand,30,2,0.12,23.3,24.4,35.3,13.3,0.47,1.1,-1
Bangkok,Thailand,35,2,0.15,22.8,24.1,35.3,13.3,0.43,1.1,-1
Bangkok,Thailand,36,2,0.12,22.5,23.6,35.5,13.3,0.55,1.1,1
Bangkok,Thailand,24,1,0.12,22.8,23.8,35.3,13.3,0.56,1.1,0
Bangkok,Thailand,38,2,0.11,22.8,23.7,35.4,13.3,0.38,1.1,0
Bangkok,Thailand,26,1,0.12,21,21.9,47,13.3,1.14,1.1,-1
Bangkok,Thailand,28,1,0.11,21.4,22.8,44.5,13.3,0.56,1.1,-1
Bangkok,Thailand,27,1,0.1,21.3,23,44,13.3,1.14,1.1,-2
Bangkok,Thailand,26,1,0.1,21.1,22.7,44.3,13.3,1.14,1.1,-1
Bangkok,Thailand,29,1,0.12,20.9,22.4,45.1,13.3,0.45,1.1,-1
Bangkok,Thailand,29,2,0.15,20.9,21.9,45.7,13.3,0.8,1.1,-2
Bangkok,Thailand,28,2,0.14,20,21,47.1,13.3,0.72,1.1,-1
Bangkok,Thailand,27,1,0.11,19.5,20.5,48.5,13.3,0.99,1.1,0
Bangkok,Thailand,26,1,0.11,24.6,25.7,39.8,13.3,0.51,1.1,1
Bangkok,Thailand,27,2,0.25,25.1,25.7,38.1,13.3,0.85,1.1,0
Bangkok,Thailand,22,2,0.19,25.1,25.2,37.6,13.3,0.43,1.1,-1
Bangkok,Thailand,27,2,0.25,24.8,24.8,37.6,13.3,0.51,1.1,-1
Bangkok,Thailand,26,2,0.1,22.2,23.2,38.4,13.3,0.34,1.1,0
Bangkok,Thailand,34,1,0.11,22.8,23.7,37.4,13.3,0.56,1.1,-1
Bangkok,Thailand,29,1,0.11,23,23.9,37.1,13.3,0.56,1.1,0
Bangkok,Thailand,35,2,0.14,22.3,23.6,36.9,13.3,0.43,1.1,0
Bangkok,Thailand,38,1,0.11,21.6,22.8,37.4,13.3,0.65,1.1,-1
Bangkok,Thailand,35,1,0.12,21.7,22.9,37.3,13.3,0.51,1.1,0
Bangkok,Thailand,24,1,0.11,22.2,23.3,36.6,13.3,0.6,1.1,-1
Bangkok,Thailand,31,2,0.13,22.4,23.6,36.3,13.3,0.46,1.1,1
Bangkok,Thailand,28,1,0.12,22.2,23.3,36.1,13.3,0.65,1.1,0
Bangkok,Thailand,24,2,0.13,22.5,23.4,35.9,13.3,0.55,1.1,-1
Bangkok,Thailand,29,2,0.11,21.9,23.2,36,13.3,0.67,1.1,0
Bangkok,Thailand,33,2,0.12,21.9,23,35.8,13.3,0.56,1.1,0
Bangkok,Thailand,29,2,0.11,22.2,23.1,35.6,13.3,0.8,1.1,-1
