City,Country,Age,Sex,Air velocity (m/s),Air temperature (??C),Radiant temperature (??C),Relative humidity (%),Outdoor monthly air temperature (??C),Clo,Met,Thermal sensation
San Francisco,USA,31,2,0.05,23,23.1,44.7,13.3,0.69,1.2,1
San Francisco,USA,31,2,0.09,23.5,23.6,43.5,13.3,0.58,1,1
San Francisco,USA,31,2,0.05,23.2,23.1,44.1,13.3,0.31,1.2,1
San Francisco,USA,31,2,0.06,23.2,23.2,44.1,13.3,0.77,1,1
San Francisco,USA,31,1,0.1,22.7,22.8,45,13.3,0.68,1,0
San Francisco,USA,31,2,0.07,22.7,22.8,44.9,13.3,0.89,1.2,0
San Francisco,USA,31,1,0.06,22.8,22.8,44.8,13.3,0.92,1.2,0
San Francisco,USA,31,2,0.06,23,23,44.5,13.3,0.78,1.2,1
San Francisco,USA,31,2,0.05,23,23,44.5,13.3,0.41,1.2,2
San Francisco,USA,31,1,0.1,22.9,23.1,44.4,13.3,0.57,1,0
San Francisco,USA,31,2,0.04,22.6,22.8,45.2,13.3,0.62,1.2,1
San Francisco,USA,31,2,0.07,22.9,23,44.5,13.3,0.52,1.2,1
San Francisco,USA,31,2,0.06,23.1,23.2,43.9,13.3,0.59,1.2,-1
San Francisco,USA,31,2,0.05,22.9,23,44.5,13.3,0.48,1.4,1
San Francisco,USA,31,2,0.05,23,23.1,44.5,13.3,0.72,1.2,1
San Francisco,USA,31,2,0.07,23,23.2,44.5,13.3,1.04,1.2,1
San Francisco,USA,31,2,0.07,23.1,23.2,44.3,13.3,0.53,1,2
San Francisco,USA,31,1,0.05,22.9,22.8,45.1,13.3,0.62,1,0
San Francisco,USA,31,1,0.06,22.9,23,44.7,13.3,0.98,1,0
San Francisco,USA,31,1,0.05,22.9,23.1,45.5,13.3,0.79,1,0
San Francisco,USA,31,2,0.04,23.1,23.1,45.6,13.3,0.73,1,0
San Francisco,USA,31,2,0.05,23.2,23.4,45.9,13.3,0.93,1.2,0
San Francisco,USA,31,2,0.08,23.7,23.8,44.9,13.3,1,1,1
San Francisco,USA,31,2,0.08,23.7,23.8,44.9,13.3,0.93,1.2,0
San Francisco,USA,31,1,0.08,23.7,23.7,45.1,13.3,0.62,1,2
San Francisco,USA,31,1,0.05,23.6,23.8,45.2,13.3,0.78,1.2,1
San Francisco,USA,31,2,0.05,23,23.2,46.5,13.3,0.68,1.4,-1
