Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation
23.5,65.5,0.08,26,-2
29.6,55.4,0.29,26,-2
26.1,70.8,0.6,26,-2
28.4,61.5,0.24,26,-2
26.8,56.5,0.22,26,-2
22.6,57.7,0.03,26,-2
22.5,53.5,0.05,26,-2
22.1,45.6,0.02,26,-2
23.3,36.5,0.06,26,-2
20.9,42.6,0.05,26,-2
22.1,46.9,0.04,26,-2
24.4,37.6,0.03,26,-2
22.1,52.3,0.04,26,-2
22.1,52.3,0.08,26,-2
22,53.6,0.04,26,-2
22.4,46,0.02,26,-2
21.4,50.1,0.07,26,-2
23.8,45.2,0.01,26,-2
19.8,50.2,0.09,26,-2
24.3,38.6,0.18,26,-2
24,40,0.04,26,-2
23,53.3,0.05,26,-2
22.3,43.9,0.03,26,-2
24.3,40.4,0.02,26,-2
23.2,39.5,0.02,26,-2
23.2,49.6,0.14,26,-2
23.5,42.3,0.12,26,-2
24,59,0.03,26,-2
23.7,45.7,0.06,-2,-2
20.9,49.5,0.1,-2,-2
24.4,39.9,0.08,-2,-2
24,41.8,0.12,-2,-2
23.4,49.2,0.08,-2,-2
23.7,57.4,0.01,-2,-2
21.2,59.1,1.2,-2,-2
23.4,52.5,0.08,-2,-2
20.1,52.1,0.06,-2,-2
25.7,56.1,0.24,-2,-2
22,54.3,0.09,-2,-2
21.8,57.6,0.14,-2,-2
21.8,62.6,0.05,-2,-2
23.5,48.7,0.12,-2,-2
22.1,49.6,0.23,-2,-2
23.5,50,0.11,-2,-2
22,61.4,0.28,-2,-2
23,58.8,0.15,-2,-2
21.5,61.6,0.26,-2,-2
23.4,49.2,0.03,26,-2
22.2,64.4,0.24,26,-2
22.2,57.3,0.2,26,-2
21.6,58.1,0.2,26,-2
21.8,53.4,0.1,26,-2
23.6,54.7,0.12,26,-2
22.7,54.4,0.14,26,-2
22.4,52,0.07,26,-2
27,61.6,1.11,25.9,-2
22.5,53.5,0.22,25.9,-2
22.1,51,0.14,25.9,-2
22,59.9,0.13,25.9,-2
21.9,52.8,0.15,25.9,-2
23.5,57.9,0.15,25.9,-2
21.9,55.6,0.13,25.9,-2
21.7,45.7,0.06,25.9,-2
21.2,49.2,0.11,25.9,-2
22.5,30.4,0.17,25.9,-2
21,42.1,0.06,25.9,-2
22.8,47.2,0.12,25.9,-2
22.2,53.1,0.06,25.9,-2
23.3,30,0.28,25.9,-2
20.5,42.7,0.1,25.9,-2
22.3,41.3,0.25,25.9,-2
22.2,37.3,0.14,25.9,-2
22.7,41.9,0.12,25.9,-2
23.7,16.6,0.07,25.9,-2
23.1,16.5,0.07,25.9,-2
21.8,16.2,0.04,25.9,-2
24,16.8,0.02,25.9,-2
24.4,16.8,0.07,25.9,-2
19.9,44.8,0.01,25.9,-2
19.7,57.2,0,25.9,-2
23.4,70.9,0.01,25.9,-2
21.3,74,0.01,25.9,-2
23,75.2,0,25.9,-2
20.9,43.5,0.3,25.9,-2
24.5,63,0,25.9,-2
28.8,71.7,0.56,25.9,-2
27.9,66.2,0.06,25.9,-2
25.1,77,0.32,25.9,-2
25.3,64.4,0.03,25.9,-2
28.3,53.1,0.01,25.9,-2
25.8,63.1,0.27,25.9,-2
26.6,58.8,0.25,25.9,-2
30,47.3,0.09,25.9,-2
30.8,45.3,0.14,25.9,-2
31.2,42.1,0.06,25.9,-2
28.7,61,0.12,25.9,-2
27.1,52.7,0.04,25.9,-2
27.4,53.2,0.32,25.9,-2
30.1,38.7,0.27,25.9,-2
29.3,36.2,0.09,25.9,-2
24.5,61,0.24,25.9,-2
26.7,56.5,0.05,25.9,-2
25.8,44.8,0.32,25.9,-2
24.3,22.9,0.07,25.9,-2
25.3,22.9,0.03,25.9,-2
