Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,Radiant temperature (¡C),Age,Sex,Clo,Met
23.72,61.78,0.03,28,0,23.72,32,2,0.22,1.6
24.07,54.12,0.03,32,0,24.07,32,2,0.52,1.05
23.29,49.11,0.03,27,-1,23.29,32,2,0.44,1.6
23.55,48.59,0.03,28,0,23.55,32,2,0.34,1.05
23.81,48.6,0.03,29,0,23.81,32,2,0.34,1.05
23.55,57.74,0.03,27,-1,23.55,32,2,0.31,1.6
23.98,55.62,0.03,31,0,23.98,32,2,0.56,1
24.07,53.04,0.03,30,1,24.07,32,2,0.56,1.05
23.38,59.72,0.03,28,1,23.38,32,2,0.31,1.6
24.07,55.84,0.03,31,0,24.07,32,2,0.56,1.05
24.07,54.1,0.03,32,1,24.07,32,2,0.31,1.05
23.72,61.36,0.03,26,1,23.72,32,2,0.32,1.6
23.89,56.25,0.03,26,0,23.89,32,2,0.34,1.05
23.98,52.84,0.03,28,1,23.98,32,2,0.34,1.05
23.2,52.82,0.03,26,1,23.2,32,2,0.34,1.6
23.89,50.05,0.03,29,-1,23.89,32,2,0.59,1.05
23.2,53.72,0.03,24,0,23.2,32,2,0.4,1.6
24.07,51,0.03,24,1,24.07,32,2,0.4,1.367
23.98,49.25,0.03,24,0,23.98,32,2,0.4,1.05
23.03,55.63,0.03,27,0,23.03,32,2,0.31,1.6
24.07,51.6,0.03,28,-1,24.07,32,2,0.31,1.05
23.03,52.4,0.03,25,1,23.03,32,2,0.34,1.6
23.38,50.52,0.03,28,-1,23.38,32,2,0.34,1.05
24.07,47.17,0.03,30,0,24.07,32,2,0.34,1.05
23.72,55.58,0.03,27,0,23.72,32,2,0.32,1.6
23.72,53.26,0.03,31,-1,23.72,32,2,0.57,1.267
24.76,43.65,0.03,21,0,24.76,32,2,0.33,1.05
23.38,41.16,0.03,21,0,23.38,32,2,0.33,1.1
21.13,44.06,0.03,8,0,21.13,32,2,0.61,2
22.69,39.83,0.03,9,-2,22.69,32,2,0.86,1.033
22.69,35.52,0.03,10,0,22.69,32,2,0.86,1.05
20.95,40.92,0.03,9,1,20.95,32,2,0.88,1
22.94,35.81,0.03,11,0,22.94,32,2,0.88,1.05
23.03,34.08,0.03,10,1,23.03,32,2,0.88,1.033
21.65,38.36,0.03,8,0,21.65,32,2,0.8,1.9
22.94,35.38,0.03,10,-1,22.94,32,2,0.8,1.067
23.72,32.39,0.03,9,1,23.72,32,2,0.8,1.275
22.69,26.8,0.03,6,-2,22.69,32,2,0.85,1.15
23.03,26.86,0.03,7,0,23.03,32,2,0.75,1.067
19.92,29.06,0.03,3,0,19.92,32,2,0.77,1.9
21.99,24.17,0.03,6.277778,0,21.99,32,2,0.77,1.175
22.43,25.25,0.03,7,0,22.43,32,2,0.67,1.033
20.95,28.93,0.03,4,0,20.95,32,2,0.69,1.9
21.3,26.41,0.03,3,-2,21.3,32,2,0.79,1.275
21.82,26.82,0.03,3,0,21.82,32,2,0.79,1.15
19.92,30.75,0.03,6,0,19.92,32,2,0.76,1.9
22.69,23.26,0.03,9,1,22.69,32,2,0.76,1.033
23.29,25.68,0.03,11,1,23.29,32,2,0.76,1.15
23.38,43.1,0.03,21,1,23.38,32,2,0.73,1.067
22.34,42.21,0.03,20,0,22.34,32,2,0.73,1.067
22.34,41.42,0.03,7,-1,22.34,32,2,0.59,1.375
23.03,33.19,0.03,9,-1,23.03,32,2,0.59,1.067
20.61,30.2,0.03,4,0,20.61,32,2,0.65,1.5
22.34,26.72,0.03,9,-1,22.34,32,2,0.65,1.5
22.69,30.18,0.03,10,0,22.69,32,2,0.65,1.2
21.3,29.99,0.03,6,-1,21.3,32,2,0.62,1.9
21.99,26.58,0.03,8,0,21.99,32,2,0.87,1.067
22.34,26.91,0.03,10,0,22.34,32,2,0.87,1.2
21.13,21.31,0.03,-1,1,21.13,32,2,0.71,1.6
