Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,Radiant temperature (¡C),Age,Sex
22.3,29,0.1,38,-1,23.1,1,2
22.3,29,0.1,38,-1,23.1,2,2
22.3,29,0.1,38,-2,23.1,1,2
22.3,29,0.1,38,0,23.1,1,1
22.3,29,0.1,38,0,23.1,2,2
22.3,29,0.1,38,0,23.1,2,1
22.3,29,0.1,38,1,23.1,2,1
22.3,29,0.1,38,-1,23.1,2,1
22.3,29,0.1,38,1,23.1,1,1
22.3,29,0.1,38,-2,23.1,2,2
22.3,29,0.1,38,-1,23.1,1,1
22.975,29,0.1,38,-1,23.1,2,1
22.975,29,0.1,38,0,23.1,2,1
22.975,29,0.1,38,0,23.1,1,2
22.975,29,0.1,38,-1,23.1,1,2
22.975,29,0.1,38,0,23.1,2,2
22.975,29,0.1,38,-1,23.1,1,1
22.975,29,0.1,38,1,23.1,2,1
22.975,29,0.1,38,0,23.1,1,1
22.975,29,0.1,38,-1,23.1,2,2
22.65,21.5,0.1,40,0,23.1,1,1
22.65,21.5,0.1,40,-1,23.1,2,1
22.65,21.5,0.1,40,-1,23.1,1,1
22.65,21.5,0.1,40,-1,23.1,1,2
22.65,21.5,0.1,40,-2,23.1,2,1
22.65,21.5,0.1,40,0,23.1,2,1
22.65,21.5,0.1,40,0,23.1,1,2
22.65,21.5,0.1,40,-1,23.1,2,2
22.65,21.5,0.1,40,-2,23.1,3,2
23.7,49,0.1,26.8,0,23.1,1,1
23.7,49,0.1,26.8,0,23.1,2,2
23.7,49,0.1,26.8,1,23.1,2,1
23.7,49,0.1,26.8,-1,23.1,2,1
23.7,49,0.1,26.8,-1,23.1,1,1
23.7,49,0.1,26.8,1,23.1,1,1
23.7,49,0.1,26.8,0,23.1,2,1
23.7,49,0.1,26.8,0,23.1,1,2
23.7,49,0.1,26.8,1,23.1,2,2
23.9,42,0.1,29.8,0,23.1,1,2
23.9,42,0.1,29.8,0,23.1,2,2
23.9,42,0.1,29.8,-1,23.1,2,1
23.9,42,0.1,29.8,0,23.1,1,1
23.9,42,0.1,29.8,0,23.1,2,1
23.9,42,0.1,29.8,-1,23.1,2,2
23.9,42,0.1,29.8,-1,23.1,1,2
23.9,42,0.1,29.8,1,23.1,1,1
23.7,37,0.1,27.2,0,23.1,1,1
23.7,37,0.1,27.2,-1,23.1,2,2
23.7,37,0.1,27.2,-1,23.1,2,1
23.7,37,0.1,27.2,0,23.1,2,1
23.7,37,0.1,27.2,-1,23.1,1,1
23.7,37,0.1,27.2,0,23.1,1,2
23.7,37,0.1,27.2,0,23.1,2,2
23.7,37,0.1,27.2,-1,23.1,3,2
23.7,37,0.1,27.2,1,23.1,1,1
23.7,37,0.1,27.2,0,23.1,3,1
23.7,37,0.1,27.2,-1,23.1,1,2
23.7,37,0.1,27.2,-2,23.1,1,2
23.7,0.72,0.1,13.9,-1,23.1,2,2
23.7,0.72,0.1,13.9,-1,23.1,1,2
23.7,0.72,0.1,13.9,2,23.1,1,2
23.7,0.72,0.1,13.9,0,23.1,1,2
23.7,0.72,0.1,13.9,-1,23.1,2,1
23.7,0.72,0.1,13.9,-1,23.1,1,1
23.7,0.72,0.1,13.9,-1,23.1,3,1
23.7,0.72,0.1,13.9,0,23.1,4,2
23.7,0.72,0.1,13.9,1,23.1,1,2
23.7,0.72,0.1,13.9,0,23.1,1,1
23.7,0.72,0.1,13.9,0,23.1,2,1
23.7,0.72,0.1,13.9,2,23.1,1,1
23.7,0.72,0.1,13.9,0,23.1,2,2
23.7,0.72,0.1,13.9,-2,23.1,1,2
23.7,0.72,0.1,13.9,1,23.1,1,1
17.4,60,0.1,12.8,-1,23.1,2,2
17.4,60,0.1,12.8,0,23.1,2,2
17.4,60,0.1,12.8,-1,23.1,3,1
17.4,60,0.1,12.8,-1,23.1,2,1
17.4,60,0.1,12.8,1,23.1,2,1
17.4,60,0.1,12.8,-1,23.1,3,2
17.4,60,0.1,12.8,0,23.1,6,2
17.4,60,0.1,12.8,0,23.1,2,1
17.4,60,0.1,12.8,-1,23.1,4,2
17.4,60,0.1,12.8,0,23.1,3,2
17.4,60,0.1,12.8,0,23.1,4,2
17.4,60,0.1,12.8,0,23.1,5,1
17.4,60,0.1,12.8,-1,23.1,5,2
17.4,60,0.1,12.8,0,23.1,3,1
17.4,60,0.1,12.8,-1,23.1,4,1
17.4,60,0.1,12.8,1,23.1,2,2
23.7,65,0.1,25.6,0,23.1,2,2
23.7,65,0.1,25.6,-1,23.1,2,2
23.7,65,0.1,25.6,0,23.1,1,2
23.7,65,0.1,25.6,0,23.1,1,1
23.7,65,0.1,25.6,0,23.1,2,1
23.7,65,0.1,25.6,-1,23.1,2,1
23.7,65,0.1,25.6,1,23.1,1,1
23.7,56,0.1,28.4,0,23.1,5,1
23.7,56,0.1,28.4,2,23.1,3,1
23.7,56,0.1,28.4,0,23.1,3,1
23.7,56,0.1,28.4,0,23.1,2,2
23.7,56,0.1,28.4,0,23.1,2,1
23.7,56,0.1,28.4,0,23.1,3,2
23.7,56,0.1,28.4,1,23.1,3,2
23.7,56,0.1,28.4,1,23.1,6,2
23.7,56,0.1,28.4,2,23.1,3,2
23.7,56,0.1,28.4,1,23.1,3,1
