Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,PMV,PPD,SET,Clo,Met
23.8,40,0.09,32.8,-2,-0.4,8,23.8,0.61,1.1
23.8,43.8,0.32,32.8,-2,-0.3,6,24.31,0.79,1.1
24.3,37.6,0.09,28.9,-2,-0.4,8,23.95,0.61,1.1
24.4,43.5,0.14,28.9,-2,-0.7,14,23.64,0.61,1
24.1,38.1,0.12,28.9,-2,-0.5,11,23.65,0.61,1.1
23.9,39.2,0.13,28.9,-2,-0.6,14,23.46,0.61,1.1
23.8,39.2,0.12,28.9,-2,-0.6,13,23.42,0.61,1.1
24.3,38,0.11,28.9,-2,0.4,8,26.69,0.61,1.5
23.7,38.3,0.11,28.9,-2,-0.8,18,23.13,0.61,1
24.1,38,0.14,28.9,-2,-0.8,17,23.11,0.57,1.1
24.3,38.5,0.12,28.9,-2,-0.5,10,23.82,0.61,1.1
24,38.4,0.12,28.9,-2,-0.7,15,23.45,0.61,1
24.1,39.5,0.14,28.9,-2,-0.6,13,23.56,0.61,1.1
25.2,64,0.1,30.8,-2,0.3,7,26.48,0.75,1
25.2,64,0.1,30.8,-2,0.1,5,25.65,0.64,1
25.2,64,0.1,30.8,-2,0.3,7,26.48,0.75,1
26.9,59,0.21,30.8,-2,0.4,8,26.57,0.7,1
26.9,59,0.21,30.8,-2,0.4,8,26.57,0.7,1
26.8,48,0.01,30.8,-2,0.9,21,28.36,0.9,1
26.8,48,0.01,30.8,-2,0.5,11,26.71,0.64,1
26.3,49,0.25,30.8,-2,0.2,6,25.96,0.84,1
25.2,43,0.02,30.8,-2,0.1,5,25.72,0.75,1
25.2,43,0.02,30.8,-2,0.1,5,25.72,0.75,1
25.2,43,0.02,30.8,-2,0.1,5,25.72,0.75,1
26.7,67,0.17,30.8,-2,0.4,8,26.84,0.64,1
26.3,51,0.11,30.8,-2,0.5,11,27.4,0.82,1
26.3,51,0.11,30.8,-2,0.3,7,26.47,0.68,1
26.3,51,0.11,30.8,-2,0.2,6,26.06,0.62,1
26.2,56,0.6,30.8,-2,-0.2,6,24.23,0.68,1
28.2,48,0.16,30.8,-2,0.8,19,27.88,0.7,1
25.8,66,0.16,30.8,-2,0.2,6,26.24,0.62,1
24.6,46,0.02,30.8,-2,0.2,6,26.12,0.75,1
24.6,46,0.02,30.8,-2,0.4,8,26.69,0.84,1
28.8,59,1.3,30.8,-2,1.1,30,27.77,0.97,1
26,54,0.12,30.8,-2,0.4,8,26.76,0.7,1
24.8,53,0.01,30.8,-2,-0.1,5,24.96,0.64,1
25.1,50,0.22,30.8,-2,0.3,7,26.53,0.84,1
25.1,50,0.22,30.8,-2,0,5,25.62,0.7,1
25.2,50,0.09,30.8,-2,0.6,14,27.92,0.97,1
25.7,50,0.01,30.8,-2,0.4,8,26.44,0.75,1
25.7,50,0.02,30.8,-2,0.4,9,26.57,0.7,1
27.1,42,0.08,30.4,-2,0.6,12,26.93,0.72,1
27,43,0.14,30.4,-2,0.8,19,28.23,0.72,1
27,43,0.14,30.4,-2,0.8,17,28,0.68,1
25.8,45,0,30.4,-2,0.2,6,25.62,0.75,1
24.2,48,0,30.4,-2,-0.3,7,24.23,0.66,1
26.2,41,0.15,30.4,-2,-0.4,8,24.07,0.64,1
28.6,44,0.21,30.4,-2,0.6,12,26.7,0.72,1
23.6,50,0.12,30.4,-2,-0.2,6,25.14,0.74,1
23.6,50,0.12,30.4,-2,-0.2,6,25.14,0.74,1
23.6,50,0.12,30.4,-2,-0.4,8,24.44,0.64,1
26.9,47,0.22,30.4,-2,0.4,8,26.26,0.62,1
26.9,47,0.22,30.4,-2,0.4,8,26.26,0.62,1
26.9,47,0.22,30.4,-2,0.5,10,26.65,0.68,1
26.9,47,0.22,30.4,-2,0.4,8,26.26,0.62,1
26.9,47,0.22,30.4,-2,0.4,8,26.26,0.62,1
26.9,47,0.22,30.4,-2,0.5,10,26.65,0.68,1
24.9,47,0.1,30.4,-2,0.4,9,26.92,0.75,1
28,47,0.44,30.4,-2,0.8,20,27.01,0.66,1
28,47,0.44,30.4,-2,0.9,23,27.4,0.72,1
28,47,0.44,30.4,-2,0.9,23,27.4,0.72,1
23.2,69,1.08,30.4,-2,-1.3,39,21.84,0.64,1
23.2,69,1.08,30.4,-2,-1.3,39,21.84,0.64,1
23.2,69,1.08,30.4,-2,-0.6,13,23.5,0.84,1
