,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Outdoor monthly air temperature (¡C),Thermal sensation,PMV,PPD,SET,Clo,Met
67966,23.8,23.9,0.07,21.3,-2.0,-1.9,72.0,17.26,0.89,1.1
67967,23.8,24.1,0.08,21.3,-2.0,-2.2,85.0,16.25,0.71,1.1
67970,22.9,32.8,0.02,21.3,-2.0,0.2,6.0,26.47,1.11,1.1
67975,22.8,27.6,0.03,21.3,-2.0,0.2,6.0,26.36,1.16,1.1
67984,22.5,28.7,0.12,21.3,-2.0,-0.4,8.0,24.35,0.93,1.1
68031,24.1,31.1,0.02,21.3,-2.0,0.0,5.0,25.19,0.77,1.1
68100,24.1,32.1,0.06,21.3,-2.0,-0.6,13.0,23.09,0.49,1.1
68159,24.3,29.3,0.04,21.3,-2.0,0.8,19.0,29.61,1.32,1.3
68217,22.9,52.4,0.33,21.3,-2.0,0.3,8.0,26.88,0.93,1.3
68233,26.8,45.5,0.02,21.3,-2.0,1.1,29.0,29.13,0.61,1.4
68243,24.1,43.7,0.07,21.3,-2.0,-0.3,7.0,24.09,0.47,1.1
68250,24.8,43.5,0.08,21.3,-2.0,1.0,27.0,29.5,1.13,1.0
68270,26.3,46.8,0.14,21.3,-2.0,0.2,6.0,26.02,0.47,1.1
68294,24.5,46.7,0.1,21.3,-2.0,1.1,31.0,31.66,1.26,1.4
68299,26.4,52.8,0.01,21.3,-2.0,0.7,16.0,27.5,0.42,1.5
68305,25.2,40.4,0.02,21.3,-2.0,0.2,6.0,25.58,0.55,1.1
68309,24.2,42.7,0.13,21.3,-2.0,-0.9,22.0,23.1,0.43,1.0
68321,24.1,45.2,0.13,21.3,-2.0,0.0,5.0,25.3,0.64,1.2
68333,24.0,52.5,0.07,21.3,-2.0,0.3,7.0,26.63,0.75,1.2
68335,23.2,50.3,0.11,21.3,-2.0,-0.3,6.0,24.18,0.49,1.3
68393,23.1,47.9,0.06,30.8,-2.0,-0.3,7.0,24.2,0.7,1.1
68409,22.9,47.4,0.11,30.8,-2.0,0.4,8.0,27.16,0.64,1.6
68435,23.0,44.8,0.18,30.8,-2.0,-0.7,14.0,23.34,0.61,1.1
68439,22.8,44.6,0.36,30.8,-2.0,-1.0,25.0,22.05,0.68,1.1
68441,23.0,44.3,0.1,30.8,-2.0,-0.2,6.0,24.56,0.8,1.1
68444,23.4,43.2,0.09,30.8,-2.0,-0.3,7.0,23.91,0.66,1.1
68542,25.5,62.9,0.31,30.8,-2.0,0.3,7.0,25.95,0.57,1.4
68698,29.6,56.4,0.47,30.8,-2.0,1.4,46.0,29.16,0.63,1.4
68718,24.0,78.5,0.89,30.8,-2.0,-0.2,6.0,23.77,0.57,1.4
68720,27.0,68.6,0.02,30.8,-2.0,1.1,32.0,30.23,0.68,1.3
68722,25.9,68.5,0.39,30.8,-2.0,0.2,6.0,25.85,0.64,1.0
68723,26.1,67.4,0.49,30.8,-2.0,0.3,6.0,25.84,0.68,1.0
68791,25.8,63.1,0.15,30.8,-2.0,0.4,9.0,27.23,0.74,1.1
68863,25.1,64.0,0.08,30.8,-2.0,0.8,19.0,29.12,0.61,1.5
68910,25.0,65.0,0.08,30.8,-2.0,0.5,10.0,27.0,0.67,1.1
69019,25.4,71.0,0.04,30.8,-2.0,1.0,25.0,30.34,0.67,1.5
69048,26.1,64.8,0.2,30.8,-2.0,1.0,25.0,29.8,0.79,1.4
69156,26.9,50.8,0.01,29.9,-2.0,0.9,21.0,28.16,0.72,1.1
69351,24.4,53.3,0.46,29.9,-2.0,-0.7,16.0,22.64,0.57,1.1
69478,28.0,42.0,0.13,29.9,-2.0,1.3,40.0,30.77,0.72,1.4
69485,25.3,46.3,0.04,29.9,-2.0,0.4,8.0,26.34,0.71,1.1
69608,26.7,63.8,0.39,38.1,-2.0,0.9,23.0,28.32,0.75,1.3
69693,25.0,63.6,0.19,38.1,-2.0,0.7,15.0,28.29,0.58,1.6
69698,24.8,65.1,0.19,38.1,-2.0,-0.1,5.0,25.02,0.58,1.1
69711,26.4,62.1,0.38,38.1,-2.0,0.3,7.0,25.61,0.63,1.1
69732,25.4,61.4,0.09,38.1,-2.0,0.4,9.0,26.66,0.63,1.1
69742,25.9,61.4,0.28,38.1,-2.0,0.6,12.0,27.04,0.69,1.1
69750,26.5,60.4,0.08,38.1,-2.0,1.0,27.0,29.29,0.69,1.2
69757,23.7,67.5,0.09,38.1,-2.0,0.2,6.0,26.28,0.74,1.1
69765,24.1,63.5,0.04,38.1,-2.0,0.4,9.0,27.07,0.57,1.4
69768,23.8,64.8,0.05,38.1,-2.0,-0.1,5.0,24.61,0.57,1.1
69770,23.7,65.5,0.05,38.1,-2.0,0.0,5.0,25.05,0.62,1.1
69772,23.6,64.9,0.09,38.1,-2.0,-0.1,5.0,24.93,0.64,1.1
69910,24.0,76.4,0.13,38.1,-2.0,0.2,6.0,26.86,0.58,1.3
69913,27.0,65.8,0.08,38.1,-2.0,0.7,16.0,28.02,0.58,1.2
69933,24.9,76.5,0.53,38.1,-2.0,-0.4,8.0,23.42,0.58,1.1
69946,24.4,79.1,0.36,38.1,-2.0,0.1,5.0,25.42,0.64,1.3
69949,24.6,78.1,0.24,38.1,-2.0,0.5,11.0,27.78,0.73,1.3
69950,24.6,77.7,1.45,38.1,-2.0,-0.5,10.0,23.11,0.67,1.1
69953,24.9,78.3,0.11,38.1,-2.0,0.3,7.0,26.7,0.58,1.1
69957,24.9,77.1,0.41,38.1,-2.0,0.1,5.0,25.33,0.73,1.1
69981,25.9,69.5,0.12,38.1,-2.0,0.5,11.0,27.88,0.63,1.3
70003,26.6,66.9,0.19,38.1,-2.0,0.6,12.0,27.41,0.63,1.1
70026,25.8,71.7,0.03,38.1,-2.0,0.4,9.0,26.58,0.53,1.1
70138,28.0,70.6,0.38,30.8,-2.0,1.4,43.0,30.46,0.61,1.6
70141,28.0,69.9,0.51,30.8,-2.0,0.9,21.0,27.31,0.63,1.1
70144,28.1,70.0,0.24,30.8,-2.0,1.4,43.0,31.07,0.63,1.4
70162,28.6,69.6,1.04,30.8,-2.0,0.9,23.0,27.16,0.76,1.1
70165,28.7,66.8,0.47,30.8,-2.0,1.1,29.0,27.75,0.57,1.1
70166,28.6,66.4,0.88,30.8,-2.0,0.8,17.0,26.17,0.57,1.1
70172,24.9,67.7,0.23,30.8,-2.0,0.6,13.0,27.93,0.7,1.3
70183,25.8,65.3,0.15,30.8,-2.0,0.9,24.0,29.68,0.57,1.4
70227,27.3,61.7,0.29,30.8,-2.0,0.7,16.0,27.19,0.57,1.1
70250,25.8,65.9,0.19,30.8,-2.0,0.5,11.0,27.39,0.71,1.1
70262,25.9,64.7,0.1,30.8,-2.0,0.6,12.0,27.69,0.8,1.0
70286,26.1,66.7,0.24,30.8,-2.0,1.0,27.0,29.89,0.9,1.3
70287,26.0,67.0,0.15,30.8,-2.0,0.9,24.0,30.01,0.9,1.2
70305,25.0,68.4,0.29,30.8,-2.0,0.1,5.0,25.66,0.65,1.1
70318,25.9,65.1,0.04,30.8,-2.0,0.5,10.0,26.71,0.57,1.1
70657,23.3,47.4,0.04,30.9,-2.0,-0.1,5.0,24.86,0.57,1.3
70679,22.7,47.9,0.07,30.9,-2.0,-0.1,5.0,24.64,0.57,1.3
70680,22.5,48.1,0.06,30.9,-2.0,-0.1,5.0,25.09,0.74,1.2
70683,23.1,47.2,0.04,30.9,-2.0,-0.5,10.0,23.47,0.57,1.1
70937,20.0,51.6,0.1,30.9,-2.0,-1.2,35.0,21.43,0.6,1.1
71328,17.0,54.4,0.12,15.5,-2.0,0.3,7.0,29.16,1.79,1.4
71333,17.6,52.6,0.06,15.5,-2.0,0.2,5.0,27.62,1.72,1.3
