Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Outdoor monthly air temperature (¡C),Clo,Met,Thermal sensation
32,2,0.03,23.72,23.72,61.78,28,0.22,1.6,0
32,2,0.03,24.07,24.07,54.12,32,0.52,1.05,0
32,2,0.03,23.29,23.29,49.11,27,0.44,1.6,-1
32,2,0.03,23.55,23.55,48.59,28,0.34,1.05,0
32,2,0.03,23.81,23.81,48.6,29,0.34,1.05,0
32,2,0.03,23.55,23.55,57.74,27,0.31,1.6,-1
32,2,0.03,23.98,23.98,55.62,31,0.56,1,0
32,2,0.03,24.07,24.07,53.04,30,0.56,1.05,1
32,2,0.03,23.38,23.38,59.72,28,0.31,1.6,1
32,2,0.03,24.07,24.07,55.84,31,0.56,1.05,0
32,2,0.03,24.07,24.07,54.1,32,0.31,1.05,1
32,2,0.03,23.72,23.72,61.36,26,0.32,1.6,1
32,2,0.03,23.89,23.89,56.25,26,0.34,1.05,0
32,2,0.03,23.98,23.98,52.84,28,0.34,1.05,1
32,2,0.03,23.2,23.2,52.82,26,0.34,1.6,1
32,2,0.03,23.89,23.89,50.05,29,0.59,1.05,-1
32,2,0.03,23.2,23.2,53.72,24,0.4,1.6,0
32,2,0.03,24.07,24.07,51,24,0.4,1.367,1
32,2,0.03,23.98,23.98,49.25,24,0.4,1.05,0
32,2,0.03,23.03,23.03,55.63,27,0.31,1.6,0
32,2,0.03,24.07,24.07,51.6,28,0.31,1.05,-1
32,2,0.03,23.03,23.03,52.4,25,0.34,1.6,1
32,2,0.03,23.38,23.38,50.52,28,0.34,1.05,-1
32,2,0.03,24.07,24.07,47.17,30,0.34,1.05,0
32,2,0.03,23.72,23.72,55.58,27,0.32,1.6,0
32,2,0.03,23.72,23.72,53.26,31,0.57,1.267,-1
32,2,0.03,24.76,24.76,43.65,21,0.33,1.05,0
32,2,0.03,23.38,23.38,41.16,21,0.33,1.1,0
32,2,0.03,21.13,21.13,44.06,8,0.61,2,0
32,2,0.03,22.69,22.69,39.83,9,0.86,1.033,-2
32,2,0.03,22.69,22.69,35.52,10,0.86,1.05,0
32,2,0.03,20.95,20.95,40.92,9,0.88,1,1
32,2,0.03,22.94,22.94,35.81,11,0.88,1.05,0
32,2,0.03,23.03,23.03,34.08,10,0.88,1.033,1
32,2,0.03,21.65,21.65,38.36,8,0.8,1.9,0
