,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal sensation acceptability,Air movement acceptability,Thermal comfort,Air temperature (¡F),Tg_h (¡C),Tg_h (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡F)
0,0.2,6.0,26.23,0.75,1.2,24.4,41.5,0.12,1.0,1.0,1.0,5.0,75.8,24.1,75.3,24.48,78.6
1,0.4,9.0,27.24,0.76,1.4,24.0,41.9,0.1,-1.0,1.0,1.0,5.0,75.3,23.8,74.8,20.61,78.6
2,-0.3,7.0,23.91,0.73,1.1,23.5,41.2,0.09,-2.0,1.0,1.0,5.0,74.3,22.7,72.9,18.27,78.6
3,0.0,5.0,25.64,0.85,1.2,22.8,43.8,0.1,-2.0,1.0,1.0,5.0,73.0,22.5,72.5,19.19,78.6
4,0.5,9.0,27.33,0.73,1.5,23.1,45.0,0.03,0.0,1.0,1.0,4.0,73.5,23.4,74.1,5.54,78.6
5,-0.8,20.0,22.84,0.53,1.1,23.4,45.4,0.13,-2.0,0.0,0.0,4.0,74.1,23.4,74.1,26.51,78.6
6,0.3,7.0,26.52,0.57,1.5,25.5,41.8,0.13,-2.0,1.0,1.0,5.0,77.9,24.0,75.2,25.96,78.6
7,0.3,6.0,26.12,0.72,1.2,24.5,43.4,0.09,0.0,1.0,1.0,5.0,76.1,24.0,75.2,17.22,78.6
8,0.3,7.0,26.41,0.87,1.1,24.3,41.9,0.07,-1.0,1.0,1.0,5.0,75.7,24.2,75.6,12.86,78.6
9,0.1,5.0,25.75,0.81,1.2,24.0,41.3,0.09,-1.0,1.0,1.0,5.0,75.2,23.5,74.4,17.72,78.6
10,-0.3,6.0,23.97,0.49,1.2,23.9,41.8,0.08,0.0,1.0,1.0,6.0,75.0,23.8,74.8,15.32,78.6
11,0.1,5.0,25.89,0.81,1.2,24.0,41.6,0.12,-1.0,1.0,1.0,6.0,75.2,23.7,74.7,24.48,78.6
12,-0.1,5.0,24.39,0.51,1.3,24.1,40.8,0.09,0.0,1.0,1.0,6.0,75.5,23.8,74.9,18.21,78.6
13,-0.1,5.0,25.16,0.6,1.3,24.0,40.8,0.13,-2.0,1.0,1.0,6.0,75.3,23.9,75.0,25.04,78.6
14,-0.6,12.0,23.03,0.45,1.3,24.5,46.6,0.14,-1.0,1.0,1.0,5.0,76.2,23.3,73.9,27.31,78.6
15,-0.8,18.0,22.34,0.67,1.1,23.9,47.5,0.48,-2.0,1.0,0.0,5.0,75.1,23.7,74.7,94.67,78.6
16,0.1,5.0,25.62,0.76,1.4,23.4,44.9,0.2,-2.0,1.0,1.0,5.0,74.1,22.8,73.0,38.51,78.6
17,-0.2,6.0,24.56,0.84,1.2,23.4,44.9,0.2,-2.0,1.0,1.0,5.0,74.1,22.8,73.0,38.51,78.6
18,-0.3,7.0,24.38,0.88,1.1,23.4,44.9,0.2,-1.0,1.0,1.0,5.0,74.1,22.8,73.0,38.51,78.6
19,0.2,6.0,26.08,0.76,1.2,23.9,42.7,0.06,-2.0,1.0,1.0,5.0,75.0,24.3,75.8,11.38,78.6
20,0.4,9.0,26.89,0.69,1.3,23.9,42.8,0.07,-1.0,0.0,1.0,5.0,75.0,24.4,75.8,12.86,78.6
