,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Age,Thermal sensation,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm)
0,-0.1,5.19,25.39,0.65,1.1,23.8,62.0,0.14,37.0,0.0,74.8,23.8,74.8,24.3,75.8,24.9,76.8,27.56,0.14,27.56
1,0.05,5.05,25.28,0.56,1.1,24.3,61.3,0.09,26.0,1.0,75.7,24.3,75.7,24.8,76.7,25.4,77.7,17.72,0.09,17.72
2,-0.59,12.37,23.37,0.56,1.1,23.5,62.0,0.24,26.0,1.0,74.3,23.5,74.3,24.2,75.6,25.0,76.9,47.24,0.24,47.24
3,-0.12,5.29,25.13,0.65,1.1,23.6,61.4,0.12,37.0,1.0,74.5,23.6,74.5,24.1,75.4,24.6,76.2,23.62,0.12,23.62
4,0.04,5.03,25.48,0.56,1.1,24.5,58.3,0.11,31.0,1.0,76.1,24.5,76.1,25.1,77.2,25.7,78.2,21.65,0.11,21.65
5,0.08,5.13,25.69,0.56,1.1,24.9,57.0,0.12,39.0,1.0,76.8,24.9,76.8,25.3,77.6,25.8,78.4,23.62,0.12,23.62
6,0.09,5.17,25.87,0.69,1.1,24.3,60.6,0.12,27.0,-1.0,75.7,24.3,75.7,24.5,76.1,24.7,76.5,23.62,0.12,23.62
7,0.17,5.58,26.42,0.84,1.1,23.9,60.0,0.15,51.0,1.0,75.0,23.9,75.0,24.2,75.5,24.4,76.0,29.53,0.15,29.53
8,0.08,5.14,25.56,0.65,1.1,24.4,59.1,0.1,75.0,-2.0,75.9,24.4,75.9,24.6,76.2,24.7,76.5,19.69,0.1,19.69
9,-0.15,5.49,24.54,0.47,1.1,24.6,59.3,0.1,31.0,1.0,76.3,24.6,76.3,24.9,76.9,25.2,77.4,19.69,0.1,19.69
10,0.54,11.01,27.79,0.88,1.1,24.6,58.4,0.11,28.0,0.0,76.3,24.6,76.3,25.0,77.1,25.5,77.8,21.65,0.11,21.65
11,0.23,6.11,26.21,0.63,1.1,24.9,58.0,0.11,24.333333333333332,0.0,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65
12,-0.2,5.87,24.45,0.41,1.1,24.9,57.6,0.11,34.0,0.0,76.8,24.9,76.8,25.3,77.5,25.7,78.2,21.65,0.11,21.65
13,-0.1,5.2,25.05,0.61,1.1,23.8,58.4,0.11,24.333333333333332,0.0,74.8,23.8,74.8,24.3,75.8,24.9,76.8,21.65,0.11,21.65
14,-0.29,6.73,24.25,0.61,1.1,23.0,58.9,0.1,37.0,0.0,73.4,23.0,73.4,23.6,74.5,24.2,75.5,19.69,0.1,19.69
15,-0.3,6.83,24.36,0.61,1.1,23.1,58.9,0.11,31.0,1.0,73.6,23.1,73.6,23.7,74.7,24.3,75.7,21.65,0.11,21.65
16,0.01,5.0,25.67,0.61,1.1,24.6,59.6,0.14,30.0,1.0,76.3,24.6,76.3,24.9,76.9,25.3,77.5,27.56,0.14,27.56
17,0.24,6.17,26.2,0.61,1.1,25.1,59.2,0.11,26.0,0.0,77.2,25.1,77.2,25.4,77.7,25.6,78.2,21.65,0.11,21.65
18,0.3,6.93,26.4,0.65,1.1,24.9,58.3,0.1,38.0,-1.0,76.8,24.9,76.8,25.3,77.6,25.8,78.4,19.69,0.1,19.69
19,0.09,5.15,25.83,0.51,1.1,25.3,58.8,0.14,24.0,1.0,77.5,25.3,77.5,25.8,78.4,26.3,79.3,27.56,0.14,27.56
20,0.21,5.93,26.3,0.66,1.1,24.7,58.4,0.12,28.0,1.0,76.5,24.7,76.5,25.2,77.3,25.7,78.2,23.62,0.12,23.62
21,-0.18,5.67,24.92,0.55,1.1,24.3,59.9,0.13,36.0,2.0,75.7,24.3,75.7,24.7,76.4,25.1,77.1,25.59,0.13,25.59
22,0.25,6.28,26.77,0.84,1.1,24.0,60.2,0.15,53.0,0.0,75.2,24.0,75.2,24.5,76.1,25.0,77.0,29.53,0.15,29.53
23,-0.11,5.25,24.93,0.56,1.1,24.2,59.8,0.11,29.0,0.0,75.6,24.2,75.6,24.6,76.2,25.0,76.9,21.65,0.11,21.65
24,-0.15,5.46,25.06,0.56,1.1,24.2,59.4,0.13,35.0,0.0,75.6,24.2,75.6,24.7,76.4,25.2,77.3,25.59,0.13,25.59
25,-0.07,5.09,25.51,0.65,1.1,23.8,59.7,0.14,52.0,-1.0,74.8,23.8,74.8,24.5,76.1,25.2,77.4,27.56,0.14,27.56
26,-0.55,11.32,23.61,0.34,1.1,24.8,63.8,0.15,34.0,0.0,76.6,24.8,76.6,25.2,77.3,25.6,78.0,29.53,0.15,29.53
27,0.31,7.06,26.51,0.56,1.1,25.8,64.8,0.17,32.0,1.0,78.4,25.8,78.4,26.2,79.2,26.7,80.0,33.46,0.17,33.46
