,PMV,PPD,SET,Clo,Met,Air temperature (¡C),Relative humidity (%),Air velocity (m/s),Thermal sensation,Thermal comfort,activity_10,activity_30,Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Blind (curtain),Heater,Outdoor monthly air temperature (¡F)
0,-1.2,34.0,20.61,0.83,1.2,17.4,77.0,0.05,0.0,5.0,1.0,1.6,63.3,17.4,63.3,17.5,63.4,17.5,63.5,10.31,0.05,10.31,0.0,0.0,53.6
1,-2.4,92.0,17.73,0.77,1.0,15.9,72.0,0.05,0.0,5.0,1.0,1.0,60.6,15.9,60.6,16.3,61.4,16.6,61.9,8.92,0.05,8.92,0.0,0.0,53.6
2,-0.9666666666666667,27.0,21.55,0.87,1.6,15.799999999999999,78.0,0.47,0.0,5.0,1.6,1.6,60.43333333333334,14.7,58.5,15.933333333333332,60.63333333333333,15.1,59.2,92.49,0.47,92.56,0.0,0.3333333333333333,53.6
3,-1.0999999999999999,33.0,20.993333333333336,1.76,1.1333333333333333,16.3,75.0,0.08,1.0,2.0,1.0666666666666667,1.2,61.3,16.3,61.3,16.233333333333334,61.26666666666667,17.0,62.6,15.78,0.08,15.79,0.0,0.0,53.6
4,-0.3,7.0,24.4,1.07,1.5,15.6,70.0,0.1,1.0,5.0,1.0,2.8,60.1,15.6,60.1,16.03333333333333,60.833333333333336,15.7,60.3,18.73,0.1,18.75,1.0,0.0,53.6
5,0.2,6.0,27.18,1.52,1.1,18.8,52.0,0.06,0.0,2.0,1.0,1.2,65.9,18.8,65.9,20.2,68.36666666666666,20.9,69.7,12.69,0.06,12.7,0.0,0.0,53.6
6,-0.9,23.0,21.75,1.26,1.1,16.3,72.0,0.07,-2.0,5.0,1.0,1.2,61.3,16.3,61.3,17.033333333333335,62.666666666666664,16.6,61.9,13.57,0.07,13.58,0.0,1.0,53.6
7,-0.6,13.0,23.06,1.12,1.2,17.0,71.0,0.11,-1.0,5.0,1.2,1.2,62.6,17.0,62.6,16.833333333333332,62.23333333333333,17.4,63.3,20.94,0.11,20.95,0.0,1.0,53.6
8,-0.7,14.0,23.33,1.47,1.1,16.3,70.0,0.13,-2.0,2.0,1.0,1.2,61.3,16.3,61.3,16.433333333333334,61.56666666666666,16.7,62.1,24.88,0.13,24.9,0.0,0.0,53.6
9,-0.6,13.0,23.43,1.39,1.2,15.6,76.0,0.14,2.0,2.0,1.0,1.6,60.1,15.6,60.1,16.5,61.699999999999996,15.8,60.4,27.58,0.14,27.6,0.0,0.0,53.6
10,-0.8,18.0,22.37,1.37,1.1,16.2,69.0,0.09,-2.0,2.0,1.0,1.2,61.2,16.2,61.2,16.0,60.76666666666667,16.5,61.7,16.88,0.09,16.89,0.0,0.0,53.6
11,-0.3,7.0,25.19,1.26,1.1,18.9,55.0,0.26,-1.0,2.0,1.0,1.2,66.1,18.9,66.1,19.0,66.2,20.8,69.5,51.43,0.26,51.47,0.0,0.0,53.6
12,-0.9,22.0,21.91,1.31,1.1,16.1,69.0,0.1,-2.0,2.0,1.0,1.2,61.0,16.1,61.0,16.7,62.03333333333333,16.4,61.5,19.49,0.1,19.51,0.0,0.0,53.6
13,0.2,6.0,27.64,1.75,1.1,19.4,57.0,0.09,-2.0,2.0,1.0,1.2,67.0,19.4,67.0,19.53333333333333,67.1,19.6,67.3,17.81,0.09,17.82,0.0,0.0,53.6
14,-0.6999999999999998,44.333333333333336,24.233333333333334,0.9133333333333334,1.1,16.4,71.0,0.05,-2.0,2.0,1.0,1.2,61.5,16.4,61.5,16.366666666666667,61.46666666666666,17.0,62.6,9.36,0.05,9.36,0.0,1.0,53.6
15,-0.7,14.0,22.94,1.47,1.1,16.1,69.0,0.1,-2.0,2.0,1.0,1.2,61.0,16.1,61.0,16.099999999999998,60.93333333333334,16.4,61.5,19.49,0.1,19.51,0.0,0.0,53.6
16,-0.6,13.0,23.6,1.63,1.1,15.6,76.0,0.14,-2.0,2.0,1.0,1.2,60.1,15.6,60.1,16.366666666666664,61.43333333333334,15.8,60.4,27.58,0.14,27.6,0.0,0.0,53.6
17,-0.8,19.0,22.27,0.69,1.3,19.5,52.0,0.13,0.0,5.0,1.2,1.6,67.1,19.5,67.1,18.933333333333334,66.03333333333333,19.5,67.1,25.57,0.13,25.59,0.6666666666666666,0.6666666666666666,53.6
18,-0.6,14.0,22.8,1.11,1.3,16.0,55.0,0.07,0.0,5.0,1.2,1.6,60.8,16.0,60.8,18.099999999999998,64.56666666666666,16.2,61.2,13.22,0.07,13.23,0.0,0.0,53.6
19,-1.7333333333333334,56.333333333333336,19.560000000000002,0.9333333333333335,1.3,15.8,54.5,0.14,0.0,5.0,1.2,1.6,60.4,15.8,60.4,16.433333333333334,61.56666666666666,15.9,60.6,27.98,0.14,28.01,0.0,0.0,53.6
20,-1.1,32.0,20.87,1.06,1.2,15.9,54.0,0.1,0.0,5.0,1.0,1.6,60.6,15.9,60.6,17.066666666666666,62.666666666666664,16.0,60.8,19.18,0.1,19.2,0.0,0.0,53.6
21,-1.0,28.0,21.46,0.83,1.3,17.0,50.5,0.16,-2.0,5.0,1.2,1.6,62.6,17.0,62.6,18.099999999999998,64.60000000000001,17.5,63.5,30.55,0.16,30.57,1.0,1.0,53.6
22,-0.4,8.0,24.41,1.06,1.2,19.5,52.0,0.12,0.0,5.0,1.2,1.2,67.1,19.5,67.1,19.366666666666667,66.83333333333333,19.6,67.3,23.81,0.12,23.83,0.3333333333333333,0.3333333333333333,53.6
