,City,Country,Age,Sex,Air velocity (m/s),Air temperature (¡C),Radiant temperature (¡C),Relative humidity (%),Clo,Met,Outdoor monthly air temperature (¡C),Thermal sensation
49674,London,UK,31.0,1.0,0.08,25.4,26.6,44.0,0.64,1.0,14.2,1.0
49676,London,UK,31.0,2.0,0.13,25.9,27.5,42.9,0.91,1.6,14.2,1.0
49677,London,UK,31.0,2.0,0.14,21.7,23.8,51.5,0.56,1.6,14.2,2.0
49678,London,UK,31.0,1.0,0.06,25.5,26.6,44.1,0.69,1.0,14.2,0.0
49680,London,UK,31.0,2.0,0.07,25.3,27.2,44.0,0.7,1.2,14.2,0.0
49681,London,UK,31.0,1.0,0.18,22.2,22.8,51.2,0.64,2.0,14.2,-1.0
49682,London,UK,31.0,1.0,0.05,25.1,26.6,46.0,0.67,1.6,14.2,1.0
49683,London,UK,31.0,1.0,0.2,22.1,23.1,52.0,0.64,1.2,14.2,0.0
49684,London,UK,31.0,1.0,0.08,22.3,23.9,51.0,0.66,1.2,14.2,1.0
49685,London,UK,31.0,2.0,0.05,24.9,26.7,45.5,0.68,1.2,14.2,0.0
49687,London,UK,31.0,2.0,0.05,21.9,23.8,50.5,1.1,1.5,14.2,-2.0
49689,London,UK,31.0,1.0,0.05,25.2,26.3,46.0,0.66,1.2,14.2,1.0
49690,London,UK,31.0,2.0,0.14,25.7,27.7,46.9,0.53,1.1,14.2,2.0
49692,London,UK,31.0,2.0,0.08,22.6,24.4,49.9,0.5,1.9,14.2,-1.0
49693,London,UK,31.0,1.0,0.08,22.7,24.8,49.4,0.64,1.8,14.2,0.0
49694,London,UK,31.0,1.0,0.18,23.8,26.7,53.3,0.54,1.2,14.2,-2.0
49696,London,UK,31.0,2.0,0.13,22.7,25.2,49.3,0.76,1.2,14.2,-1.0
49697,London,UK,31.0,1.0,0.06,26.1,27.6,44.9,0.85,1.2,14.2,0.0
49698,London,UK,31.0,2.0,0.05,22.9,25.4,49.8,0.9,1.4,14.2,0.0
49700,London,UK,31.0,1.0,0.11,27.0,28.4,42.7,0.64,1.4,14.2,2.0
49702,London,UK,31.0,2.0,0.08,23.2,25.4,47.7,0.79,1.5,14.2,-2.0
49703,London,UK,31.0,2.0,0.38,26.8,28.6,45.3,0.44,1.7,14.2,2.0
49704,London,UK,31.0,1.0,0.11,22.3,24.2,47.8,1.04,1.2,14.2,-1.0
49705,London,UK,31.0,2.0,0.6,25.6,28.6,48.2,0.47,1.5,14.2,1.0
49706,London,UK,31.0,2.0,0.05,22.5,24.0,51.4,0.81,1.1,14.2,-2.0
49707,London,UK,31.0,1.0,0.11,25.7,27.6,49.2,0.69,1.2,14.2,2.0
49708,London,UK,31.0,1.0,0.09,21.9,24.2,54.9,1.05,1.2,14.2,-2.0
49710,London,UK,31.0,1.0,0.07,24.9,27.4,51.1,0.72,1.3,14.2,1.0
49711,London,UK,31.0,2.0,0.1,22.7,24.8,50.6,0.69,1.6,14.2,0.0
49712,London,UK,31.0,2.0,0.1,24.9,27.1,51.1,0.68,2.3,14.2,1.0
49713,London,UK,31.0,2.0,0.07,23.0,24.3,50.3,0.57,1.6,14.2,-1.0
49714,London,UK,31.0,1.0,0.06,22.6,23.9,52.5,0.71,1.3,14.2,-1.0
49717,London,UK,31.0,1.0,0.07,22.3,24.1,52.8,1.12,1.2,14.2,-1.0
49718,London,UK,31.0,1.0,0.07,22.4,24.1,51.9,0.82,1.1,14.2,2.0
49719,London,UK,31.0,1.0,0.05,26.1,27.5,47.6,0.54,1.7,14.2,1.0
49722,London,UK,31.0,2.0,0.1,25.0,27.2,53.0,0.97,2.0,14.2,1.0
49723,London,UK,31.0,2.0,0.06,22.0,23.6,53.2,0.92,1.1,14.2,0.0
49725,London,UK,31.0,2.0,0.08,27.4,29.3,42.6,0.83,1.2,14.2,2.0
49726,London,UK,31.0,1.0,0.14,23.1,25.0,47.6,0.64,1.6,14.2,1.0
49728,London,UK,31.0,1.0,0.06,25.1,27.2,52.5,0.85,1.1,14.2,0.0
49729,London,UK,31.0,2.0,0.08,23.6,25.5,47.0,0.73,1.2,14.2,1.0
49730,London,UK,31.0,2.0,0.09,25.9,27.6,50.1,0.98,1.2,14.2,0.0
49731,London,UK,31.0,2.0,0.12,23.3,25.1,47.1,0.83,1.2,14.2,2.0
49732,London,UK,31.0,2.0,0.16,23.7,25.8,44.3,0.88,1.2,14.2,-1.0
49736,London,UK,31.0,2.0,0.09,24.9,25.2,41.5,0.8,1.2,14.2,0.0
49738,London,UK,31.0,2.0,0.07,23.9,25.7,45.1,0.9,1.5,14.2,-2.0
49740,London,UK,31.0,1.0,0.07,22.9,25.3,48.0,0.69,1.1,14.2,-1.0
49741,London,UK,31.0,2.0,0.07,23.6,26.0,47.0,0.71,1.6,14.2,-2.0
49742,London,UK,31.0,2.0,0.05,24.0,26.8,45.9,0.73,1.9,14.2,0.0
49743,London,UK,31.0,1.0,0.14,24.2,26.5,44.4,0.85,1.1,14.2,-1.0
49745,London,UK,31.0,2.0,0.13,23.8,25.3,51.2,0.45,1.4,17.9,2.0
49746,London,UK,31.0,2.0,0.08,25.0,26.2,45.7,0.68,1.2,17.9,1.0
49747,London,UK,31.0,2.0,0.14,25.1,26.7,46.0,0.49,1.1,17.9,1.0
49748,London,UK,31.0,2.0,0.24,25.0,26.8,45.7,0.64,1.4,17.9,1.0
49749,London,UK,31.0,2.0,0.1,25.7,27.4,46.0,0.52,1.3,17.9,1.0
49750,London,UK,31.0,1.0,0.11,25.0,26.6,43.7,0.69,1.3,17.9,2.0
49751,London,UK,31.0,1.0,0.17,25.9,27.6,42.9,0.57,1.0,17.9,0.0
49752,London,UK,31.0,1.0,0.84,25.4,28.9,42.7,0.72,1.4,17.9,1.0
49753,London,UK,31.0,1.0,0.11,24.2,26.9,42.4,0.78,1.3,17.9,0.0
49754,London,UK,31.0,2.0,0.14,23.7,26.0,46.0,0.57,1.2,17.9,1.0
49755,London,UK,31.0,2.0,0.17,23.3,24.7,47.4,0.66,1.3,17.9,0.0
49756,London,UK,31.0,2.0,0.07,23.9,25.7,45.6,0.75,1.2,17.9,1.0
49757,London,UK,31.0,2.0,0.11,25.6,26.5,44.4,0.41,1.5,17.9,0.0
49758,London,UK,31.0,2.0,0.08,25.6,27.9,43.9,0.84,1.4,17.9,1.0
49759,London,UK,31.0,1.0,0.17,23.0,23.9,45.9,0.68,1.5,17.9,-2.0
