,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
20999,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,25.0,Female,0.0,1.0,no change,1.0,no change,,-1.22,36.28,21.06,0.5,1.25,1.1,1.1,1.7,1.1,20.5,68.9,,,20.5,68.9,,,20.7,69.3,,,,,,,20.7,69.3,,,59.8,,,0.16,31.5,,,0.16,31.52,,,,,,,,,,13.0,55.0,Database 2
21000,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,35.0,Male,0.0,1.0,no change,1.0,no change,,0.2,5.0,26.24,0.71,1.4,1.1,1.1,1.1,1.1,22.7,72.8,,,22.7,72.8,,,22.8,73.0,,,,,,,22.8,73.0,,,50.0,,,0.12,23.62,,,0.12,23.64,,,,,,,,,,13.0,55.0,Database 2
21001,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,55.0,Female,1.0,0.0,cooler,1.0,no change,,-0.4,9.0,23.55,0.54,1.2,1.0,1.0,1.7,1.0,22.9,73.2,,,22.9,73.2,,,23.2,73.7,,,,,,,23.2,73.7,,,48.7,,,0.07,13.78,,,0.07,13.79,,,,,,,,1.0,,13.0,55.0,Database 2
21002,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,35.0,Male,-1.0,1.0,warmer,1.0,less,,-1.4,43.0,20.69,0.63,1.1,1.7,1.4,1.0,1.0,19.8,67.7,,,19.8,67.7,,,20.1,68.2,,,,,,,20.1,68.1,,,57.6,,,0.11,21.65,,,0.11,21.67,,,,,1.0,,,,1.0,13.0,55.0,Database 2
21003,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,45.0,Male,-2.5,0.0,warmer,1.0,no change,,-0.4,9.0,23.69,0.85,1.2,1.1,1.1,1.7,1.7,20.4,68.7,,,20.4,68.7,,,20.7,69.2,,,,,,,20.8,69.4,,,57.4,,,0.03,5.91,,,0.03,5.91,,,,,0.0,,0.0,0.0,0.0,13.0,55.0,Database 2
21004,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,65.0,Female,-1.0,1.0,warmer,0.0,more,,-0.5,11.0,22.92,0.45,1.3,1.1,1.1,1.1,1.1,22.7,72.9,,,22.7,72.9,,,22.7,72.8,,,,,,,22.7,72.8,,,49.5,,,0.09,17.72,,,0.09,17.73,,,,,0.0,,,1.0,0.0,13.0,55.0,Database 2
21005,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,55.0,Male,1.0,0.0,cooler,0.0,more,,-0.9,23.0,22.37,0.46,1.1,1.1,1.1,1.1,1.1,22.9,73.1,,,22.9,73.1,,,23.2,73.7,,,,,,,23.1,73.6,,,50.2,,,0.12,23.62,,,0.12,23.64,,,,,0.0,,0.0,0.0,0.0,13.0,55.0,Database 2
21006,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,55.0,Female,0.0,1.0,warmer,1.0,no change,,-0.7,15.0,22.23,0.53,1.4,1.1,1.1,1.1,1.1,20.3,68.5,,,20.3,68.5,,,20.2,68.4,,,,,,,20.2,68.4,,,58.3,,,0.08,15.75,,,0.08,15.76,,,,,0.0,,,0.0,0.0,13.0,55.0,Database 2
21007,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,55.0,Male,1.0,0.0,no change,1.0,no change,,-1.2,37.0,21.71,0.46,1.0,1.1,1.0,1.0,1.7,22.8,73.0,,,22.8,73.0,,,23.0,73.5,,,,,,,23.1,73.5,,,51.8,,,0.07,13.78,,,0.07,13.79,,,,,0.0,,0.0,0.0,0.0,13.0,55.0,Database 2
21008,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Australia,Office,Mixed Mode,Air Conditioned,Mechanical Heating,45.0,Male,0.0,1.0,no change,1.0,no change,,-0.4,9.0,23.66,0.84,1.4,1.1,1.1,1.4,1.1,18.7,65.7,,,18.7,65.7,,,18.8,65.8,,,,,,,18.8,65.8,,,65.6,,,0.1,19.69,,,0.1,19.7,,,,,0.0,,0.0,0.0,0.0,13.0,55.0,Database 2
