,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
65027,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Male,1.0,,,,,,,,,0.7,1.0,,1.0,,,21.1,70.0,,,,,,,,,,,,,,,,,,,58.2,,,,,,,,,,,,,,,,,,5.0,41.0,Database 2
65028,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,70.0,Female,1.0,,,,,,,,,0.85,1.6,,2.4,,,21.9,71.4,,,,,,,,,,,,,,,,,,,50.7,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65029,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Male,1.0,,,,,,,,,0.66,1.0,,1.2,,,22.1,71.8,,,,,,,,,,,,,,,,,,,54.3,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65030,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,65.0,Male,1.0,,,,,,,,,0.76,1.0,,1.2,,,21.8,71.2,,,,,,,,,,,,,,,,,,,53.1,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65031,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,65.0,Female,1.0,,,,,,,,,0.59,1.0,,1.2,,,22.2,72.0,,,,,,,,,,,,,,,,,,,57.4,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65032,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Male,0.0,,,,,,,,,0.31,1.0,,1.2,,,21.8,71.2,,,,,,,,,,,,,,,,,,,53.8,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65033,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,65.0,Male,0.0,,,,,,,,,0.8,1.0,,1.2,,,19.8,67.6,,,,,,,,,,,,,,,,,,,57.1,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65034,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Male,0.0,,,,,,,,,0.41,1.2,,1.6,,,20.7,69.3,,,,,,,,,,,,,,,,,,,58.4,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65035,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Male,0.0,,,,,,,,,0.76,1.0,,1.6,,,21.2,70.2,,,,,,,,,,,,,,,,,,,60.6,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65036,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,70.0,Male,0.0,,,,,,,,,0.8,1.2,,1.2,,,19.8,67.6,,,,,,,,,,,,,,,,,,,58.2,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65037,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,50.0,Female,1.0,,,,,,,,,0.6,1.0,,2.4,,,20.2,68.4,,,,,,,,,,,,,,,,,,,56.6,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65038,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,30.0,Female,1.0,,,,,,,,,0.91,1.2,,1.6,,,20.8,69.4,,,,,,,,,,,,,,,,,,,61.2,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65039,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,30.0,Male,0.0,,,,,,,,,0.86,1.2,,2.4,,,19.2,66.6,,,,,,,,,,,,,,,,,,,56.9,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
65040,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,,Cfb,Temperate oceanic,Liege,Belgium,Multifamily housing,Naturally Ventilated,,Mechanical Heating,65.0,Male,0.0,,,,,,,,,0.76,1.2,,1.2,,,20.6,69.1,,,,,,,,,,,,,,,,,,,58.7,,,0.0,0.0,,,,,,,,,,,,,,5.0,41.0,Database 2
