,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
15677,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Naturally Ventilated,,,,,1.0,1.0,,,,2.0,1.5,48.0,31.56,0.47,1.6,,,,,28.0,82.3,28.2,82.8,28.0,82.4,27.7,81.9,,,28.1,82.5,,,27.9,82.2,28.0,82.4,28.2,82.8,62.7,,,0.05,9.19,0.03,5.91,0.01,1.97,0.1,19.7,,,,,,,,22.0,72.0,Database 2
15678,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Naturally Ventilated,,,,,0.0,0.0,,,,3.0,1.4,46.0,31.6,0.49,1.6,,,,,27.3,81.1,27.3,81.1,27.4,81.3,27.1,80.8,,,29.4,85.0,,,27.7,81.9,27.3,81.1,30.3,86.5,73.3,,,0.2,39.37,0.38,74.86,0.17,33.49,0.05,9.85,,,,,,,,22.0,72.0,Database 2
15679,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Naturally Ventilated,,,,,0.0,0.0,,,,3.0,1.4,46.0,31.6,0.49,1.6,,,,,27.3,81.1,27.3,81.1,27.4,81.3,27.1,80.8,,,29.4,85.0,,,27.7,81.9,27.3,81.1,30.3,86.5,73.3,,,0.2,39.37,0.38,74.86,0.17,33.49,0.05,9.85,,,,,,,,22.0,72.0,Database 2
15680,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Classroom,Naturally Ventilated,,,,,1.0,1.0,,,,5.0,0.8,20.0,26.55,0.5,1.6,,,,,26.9,80.5,27.1,80.8,26.8,80.2,26.9,80.4,,,28.2,82.8,,,27.9,82.2,27.4,81.3,27.0,80.6,49.0,,,0.51,99.74,0.4,78.8,0.47,92.59,0.65,128.05,,,,,,,,22.0,72.0,Database 2
15681,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Classroom,Naturally Ventilated,,,,,2.0,1.0,,,,3.0,0.8,19.0,25.81,0.38,1.6,,,,,27.8,82.0,27.7,81.9,27.7,81.9,27.9,82.2,,,28.1,82.6,,,28.2,82.8,27.9,82.2,27.6,81.7,49.5,,,0.51,99.74,0.4,78.8,0.47,92.59,0.65,128.05,,,,,,,,22.0,72.0,Database 2
15682,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Classroom,Naturally Ventilated,,,,,0.0,1.0,,,,3.0,0.7,15.0,26.41,0.59,1.6,,,,,26.3,79.4,26.4,79.5,26.3,79.3,26.3,79.3,,,26.1,78.9,,,26.8,80.2,26.2,79.2,25.7,78.3,50.0,,,0.51,99.74,0.4,78.8,0.47,92.59,0.65,128.05,,,,,,,,22.0,72.0,Database 2
15683,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Classroom,Naturally Ventilated,,,,,0.0,1.0,,,,5.0,0.9,23.0,28.54,0.41,1.6,,,,,26.8,80.2,26.8,80.2,26.8,80.2,26.8,80.2,,,27.2,80.9,,,27.2,81.0,27.0,80.6,26.8,80.2,55.1,,,0.17,34.12,0.15,29.55,0.17,33.49,0.2,39.4,,,,,,,,22.0,72.0,Database 2
15684,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Classroom,Naturally Ventilated,,,,,-1.0,1.0,,,,5.0,1.2,34.0,29.56,0.41,1.6,,,,,27.2,81.0,27.2,81.0,27.2,81.0,27.3,81.1,,,27.6,81.6,,,27.7,81.9,27.4,81.3,27.3,81.1,52.4,,,0.06,12.47,0.15,29.55,0.02,3.94,0.02,3.94,,,,,,,,22.0,72.0,Database 2
15685,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Naturally Ventilated,,,,,-1.0,1.0,,,,5.0,0.2,6.0,25.51,0.35,1.2,,,,,26.5,79.8,26.5,79.7,26.5,79.7,26.6,79.9,,,27.5,81.5,,,26.6,79.9,26.8,80.2,27.7,81.9,66.4,,,0.24,46.59,0.18,35.46,0.11,21.67,0.42,82.74,,,,,,,,22.0,72.0,Database 2
15686,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,China,Others,Naturally Ventilated,,,,,0.0,1.0,,,,5.0,1.2,37.0,29.92,0.55,1.2,,,,,28.7,83.7,28.9,84.0,28.7,83.7,28.5,83.3,,,27.0,80.6,,,27.6,81.7,27.4,81.3,27.4,81.3,66.1,,,0.05,9.19,0.03,5.91,0.01,1.97,0.1,19.7,,,,,,,,22.0,72.0,Database 2
