,0,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,Japan,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
1,USA,0,0,0,Clo,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),0,0,0,0,Operative temperature (¡C),Operative temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
2,India,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,Subject«s weight (kg),0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
3,Iran,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
4,China,0,0,0,Clo,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
5,Philippines,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
6,Australia,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
7,Malaysia,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),Humidity preference,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,Subject«s height (cm),Subject«s weight (kg),0,Fan,Window,Door,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
8,Slovakia,0,0,0,0,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
9,Denmark,0,0,0,0,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
10,Tunisia,PMV,PPD,SET,Clo,Met,activity_10,0,activity_30,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),0,0,0,0,0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,Blind (curtain),0,0,0,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
11,UK,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
12,France,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,0,0,0,0,Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
13,Sweden,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,0,0,0,0,Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
14,Portugal,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,0,0,0,0,Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
15,Greece,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
16,Brazil,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,Subject«s height (cm),Subject«s weight (kg),0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
17,South Korea,0,0,0,Clo,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
18,Italy,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),0,0,Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
19,Belgium,0,0,0,Clo,Met,0,activity_20,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
20,Mexico,0,0,0,0,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,Subject«s height (cm),0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
21,Germany,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,Blind (curtain),0,Window,Door,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
22,Nigeria,0,0,0,0,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
23,Singapore,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
24,Thailand,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
25,Indonesia,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
26,Canada,0,0,0,Clo,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
27,Pakistan,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PMV,PPD,SET,Clo,Met,Air temperature (¡C),,Relative humidity (%),Air velocity (m/s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
