,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
26855,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,-1.1,1.0,no change,,more,4.0,,,,,,,,,,19.7,67.4,,,,,,,,,,,,,,,,,,,43.7,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26856,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,-2.1,0.0,warmer,,less,3.0,,,,,,,,,,24.0,75.1,,,,,,,,,,,,,,,,,,,39.1,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26857,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,-1.0,0.0,warmer,,no change,3.0,,,,,,,,,,23.4,74.1,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26858,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,0.0,1.0,cooler,,more,3.0,,,,,,,,,,23.0,73.5,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26859,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,1.7,0.0,cooler,,more,4.0,,,,,,,,,,25.2,77.3,,,,,,,,,,,,,,,,,,,42.5,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26860,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,1.0,1.0,no change,,more,4.0,,,,,,,,,,24.1,75.3,,,,,,,,,,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26861,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,-1.6,1.0,warmer,,more,3.0,,,,,,,,,,23.0,73.4,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26862,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,1.0,1.0,cooler,,more,4.0,,,,,,,,,,23.0,73.4,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26863,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,0.1,1.0,no change,,no change,4.0,,,,,,,,,,23.2,73.7,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
26864,Indoor Climate Survey at Esperg¾rde Gymnasium. Master thesis. Technical University of Denmark. Departmentof Civil Engineering. 2012.,Pedersen and Toftum,2012.0,Winter,Cfb,Temperate oceanic,Elsinore,Denmark,Classroom,Naturally Ventilated,,Mechanical Heating,,,1.3,0.0,cooler,,more,3.0,,,,,,,,,,24.3,75.7,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,0.8,33.5,Database 2
