,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
49878,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,no change,,1.6,55.0,30.36,0.54,1.4,,,,,29.3,84.7,,,,,,,,,30.4,86.7,29.9,85.8,,,,,,,44.6,drier,-1.0,0.2,39.37,,,,,,,,,,,,,,,,Database 2
49879,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,less,,1.4,46.0,29.54,0.42,1.4,,,,,28.8,83.8,,,,,,,,,30.3,86.5,29.6,85.3,,,,,,,36.1,no change,2.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49880,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,3.0,,cooler,,less,,1.5,49.0,29.65,0.39,1.5,,,,,29.2,84.6,,,,,,,,,30.3,86.5,29.8,85.6,,,,,,,34.0,more humid,0.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49881,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,2.0,,cooler,,less,,1.5,51.0,29.86,0.4,1.5,,,,,28.9,84.0,,,,,,,,,30.7,87.3,29.9,85.8,,,,,,,34.4,no change,2.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49882,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,1.3,39.0,28.53,0.44,1.1,,,,,28.8,83.8,,,,,,,,,30.6,87.1,29.8,85.6,,,,,,,34.3,drier,-2.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49883,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,1.4,44.0,29.17,0.62,1.2,,,,,28.9,84.0,,,,,,,,,30.6,87.1,29.7,85.5,,,,,,,33.7,drier,-2.0,0.2,39.37,,,,,,,,,,,,,,,,Database 2
49884,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,0.0,,no change,,more,,1.5,51.0,30.35,0.4,1.7,,,,,28.2,82.8,,,,,,,,,30.0,86.0,29.2,84.6,,,,,,,34.0,more humid,1.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49885,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,1.3,38.0,29.38,0.63,1.2,,,,,28.2,82.8,,,,,,,,,29.3,84.7,28.9,84.0,,,,,,,38.0,no change,0.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
49886,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,2.0,,cooler,,less,,1.3,41.0,29.0,0.52,1.3,,,,,28.4,83.1,,,,,,,,,30.7,87.3,29.5,85.1,,,,,,,33.9,drier,-3.0,0.2,39.37,,,,,,,,,,,,,,,,Database 2
49887,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,2.0,,cooler,,less,,1.3,42.0,27.55,0.64,1.2,,,,,28.8,83.8,,,,,,,,,32.4,90.3,30.0,86.0,,,,,,,33.3,drier,-2.0,0.8,157.48,,,,,,,,,,,,,,,,Database 2
49888,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,cooler,,no change,,1.6,55.0,30.71,0.48,1.5,,,,,28.4,83.1,,,,,,,,,31.0,87.8,29.9,85.8,,,,,,,34.5,no change,-1.0,0.1,19.69,,,,,,,,,,,,,,,,Database 2
50177,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,warmer,,no change,,0.4,8.0,26.79,0.56,1.4,,,,,23.4,74.1,,,,,,,,,25.0,77.0,24.4,75.9,,,,,,,60.1,more humid,0.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50178,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,-1.0,,no change,,more,,0.6,12.0,28.04,0.56,1.5,,,,,23.2,73.8,,,,,,,,,25.4,77.7,24.6,76.3,,,,,,,61.1,no change,-1.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50179,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,0.0,,no change,,no change,,0.8,19.0,29.32,0.88,1.3,,,,,24.5,76.1,,,,,,,,,25.6,78.1,25.2,77.4,,,,,,,57.2,no change,1.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50180,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,1.0,,no change,,less,,0.9,22.0,28.85,0.9,1.1,,,,,26.3,79.3,,,,,,,,,26.6,79.9,26.5,79.7,,,,,,,52.4,more humid,1.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
50181,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Female,0.0,,no change,,no change,,0.6,13.0,27.31,0.64,1.1,,,,,25.9,78.6,,,,,,,,,26.9,80.4,26.6,79.9,,,,,,,53.8,no change,-1.0,0.0,0.0,,,,,,,,,,,,,,13.3,55.9,Database 2
50182,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Cfb,Temperate oceanic,Lyon,France,Classroom,Naturally Ventilated,,Mechanical Heating,,Male,1.0,,cooler,,less,,0.9,22.0,28.68,0.59,1.3,,,,,26.4,79.5,,,,,,,,,27.1,80.8,26.8,80.2,,,,,,,51.4,no change,2.0,0.1,19.69,,,,,,,,,,,,,,13.3,55.9,Database 2
