,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
74245,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Female,1.0,,cooler,,,,0.6,12.0,25.52,0.76,1.5,,,,,26.7,80.1,,,,,,,25.4,77.8,,,,,,,,,,,44.5,more humid,1.0,1.11,218.48,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74246,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,55.0,Male,0.0,,no change,,,,-0.6,14.0,23.15,0.51,1.2,,,,,21.5,70.7,,,,,,,22.8,73.0,,,,,,,,,,,43.5,no change,0.0,0.09,17.71,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74247,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Male,0.0,,no change,,,,1.4,44.0,31.27,0.51,2.7,,,,,23.1,73.6,,,,,,,23.1,73.6,,,,,,,,,,,41.7,more humid,1.0,0.03,5.9,,,,,,,,,0.0,,1.0,0.0,,22.5,72.5,Database 2
74248,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Male,1.0,,cooler,,,,-2.2,85.0,18.32,0.61,1.1,,,,,22.5,72.5,,,,,,,22.9,73.2,,,,,,,,,,,48.2,no change,1.0,1.85,364.14,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74249,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Male,1.0,,cooler,,,,-1.8,66.0,18.99,0.61,1.2,,,,,22.5,72.5,,,,,,,22.9,73.2,,,,,,,,,,,48.2,more humid,1.0,1.85,364.14,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74250,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Female,1.0,,warmer,,,,0.3,7.0,25.84,0.71,1.2,,,,,29.9,85.8,,,,,,,25.1,77.1,,,,,,,,,,,29.0,more humid,1.0,0.06,11.81,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
74251,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Female,1.0,,cooler,,,,0.2,6.0,25.14,0.68,1.1,,,,,29.9,85.8,,,,,,,25.1,77.1,,,,,,,,,,,29.0,no change,0.0,0.06,11.81,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
74252,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Male,0.0,,no change,,,,1.3,38.0,26.78,0.64,3.0,,,,,22.9,73.2,,,,,,,22.3,72.1,,,,,,,,,,,46.7,no change,0.0,1.46,287.37,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74253,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Female,0.0,,no change,,,,-1.3,42.0,18.7,0.59,1.6,,,,,21.0,69.8,,,,,,,21.4,70.5,,,,,,,,,,,47.8,no change,0.0,2.12,417.28,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74254,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Female,0.0,,no change,,,,0.8,17.0,25.55,0.75,2.7,,,,,21.0,69.8,,,,,,,21.4,70.5,,,,,,,,,,,47.8,no change,0.0,2.12,417.28,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74255,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Female,-1.0,,warmer,,,,-3.0,99.0,14.87,0.45,1.2,,,,,21.0,69.8,,,,,,,21.4,70.5,,,,,,,,,,,47.8,no change,0.0,2.12,417.28,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74256,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Male,0.0,,no change,,,,-1.0,24.0,22.9,0.41,1.1,,,,,23.6,74.5,,,,,,,24.5,76.2,,,,,,,,,,,33.5,no change,0.0,0.15,29.52,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74257,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Male,1.0,,cooler,,,,0.1,5.0,25.74,0.64,1.3,,,,,23.6,74.5,,,,,,,24.5,76.2,,,,,,,,,,,33.5,more humid,1.0,0.15,29.52,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74258,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Male,0.0,,no change,,,,-2.5,93.0,16.97,0.61,1.2,,,,,21.0,69.8,,,,,,,21.4,70.5,,,,,,,,,,,47.8,no change,0.0,2.12,417.28,,,,,,,,,0.0,,0.0,0.0,,22.5,72.5,Database 2
74259,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Male,0.0,,no change,,,,1.4,45.0,31.73,0.61,2.3,,,,,24.8,76.6,,,,,,,24.7,76.5,,,,,,,,,,,38.7,no change,0.0,0.06,11.81,,,,,,,,,0.0,,1.0,0.0,,22.5,72.5,Database 2
74260,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,41.0,Male,0.0,,no change,,,,-1.8,65.0,18.81,0.61,1.2,,,,,23.6,74.5,,,,,,,23.0,73.4,,,,,,,,,,,44.8,no change,0.0,3.27,643.63,,,,,,,,,0.0,,1.0,0.0,,22.5,72.5,Database 2
74261,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,55.0,Male,0.0,,no change,,,,0.5,10.0,27.16,0.62,1.6,,,,,23.6,74.5,,,,,,,23.7,74.6,,,,,,,,,,,38.5,no change,0.0,0.06,11.81,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
74262,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Female,0.0,,no change,,,,-2.5,93.0,17.47,0.54,1.2,,,,,22.1,71.8,,,,,,,23.7,74.6,,,,,,,,,,,45.7,no change,0.0,2.99,588.52,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
74263,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,31.0,Male,0.0,,no change,,,,-0.8,20.0,20.29,0.62,1.6,,,,,22.1,71.8,,,,,,,23.7,74.6,,,,,,,,,,,45.7,no change,0.0,2.99,588.52,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
74264,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Germany,Office,Naturally Ventilated,,,25.0,Female,-1.0,,warmer,,,,0.1,5.0,25.64,0.71,1.2,,,,,22.9,73.2,,,,,,,23.7,74.7,,,,,,,,,,,47.7,no change,0.0,0.04,7.87,,,,,,,,,0.0,,0.0,1.0,,22.5,72.5,Database 2
