,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
50316,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,0.0,,no change,,no change,,0.5,10.0,26.62,0.6,1.2,,,,,26.3,79.3,,,,,,,,,26.8,80.2,26.6,79.9,,,,,,,42.7,more humid,0.0,0.2,39.37,,,,,,,,,,,,,,25.9,78.7,Database 2
50318,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Female,0.0,,no change,,less,,1.0,27.0,29.34,0.84,1.2,,,,,26.8,80.2,,,,,,,,,27.2,81.0,27.0,80.6,,,,,,,41.9,more humid,1.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
50319,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,-1.0,,no change,,no change,,0.1,5.0,25.19,0.6,1.1,,,,,25.9,78.6,,,,,,,,,28.6,83.5,26.9,80.4,,,,,,,42.3,no change,0.0,0.4,78.74,,,,,,,,,,,,,,25.9,78.7,Database 2
50320,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Female,0.0,,no change,,no change,,0.7,15.0,27.33,0.57,1.3,,,,,26.4,79.5,,,,,,,,,27.5,81.5,27.0,80.6,,,,,,,41.2,no change,0.0,0.2,39.37,,,,,,,,,,,,,,25.9,78.7,Database 2
50322,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,1.0,,no change,,less,,0.9,21.0,28.2,0.64,1.2,,,,,27.0,80.6,,,,,,,,,27.5,81.5,27.3,81.1,,,,,,,39.6,drier,-1.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
50323,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,-1.0,,no change,,no change,,0.6,12.0,27.12,0.61,1.2,,,,,26.6,79.9,,,,,,,,,26.3,79.3,26.4,79.5,,,,,,,39.3,no change,1.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
50324,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Female,0.0,,no change,,no change,,-0.1,5.0,25.27,0.61,1.0,,,,,25.7,78.3,,,,,,,,,26.7,80.1,26.2,79.2,,,,,,,40.7,more humid,1.0,0.2,39.37,,,,,,,,,,,,,,25.9,78.7,Database 2
50325,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Female,-1.0,,warmer,,less,,0.9,21.0,28.36,0.71,1.2,,,,,27.1,80.8,,,,,,,,,27.1,80.8,27.1,80.8,,,,,,,37.4,more humid,1.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
50326,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Female,0.0,,warmer,,less,,0.8,20.0,27.93,0.61,1.2,,,,,27.6,81.7,,,,,,,,,27.1,80.8,27.3,81.1,,,,,,,38.9,more humid,2.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
50327,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Greece,Classroom,Air Conditioned,,Mechanical Heating,,Male,1.0,,cooler,,less,,0.9,24.0,28.3,0.63,1.2,,,,,27.7,81.9,,,,,,,,,27.6,81.7,27.7,81.9,,,,,,,35.9,no change,1.0,0.1,19.69,,,,,,,,,,,,,,25.9,78.7,Database 2
