,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
83364,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,,Female,0.0,,,,,,,,,0.63,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83365,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,,Male,-1.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83366,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,22.0,Male,-1.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83367,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,28.0,Male,0.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83368,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,23.0,Female,-1.0,,,,,,,,,0.63,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83369,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,23.0,Male,-1.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83370,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,,Male,0.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83371,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,31.0,Male,0.0,,,,,,,,,0.53,1.0,,,,,25.0,77.0,,,25.0,77.0,,,25.7,78.3,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,Database 1
83372,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,26.0,Male,0.0,,,,,,,,,0.53,1.0,,,,,26.0,78.8,,,26.0,78.8,,,26.3,79.3,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,Database 1
83373,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Indonesia,Office,Air Conditioned,,,21.0,Female,0.0,,,,,,,,,0.63,1.0,,,,,26.0,78.8,,,26.0,78.8,,,26.3,79.3,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,Database 1
