,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
8281,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,47.0,Male,0.0,,warmer,,,,,,,1.18,1.0,,,,,20.2,68.4,,,,,,,,,,,,,,,,,,,66.3,,,0.04,7.87,,,,,,,,,,,,,,5.0,41.0,Database 2
8282,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,38.0,Female,0.0,,warmer,,,,,,,1.08,1.2,,,,,20.2,68.4,,,,,,,,,,,,,,,,,,,66.3,,,0.04,7.87,,,,,,,,,,,,,,5.0,41.0,Database 2
8283,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,24.0,Female,0.0,,no change,,,,,,,1.51,2.0,,,,,20.2,68.4,,,,,,,,,,,,,,,,,,,66.3,,,0.05,9.84,,,,,,,,,,,,,,5.0,41.0,Database 2
8284,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,18.0,Female,0.0,,no change,,,,,,,1.44,1.9,,,,,20.2,68.4,,,,,,,,,,,,,,,,,,,66.3,,,0.04,7.87,,,,,,,,,,,,,,5.0,41.0,Database 2
8285,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,16.0,Male,0.0,,no change,,,,,,,1.15,1.7,,,,,20.2,68.4,,,,,,,,,,,,,,,,,,,66.3,,,0.05,9.84,,,,,,,,,,,,,,5.0,41.0,Database 2
8286,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,41.0,Male,0.0,,no change,,,,,,,1.67,0.8,,,,,21.5,70.7,,,,,,,,,,,,,,,,,,,66.9,,,0.07,13.78,,,,,,,,,,,,,,5.0,41.0,Database 2
8287,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,35.0,Female,0.0,,warmer,,,,,,,1.11,2.4,,,,,21.5,70.7,,,,,,,,,,,,,,,,,,,66.9,,,0.08,15.75,,,,,,,,,,,,,,5.0,41.0,Database 2
8288,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,14.0,Female,0.0,,no change,,,,,,,1.08,1.2,,,,,21.5,70.7,,,,,,,,,,,,,,,,,,,66.9,,,0.05,9.84,,,,,,,,,,,,,,5.0,41.0,Database 2
8289,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,52.0,Male,0.0,,no change,,,,,,,0.9,1.0,,,,,22.8,73.1,,,,,,,,,,,,,,,,,,,66.0,,,0.06,11.81,,,,,,,,,,,,,,5.0,41.0,Database 2
8290,"Heidari, Shahin, and Steve Sharples. ""A comparative analysis of short-term and long-term thermal comfort surveys in Iran."" Energy and Buildings 34.6 (2002): 607-614.",Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Iran,Office,Naturally Ventilated,,,35.0,Male,1.0,,cooler,,,,,,,1.18,0.8,,,,,22.8,73.1,,,,,,,,,,,,,,,,,,,66.0,,,0.08,15.75,,,,,,,,,,,,,,5.0,41.0,Database 2
