,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
62934,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,1.0,,cooler,,,5,1.1,33.0,28.48,0.39,1.2,1.2,1.2,1.2,1.2,28.4,83.1,28.4,83.1,26.7,80.1,29.4,85.0,,,,,,,29.1,84.4,29.0,84.1,28.4,83.1,53.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
62935,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,1.0,,cooler,,,5,1.1,29.0,27.94,0.32,1.2,1.2,1.2,1.2,1.2,28.4,83.1,28.4,83.1,26.7,80.1,29.4,85.0,,,,,,,29.1,84.4,29.0,84.1,28.4,83.1,53.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
62936,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,1.0,,cooler,,,5,0.3,7.0,25.59,0.32,1.2,1.2,1.2,1.2,1.2,27.3,81.1,27.3,81.1,26.5,79.8,26.8,80.3,,,,,,,26.9,80.4,26.5,79.7,25.0,77.0,61.6,,,0.06,11.81,0.06,11.81,0.06,11.82,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
62937,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,0.0,,no change,,,5,-0.1,5.0,24.27,0.38,1.1,1.0,1.0,1.0,1.0,25.7,78.2,25.7,78.2,24.9,76.7,25.9,78.6,,,,,,,25.6,78.1,25.7,78.2,24.7,76.5,58.7,,,0.04,7.87,0.04,7.87,0.02,3.94,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,25.0,77.0,Database 2
62938,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Air Conditioned,Mechanical Heating,,Female,0.0,,no change,,,5,-0.3,7.0,23.86,0.38,1.0,1.0,1.0,1.0,1.0,25.9,78.5,25.9,78.5,25.1,77.1,26.0,78.9,,,,,,,25.9,78.6,25.8,78.4,24.8,76.6,58.0,,,0.02,3.94,0.02,3.94,0.02,3.94,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,25.0,77.0,Database 2
62939,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,0.0,,no change,,,6,0.0,5.0,24.67,0.32,1.2,1.2,1.2,1.2,1.2,25.9,78.5,25.9,78.5,25.1,77.1,26.0,78.9,,,,,,,25.9,78.6,25.8,78.4,24.8,76.6,58.0,,,0.02,3.94,0.02,3.94,0.02,3.94,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,25.0,77.0,Database 2
62940,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Air Conditioned,Mechanical Heating,,Female,0.0,,no change,,,5,0.0,5.0,24.63,0.32,1.2,1.2,1.2,1.2,1.2,25.7,78.2,25.7,78.2,24.9,76.9,25.8,78.5,,,,,,,25.9,78.5,25.8,78.4,24.7,76.4,59.9,,,0.02,3.94,0.02,3.94,0.04,7.88,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,25.0,77.0,Database 2
62941,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,0.0,,cooler,,,4,0.1,5.0,25.04,0.4,1.2,1.2,1.2,1.2,1.2,25.8,78.4,25.8,78.4,24.9,76.8,25.4,77.7,,,,,,,25.4,77.6,25.3,77.6,23.9,75.0,66.5,,,0.04,7.87,0.04,7.87,0.02,3.94,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
62942,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,1.0,,cooler,,,5,-0.2,6.0,23.95,0.45,1.1,1.0,1.0,1.0,1.2,25.3,77.5,25.3,77.5,24.2,75.6,25.0,76.9,,,,,,,24.8,76.6,24.7,76.5,23.5,74.3,51.2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
62943,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010).ÊThermal complianceÊin existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190 ",Salvatore Carlucci,2008.0,Summer,Cfa,Humid subtropical,Lodi,Italy,Office,Mixed Mode,Naturally Ventilated,Mechanical Heating,,Female,1.0,,cooler,,,5,0.0,5.0,24.62,0.4,1.2,1.2,1.2,1.2,1.2,25.7,78.2,25.7,78.2,24.7,76.5,25.3,77.5,,,,,,,25.3,77.5,25.2,77.3,23.8,74.9,58.8,,,0.04,7.87,0.04,7.87,0.02,3.94,0.0,0.0,,,1.0,0.0,0.0,1.0,0.0,25.0,77.0,Database 2
