,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
25217,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.73,1.2,,,,,26.9,80.4,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25218,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.52,1.2,,,,,24.5,76.1,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25219,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.62,1.2,,,,,24.1,75.4,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25220,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.68,1.2,,,,,24.1,75.4,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25221,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.59,1.2,,,,,24.0,75.2,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25222,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.5,1.2,,,,,24.0,75.2,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25223,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,0.0,,,,,,,,,0.56,1.2,,,,,25.5,77.9,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25224,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,-1.0,,,,,,,,,0.56,1.0,,,,,25.5,77.9,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25225,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,-1.0,,,,,,,,,0.66,1.0,,,,,28.8,83.8,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
25226,,Djamila,2014.0,Spring,Af,Tropical rainforest,Kota Kinabalu,Malaysia,Others,Air Conditioned,,,,,-2.0,,,,,,,,,0.72,1.0,,,,,28.8,83.8,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,28.5,83.3,Database 2
