,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
65112,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-3.0,,warmer,,,,,,,,,,,,,18.1,64.6,,,,,,,,,,,,,17.8,64.0,,,,,33.0,,,0.6,118.11,,,,,,,155.0,,,,,,,19.4,67.0,Database 2
65113,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-3.0,,warmer,,,,,,,,,,,,,17.5,63.5,,,,,,,,,,,,,18.9,66.0,,,,,22.0,,,0.6,118.11,,,,,,,154.0,,,,,,,19.4,67.0,Database 2
65114,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-3.0,,no change,,,,,,,,,,,,,18.6,65.5,,,,,,,,,,,,,18.6,65.5,,,,,17.0,,,0.3,59.06,,,,,,,158.0,,,,,,,19.4,67.0,Database 2
65115,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,0.0,,no change,,,,,,,,,,,,,17.9,64.2,,,,,,,,,,,,,17.8,64.0,,,,,20.0,,,0.5,98.43,,,,,,,173.0,,,,,,,19.4,67.0,Database 2
65116,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,0.0,,warmer,,,,,,,,,,,,,20.1,68.2,,,,,,,,,,,,,17.7,63.9,,,,,25.0,,,0.6,118.11,,,,,,,161.0,,,,,,,19.4,67.0,Database 2
65117,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-1.0,,warmer,,,,,,,,,,,,,18.2,64.8,,,,,,,,,,,,,16.2,61.2,,,,,27.0,,,0.7,137.8,,,,,,,168.0,,,,,,,19.4,67.0,Database 2
65118,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-3.0,,warmer,,,,,,,,,,,,,13.2,55.8,,,,,,,,,,,,,14.3,57.7,,,,,18.0,,,0.6,118.11,,,,,,,152.0,,,,,,,19.4,67.0,Database 2
65119,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-3.0,,warmer,,,,,,,,,,,,,13.0,55.4,,,,,,,,,,,,,14.4,57.9,,,,,15.0,,,0.6,118.11,,,,,,,151.0,,,,,,,19.4,67.0,Database 2
65120,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,3.0,,cooler,,,,,,,,,,,,,16.1,61.0,,,,,,,,,,,,,18.3,64.9,,,,,26.0,,,0.8,157.48,,,,,,,160.0,,,,,,,19.4,67.0,Database 2
65121,"Romero, R. A., Bojrquez, G., Corral, M., & Gallegos, R. (2013). Energy and the occupantÕs thermal perception of low-income dwellings in hot-dry climate: Mexicali, Mxico. Renewable energy, 49, 267-270.",Ramona Romero,2007.0,Winter,BWh,Hot desert,Mexicali,Mexico,Multifamily housing,Mixed Mode,Unknown,,,,-1.0,,warmer,,,,,,,,,,,,,15.4,59.7,,,,,,,,,,,,,20.7,69.3,,,,,21.0,,,0.8,157.48,,,,,,,171.0,,,,,,,19.4,67.0,Database 2
