,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (¡C),Air temperature (¡F),Ta_h (¡C),Ta_h (¡F),Ta_m (¡C),Ta_m (¡F),Ta_l (¡C),Ta_l (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_h (¡C),Tg_h (¡F),Tg_m (¡C),Tg_m (¡F),Tg_l (¡C),Tg_l (¡F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
75754,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,38.0,Male,,,,,,,,,,,,,,,,35.0,95.0,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,65.0,,,,,,38.1,100.6,Database 2
75755,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,38.0,Female,,,,,,,,,,,,,,,,32.0,89.6,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,60.0,,,,,,38.1,100.6,Database 2
75756,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,38.0,Male,,,,,,,,,,,,,,,,37.0,98.6,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,179.0,75.0,,,,,,38.1,100.6,Database 2
75757,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,53.0,Male,,,,,,,,,,,,,,,,30.0,86.0,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,195.0,65.0,,,,,,38.1,100.6,Database 2
75758,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,53.0,Female,,,,,,,,,,,,,,,,34.0,93.2,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,180.0,50.5,,,,,,38.1,100.6,Database 2
75759,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,76.0,Male,,,,,,,,,,,,,,,,30.0,86.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,168.0,50.0,,,,,,38.1,100.6,Database 2
75760,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,53.0,Male,,,,,,,,,,,,,,,,35.0,95.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,180.0,70.0,,,,,,38.1,100.6,Database 2
75761,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,68.0,Male,,,,,,,,,,,,,,,,36.0,96.8,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,165.0,,,,,,,38.1,100.6,Database 2
75762,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,68.0,Male,,,,,,,,,,,,,,,,36.0,96.8,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,169.0,80.0,,,,,,38.1,100.6,Database 2
75763,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,53.0,Female,,,,,,,,,,,,,,,,35.0,95.0,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,171.0,60.0,,,,,,38.1,100.6,Database 2
75764,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,53.0,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0,69.0,,,,,,38.1,100.6,Database 2
75765,"Akande, O. K., & Adebamowo, M. A. (2010, April). Indoor thermal comfort for residential buildings in hot-dry climate of Nigeria. In Proceedings of Conference: Adapting to Change: New Thinking on Comfort, Cumberland Lodge, Windsor, UK (Vol. 911, p. 133144).",Michael Adebamowo,2009.0,Winter,Aw,Tropical wet savanna,Bauchi,Nigeria,Multifamily housing,Naturally Ventilated,,,23.0,Female,1.0,,,,,4.0,,,,,,,,,,31.0,87.8,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,150.0,58.0,,,,,,38.1,100.6,Database 2
