,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Australia,-1.22,36.28,21.06,0.5,1.25,59.8,0.16,20999,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,25.0,0.0,no change,20.5,68.9,20.5,68.9,20.7,69.3,,,,,20.7,69.3,31.5,0.16,31.52,Database 2
1,Australia,0.2,5.0,26.24,0.71,1.4,50.0,0.12,21000,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,35.0,0.0,no change,22.7,72.8,22.7,72.8,22.8,73.0,,,,,22.8,73.0,23.62,0.12,23.64,Database 2
2,Australia,-0.4,9.0,23.55,0.54,1.2,48.7,0.07,21001,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,55.0,1.0,cooler,22.9,73.2,22.9,73.2,23.2,73.7,,,,,23.2,73.7,13.78,0.07,13.79,Database 2
3,Australia,-1.4,43.0,20.69,0.63,1.1,57.6,0.11,21002,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,35.0,-1.0,warmer,19.8,67.7,19.8,67.7,20.1,68.2,,,,,20.1,68.1,21.65,0.11,21.67,Database 2
4,Australia,-0.4,9.0,23.69,0.85,1.2,57.4,0.03,21003,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,45.0,-2.0,warmer,20.4,68.7,20.4,68.7,20.7,69.2,,,,,20.8,69.4,5.91,0.03,5.91,Database 2
5,Australia,-0.5,11.0,22.92,0.45,1.3,49.5,0.09,21004,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,65.0,-1.0,warmer,22.7,72.9,22.7,72.9,22.7,72.8,,,,,22.7,72.8,17.72,0.09,17.73,Database 2
6,Australia,-0.9,23.0,22.37,0.46,1.1,50.2,0.12,21005,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,55.0,1.0,cooler,22.9,73.1,22.9,73.1,23.2,73.7,,,,,23.1,73.6,23.62,0.12,23.64,Database 2
7,Australia,-0.7,15.0,22.23,0.53,1.4,58.3,0.08,21006,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,55.0,0.0,warmer,20.3,68.5,20.3,68.5,20.2,68.4,,,,,20.2,68.4,15.75,0.08,15.76,Database 2
8,Australia,-1.2,37.0,21.71,0.46,1.0,51.8,0.07,21007,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,55.0,1.0,no change,22.8,73.0,22.8,73.0,23.0,73.5,,,,,23.1,73.5,13.78,0.07,13.79,Database 2
9,Australia,-0.4,9.0,23.66,0.84,1.4,65.6,0.1,21008,"Deuble M., et al. ""Occupant comfort in naturally ventilated and mixed-mode spaces within air-conditioned offices."" Architectural Science Review 53.3 (2010): 297-306.",Max Deuble and Richard de Dear,2009.0,Winter,Cfa,Humid subtropical,Sydney,Office,Mixed Mode,45.0,0.0,no change,18.7,65.7,18.7,65.7,18.8,65.8,,,,,18.8,65.8,19.69,0.1,19.7,Database 2
