,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Age,Thermal sensation,activity_20,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Belgium,0.7,1.0,58.2,,65027,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,1.0,1.0,21.1,70.0,,5.0,41.0,Database 2
1,Belgium,0.85,1.6,50.7,0.0,65028,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,1.0,2.4,21.9,71.4,0.0,5.0,41.0,Database 2
2,Belgium,0.66,1.0,54.3,0.0,65029,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,1.0,1.2,22.1,71.8,0.0,5.0,41.0,Database 2
3,Belgium,0.76,1.0,53.1,0.0,65030,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,1.0,1.2,21.8,71.2,0.0,5.0,41.0,Database 2
4,Belgium,0.59,1.0,57.4,0.0,65031,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,1.0,1.2,22.2,72.0,0.0,5.0,41.0,Database 2
5,Belgium,0.31,1.0,53.8,0.0,65032,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.2,21.8,71.2,0.0,5.0,41.0,Database 2
6,Belgium,0.8,1.0,57.1,0.0,65033,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,65.0,0.0,1.2,19.8,67.6,0.0,5.0,41.0,Database 2
7,Belgium,0.41,1.2,58.4,0.0,65034,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,20.7,69.3,0.0,5.0,41.0,Database 2
8,Belgium,0.76,1.0,60.6,0.0,65035,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,50.0,0.0,1.6,21.2,70.2,0.0,5.0,41.0,Database 2
9,Belgium,0.8,1.2,58.2,0.0,65036,"Singh M. K., Mahapatra S., Teller J. (2014) Relation between indoor thermal environment and renovation in Liege residential buildings. Thermal Science , 18(3), 889-902.",Singh Manoj,2013.0,Cfb,Temperate oceanic,Liege,Multifamily housing,Naturally Ventilated,Mechanical Heating,70.0,0.0,1.2,19.8,67.6,0.0,5.0,41.0,Database 2
