,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air movement acceptability,Air movement preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Subject«s height (cm),Subject«s weight (kg),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Brazil,0.44,1.3,63.4,0.18,54328,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,26.5,79.6,35.43,,,,,Database 2
1,Brazil,0.39,1.3,65.3,0.18,54329,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.5,79.8,35.43,,,,,Database 2
2,Brazil,0.41,1.3,56.5,0.12,54330,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,26.8,80.3,23.62,,,,,Database 2
3,Brazil,0.37,1.3,60.4,0.11,54331,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,27.4,81.2,21.65,,,,,Database 2
4,Brazil,0.37,1.3,60.0,0.28,54332,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.6,79.9,55.12,,,,,Database 2
5,Brazil,0.4,1.3,60.3,0.19,54333,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,1.0,,,,26.8,80.3,37.4,,,,,Database 2
6,Brazil,0.68,1.3,56.8,0.08,54334,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,24.4,75.8,15.75,,,,,Database 2
7,Brazil,0.65,1.3,53.5,0.09,54335,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,25.2,77.4,17.72,,,,,Database 2
8,Brazil,0.68,1.3,74.8,0.11,54336,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,-0.0,,,,23.4,74.0,21.65,,,,,Database 2
9,Brazil,0.71,1.3,58.7,0.1,54337,"Xavier, A. A. Prediction of thermal comfort in indoor environments with sedentary activities - physical theory combined with field study, Doctoral thesis (2000), Federal University of Santa Caterina.",Antonio Augusto Xavier ,2000.0,Autumn,Cfa,Humid subtropical,Florianopolis,Classroom,Naturally Ventilated,,0.0,,,,24.3,75.7,19.69,,,,,Database 2
