,Country,Clo,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Database
0,Canada,0.4,37.8,83960,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,33.0,-1.0,cooler,23.8,74.8,24.2,75.6,Database 1
1,Canada,0.9,37.6,83961,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,32.0,1.0,no change,24.1,75.4,24.3,75.7,Database 1
2,Canada,0.5,37.9,83962,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,37.0,-1.0,no change,23.9,75.0,24.3,75.7,Database 1
3,Canada,0.5,39.2,83963,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,35.0,0.0,no change,23.1,73.6,23.3,73.9,Database 1
4,Canada,0.4,39.5,83964,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,49.0,-1.0,warmer,23.0,73.4,23.0,73.4,Database 1
5,Canada,0.5,38.9,83965,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,39.0,0.0,no change,23.1,73.6,23.5,74.3,Database 1
6,Canada,1.1,39.6,83966,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,53.0,-2.0,no change,22.9,73.2,23.2,73.8,Database 1
7,Canada,0.5,36.6,83967,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,38.0,1.0,cooler,24.2,75.6,24.2,75.6,Database 1
8,Canada,1.1,38.6,83968,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,35.0,-1.0,warmer,22.6,72.7,23.4,74.1,Database 1
9,Canada,0.4,38.4,83969,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,40.0,-1.0,no change,22.7,72.9,22.7,72.9,Database 1
10,Canada,0.5,33.0,83970,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,38.0,0.0,no change,24.7,76.5,24.7,76.5,Database 1
11,Canada,0.6,33.9,83971,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,38.0,-1.0,no change,24.3,75.7,24.4,75.9,Database 1
12,Canada,1.1,34.3,83972,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,36.0,-1.0,warmer,24.1,75.4,24.3,75.7,Database 1
13,Canada,1.2,35.1,83973,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,53.0,-1.0,warmer,23.8,74.8,23.8,74.8,Database 1
14,Canada,0.8,35.1,83974,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,50.0,1.0,cooler,23.7,74.7,23.8,74.8,Database 1
15,Canada,0.7,35.4,83975,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,43.0,0.0,no change,23.6,74.5,23.9,75.0,Database 1
16,Canada,0.5,35.1,83976,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,45.0,-1.0,no change,23.7,74.7,23.6,74.5,Database 1
17,Canada,1.1,36.0,83977,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,53.0,1.0,cooler,23.7,74.7,23.7,74.7,Database 1
18,Canada,0.7,35.1,83978,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,35.0,-1.0,no change,23.8,74.8,24.1,75.4,Database 1
19,Canada,0.5,36.7,83979,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,42.0,0.0,no change,22.9,73.2,23.2,73.8,Database 1
20,Canada,0.6,35.0,83980,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,47.0,-1.0,no change,23.7,74.7,23.8,74.8,Database 1
21,Canada,0.4,44.5,83981,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,57.0,0.0,no change,22.8,73.0,23.1,73.6,Database 1
22,Canada,0.5,43.8,83982,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,50.0,-1.0,no change,22.9,73.2,22.9,73.2,Database 1
23,Canada,0.4,43.8,83983,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,40.0,-1.0,no change,23.1,73.6,23.3,73.9,Database 1
24,Canada,0.6,42.8,83984,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,47.0,-1.0,warmer,23.3,73.9,23.7,74.7,Database 1
25,Canada,0.4,41.6,83985,"Donnini, G. et al (1996) Field Study of Occupant Comfort and Office Thermal Environments in a Cold Climate: Final Report. ADN Inc., Montreal, Quebec, Canada.",Giovanna Donnini,1994.0,Summer,Dfb,Warm-summer humid continental,Montreal,Office,Air Conditioned,47.0,0.0,no change,23.5,74.3,24.0,75.2,Database 1
