,Country,Clo,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal comfort,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,China,0.47,62.7,0.05,15677,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,1.0,2.0,28.0,82.3,9.19,22.0,72.0,Database 2
1,China,0.49,73.3,0.2,15678,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,3.0,27.3,81.1,39.37,22.0,72.0,Database 2
2,China,0.49,73.3,0.2,15679,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,3.0,27.3,81.1,39.37,22.0,72.0,Database 2
3,China,0.5,49.0,0.51,15680,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,1.0,5.0,26.9,80.5,99.74,22.0,72.0,Database 2
4,China,0.38,49.5,0.51,15681,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,2.0,3.0,27.8,82.0,99.74,22.0,72.0,Database 2
5,China,0.59,50.0,0.51,15682,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,3.0,26.3,79.4,99.74,22.0,72.0,Database 2
6,China,0.41,55.1,0.17,15683,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,0.0,5.0,26.8,80.2,34.12,22.0,72.0,Database 2
7,China,0.41,52.4,0.06,15684,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Classroom,Naturally Ventilated,-1.0,5.0,27.2,81.0,12.47,22.0,72.0,Database 2
8,China,0.35,66.4,0.24,15685,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,-1.0,5.0,26.5,79.8,46.59,22.0,72.0,Database 2
9,China,0.55,66.1,0.05,15686,"Zhang, Y., Wang, J., Chen, H., Zhang, J., & Meng, Q. (2010). Thermal comfort in naturally ventilated buildings in hot-humid area of China. Building and Environment, 45(11), 2562-2570.",Yufeng Zhang,2005.0,Spring,Cfa,Humid subtropical,Guangzhou,Others,Naturally Ventilated,0.0,5.0,28.7,83.7,9.19,22.0,72.0,Database 2
