,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,Japan,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,0,0,0,0,0,Thermal sensation,0,Thermal preference,0,0,Thermal comfort,0,0,0,Clo,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
1,USA,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,0,0,Thermal sensation,0,0,0,0,0,0,0,0,Clo,0,0,0,0,0,0,0,Ta_h (¡C),Ta_h (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
2,India,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,0,0,Thermal sensation,0,Thermal preference,0,Air movement preference,0,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,Subject«s weight (kg),0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
3,Iran,0,Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,0,0,Thermal sensation,0,Thermal preference,0,0,0,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
4,China,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,0,0,Thermal sensation,0,0,0,0,0,0,0,0,Clo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
5,Philippines,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,0,0,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
6,Australia,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,Age,0,Thermal sensation,0,Thermal preference,0,0,0,PMV,PPD,SET,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,Ta_m (¡C),Ta_m (¡F),0,0,Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),0,0,0,0,Tg_m (¡C),Tg_m (¡F),0,0,Relative humidity (%),0,0,Air velocity (m/s),Air velocity (fpm),0,0,Velocity_m (m/s),Velocity_m (fpm),0,0,0,0,0,0,0,0,0,0,0,Database,Unnamed: 0
7,Malaysia,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,0,Age,0,Thermal sensation,Thermal sensation acceptability,Thermal preference,0,0,0,0,0,0,Clo,Met,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,Tg_h (¡C),Tg_h (¡F),0,0,0,0,Relative humidity (%),Humidity preference,0,Air velocity (m/s),Air velocity (fpm),0,0,0,0,0,0,Subject«s height (cm),Subject«s weight (kg),0,Fan,Window,Door,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
8,Slovakia,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,Heating strategy_building level,0,0,Thermal sensation,0,Thermal preference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
9,Denmark,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,0,Heating strategy_building level,Age,0,Thermal sensation,Thermal sensation acceptability,Thermal preference,0,Air movement preference,Thermal comfort,0,0,0,0,0,0,0,0,0,Air temperature (¡C),Air temperature (¡F),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relative humidity (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database,Unnamed: 0
