,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Heating strategy_building level,Thermal sensation,Thermal preference,Air movement preference,Air temperature (¡C),Air temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Humidity preference,Humidity sensation,Air velocity (fpm),Database
0,France,1.6,55.0,30.36,0.54,1.4,44.6,0.2,49878,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,no change,29.3,84.7,30.4,86.7,29.9,85.8,drier,-1.0,39.37,Database 2
1,France,1.4,46.0,29.54,0.42,1.4,36.1,0.1,49879,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,1.0,cooler,less,28.8,83.8,30.3,86.5,29.6,85.3,no change,2.0,19.69,Database 2
2,France,1.5,49.0,29.65,0.39,1.5,34.0,0.1,49880,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,29.2,84.6,30.3,86.5,29.8,85.6,more humid,0.0,19.69,Database 2
3,France,1.5,51.0,29.86,0.4,1.5,34.4,0.1,49881,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.9,84.0,30.7,87.3,29.9,85.8,no change,2.0,19.69,Database 2
4,France,1.3,39.0,28.53,0.44,1.1,34.3,0.1,49882,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.8,83.8,30.6,87.1,29.8,85.6,drier,-2.0,19.69,Database 2
5,France,1.4,44.0,29.17,0.62,1.2,33.7,0.2,49883,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.9,84.0,30.6,87.1,29.7,85.5,drier,-2.0,39.37,Database 2
6,France,1.5,51.0,30.35,0.4,1.7,34.0,0.1,49884,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,0.0,no change,more,28.2,82.8,30.0,86.0,29.2,84.6,more humid,1.0,19.69,Database 2
7,France,1.3,38.0,29.38,0.63,1.2,38.0,0.1,49885,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.2,82.8,29.3,84.7,28.9,84.0,no change,0.0,19.69,Database 2
8,France,1.3,41.0,29.0,0.52,1.3,33.9,0.2,49886,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.4,83.1,30.7,87.3,29.5,85.1,drier,-3.0,39.37,Database 2
9,France,1.3,42.0,27.55,0.64,1.2,33.3,0.8,49887,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Summer,Cfb,Temperate oceanic,Lyon,Classroom,Naturally Ventilated,Mechanical Heating,2.0,cooler,less,28.8,83.8,32.4,90.3,30.0,86.0,drier,-2.0,157.48,Database 2
