,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Blind (curtain),Window,Door,Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Germany,0.76,1.5,44.5,1.11,74245,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,26.7,80.1,218.48,0.0,0.0,0.0,22.5,72.5,Database 2
1,Germany,0.51,1.2,43.5,0.09,74246,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,21.5,70.7,17.71,0.0,0.0,0.0,22.5,72.5,Database 2
2,Germany,0.51,2.7,41.7,0.03,74247,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,23.1,73.6,5.9,0.0,1.0,0.0,22.5,72.5,Database 2
3,Germany,0.61,1.1,48.2,1.85,74248,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,22.5,72.5,364.14,0.0,0.0,0.0,22.5,72.5,Database 2
4,Germany,0.61,1.2,48.2,1.85,74249,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,22.5,72.5,364.14,0.0,0.0,0.0,22.5,72.5,Database 2
5,Germany,0.71,1.2,29.0,0.06,74250,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,warmer,29.9,85.8,11.81,0.0,0.0,1.0,22.5,72.5,Database 2
6,Germany,0.68,1.1,29.0,0.06,74251,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,1.0,cooler,29.9,85.8,11.81,0.0,0.0,1.0,22.5,72.5,Database 2
7,Germany,0.64,3.0,46.7,1.46,74252,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,22.9,73.2,287.37,0.0,0.0,0.0,22.5,72.5,Database 2
8,Germany,0.59,1.6,47.8,2.12,74253,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,21.0,69.8,417.28,0.0,0.0,0.0,22.5,72.5,Database 2
9,Germany,0.75,2.7,47.8,2.12,74254,"A. Wagner, C. Moosmann, Th. Gropp, E. Gossauer, R. Leonhart: Thermal Comfort and Workspace Occupant Satisfaction - Results of Field Studies in German Low Energy Office Buildings. Journal of Energy & Buildings, Volume 39 (7), 2007",Cornelia Moosmann,2005.0,Summer,Cfb,Temperate oceanic,Karlsruhe,Office,Naturally Ventilated,0.0,no change,21.0,69.8,417.28,0.0,0.0,0.0,22.5,72.5,Database 2
