,Country,PMV,PPD,SET,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Radiant temperature (¡C),Radiant temperature (¡F),Globe temperature (¡C),Globe temperature (¡F),Tg_m (¡C),Tg_m (¡F),Air velocity (fpm),Velocity_m (m/s),Velocity_m (fpm),Database
0,Greece,0.5,10.0,26.62,0.6,1.2,42.7,0.2,50316,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,0.0,,no change,26.3,79.3,,,,,26.8,80.2,26.6,79.9,,,39.37,,,Database 2
1,Greece,1.0,27.0,29.34,0.84,1.2,41.9,0.1,50318,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,0.0,,no change,26.8,80.2,,,,,27.2,81.0,27.0,80.6,,,19.69,,,Database 2
2,Greece,0.1,5.0,25.19,0.6,1.1,42.3,0.4,50319,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,-1.0,,no change,25.9,78.6,,,,,28.6,83.5,26.9,80.4,,,78.74,,,Database 2
3,Greece,0.7,15.0,27.33,0.57,1.3,41.2,0.2,50320,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,0.0,,no change,26.4,79.5,,,,,27.5,81.5,27.0,80.6,,,39.37,,,Database 2
4,Greece,0.9,21.0,28.2,0.64,1.2,39.6,0.1,50322,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,1.0,,no change,27.0,80.6,,,,,27.5,81.5,27.3,81.1,,,19.69,,,Database 2
5,Greece,0.6,12.0,27.12,0.61,1.2,39.3,0.1,50323,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,-1.0,,no change,26.6,79.9,,,,,26.3,79.3,26.4,79.5,,,19.69,,,Database 2
6,Greece,-0.1,5.0,25.27,0.61,1.0,40.7,0.2,50324,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,0.0,,no change,25.7,78.3,,,,,26.7,80.1,26.2,79.2,,,39.37,,,Database 2
7,Greece,0.9,21.0,28.36,0.71,1.2,37.4,0.1,50325,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,-1.0,,warmer,27.1,80.8,,,,,27.1,80.8,27.1,80.8,,,19.69,,,Database 2
8,Greece,0.8,20.0,27.93,0.61,1.2,38.9,0.1,50326,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,0.0,,warmer,27.6,81.7,,,,,27.1,80.8,27.3,81.1,,,19.69,,,Database 2
9,Greece,0.9,24.0,28.3,0.63,1.2,35.9,0.1,50327,"Stoops, J. L.""The thermal environmentand occupant perceptions in European office buildings"". Doctoral thesis. Chalmers University of Technology, 2000. ISBN: 993-356207-x.","Stoops, J. L",1998.0,Autumn,Csa,Hot-summer Mediterranean,Athens,Classroom,Air Conditioned,1.0,,cooler,27.7,81.9,,,,,27.6,81.7,27.7,81.9,,,19.69,,,Database 2
