,Country,Clo,Met,Relative humidity (%),Unnamed: 0,Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Air temperature (¡C),Air temperature (¡F),Ta_m (¡C),Ta_m (¡F),Operative temperature (¡C),Operative temperature (¡F),Database
0,Indonesia,0.63,1.0,61.0,83364,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
1,Indonesia,0.53,1.0,61.0,83365,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,-1.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
2,Indonesia,0.53,1.0,61.0,83366,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,22.0,-1.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
3,Indonesia,0.53,1.0,61.0,83367,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,28.0,0.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
4,Indonesia,0.63,1.0,61.0,83368,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
5,Indonesia,0.53,1.0,61.0,83369,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,-1.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
6,Indonesia,0.53,1.0,61.0,83370,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,,0.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
7,Indonesia,0.53,1.0,61.0,83371,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,31.0,0.0,25.0,77.0,25.0,77.0,25.7,78.3,Database 1
8,Indonesia,0.53,1.0,60.0,83372,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,26.0,0.0,26.0,78.8,26.0,78.8,26.3,79.3,Database 1
9,Indonesia,0.63,1.0,60.0,83373,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,21.0,0.0,26.0,78.8,26.0,78.8,26.3,79.3,Database 1
10,Indonesia,0.63,1.0,60.0,83374,"Karyono, T. (1996) ""Thermal comfort in the tropical southeast Asia region."" Architectural Science Review. V39(3), pp.135-139.",Tri Karyono,1993.0,Summer,Am,Tropical monsoon,Jakarta,Office,Air Conditioned,23.0,1.0,26.0,78.8,26.0,78.8,26.3,79.3,Database 1
