,Country,Clo,Met,Relative humidity (%),Air velocity (m/s),Unnamed: 0,Data contributor,Year,Season,Koppen climate classification,Climate,City,Building type,Cooling startegy_building level,Age,Thermal sensation,Thermal preference,Air temperature (¡C),Air temperature (¡F),Air velocity (fpm),Outdoor monthly air temperature (¡C),Outdoor monthly air temperature (¡F),Database
0,Iran,1.18,1.0,66.3,0.04,8281,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,47.0,0.0,warmer,20.2,68.4,7.87,5.0,41.0,Database 2
1,Iran,1.08,1.2,66.3,0.04,8282,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,38.0,0.0,warmer,20.2,68.4,7.87,5.0,41.0,Database 2
2,Iran,1.51,2.0,66.3,0.05,8283,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,24.0,0.0,no change,20.2,68.4,9.84,5.0,41.0,Database 2
3,Iran,1.44,1.9,66.3,0.04,8284,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,18.0,0.0,no change,20.2,68.4,7.87,5.0,41.0,Database 2
4,Iran,1.15,1.7,66.3,0.05,8285,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,16.0,0.0,no change,20.2,68.4,9.84,5.0,41.0,Database 2
5,Iran,1.67,0.8,66.9,0.07,8286,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,41.0,0.0,no change,21.5,70.7,13.78,5.0,41.0,Database 2
6,Iran,1.11,2.4,66.9,0.08,8287,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,35.0,0.0,warmer,21.5,70.7,15.75,5.0,41.0,Database 2
7,Iran,1.08,1.2,66.9,0.05,8288,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,14.0,0.0,no change,21.5,70.7,9.84,5.0,41.0,Database 2
8,Iran,0.9,1.0,66.0,0.06,8289,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,52.0,0.0,no change,22.8,73.1,11.81,5.0,41.0,Database 2
9,Iran,1.18,0.8,66.0,0.08,8290,Shahin Heidari,1999.0,Winter,Csa,Hot-summer Mediterranean,Ilam,Office,Naturally Ventilated,35.0,1.0,cooler,22.8,73.1,15.75,5.0,41.0,Database 2
